name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.000000;2.680635e-02;-2.226020e+01;3.398837e+01;-2.084919e-02;1.826786e-02;2.746500e-03;1.697631e+01;5.694761e+00;1.373880e+01;-3.849878e+00;0;0;0;0;0;0;7.697344e+02;1.445857e+03;-201;1.908383e+03;-201;2.814829e+03;-201
'unknown';0.010000;2.811852e-02;-2.006020e+01;3.176999e+01;-1.731176e-02;1.445943e-02;3.748270e-03;1.736546e+01;5.037591e+00;1.556013e+01;-6.338123e+00;0;0;0;0;0;0;5.907043e+02;1.382509e+03;-201;1.615760e+03;-201;2.565292e+03;-201
'unknown';0.020000;3.010591e-02;-1.604840e+01;2.628424e+01;-2.081890e-03;1.374809e-02;5.464911e-03;1.796774e+01;4.346057e+00;1.704801e+01;-7.814068e+00;0;0;0;0;0;0;4.139342e+02;1.426010e+03;-201;1.349454e+03;-201;2.370349e+03;-201
'unknown';0.030000;3.127277e-02;-1.509864e+01;2.514451e+01;1.378626e-03;1.368818e-02;5.028277e-03;1.672147e+01;2.332590e+00;1.821986e+01;-9.253880e+00;0;0;0;0;0;0;6.203655e+02;1.189984e+03;-201;1.668032e+03;-201;2.627173e+03;-201
'unknown';0.040000;3.239422e-02;-1.257063e+01;2.216993e+01;9.993345e-03;1.932005e-02;6.645365e-03;1.687311e+01;1.347760e+00;1.647120e+01;-6.907486e+00;0;0;0;0;0;0;6.179196e+02;1.280704e+03;-201;1.651120e+03;-201;2.669136e+03;-201
'unknown';0.050000;3.408884e-02;-1.579792e+01;2.608753e+01;-9.590329e-03;1.625225e-02;1.044972e-02;1.726508e+01;2.752806e+00;1.897310e+01;-3.138223e+00;0;0;0;0;0;0;6.059763e+02;1.248788e+03;-201;1.647274e+03;-201;2.635178e+03;-201
'unknown';0.060000;3.649466e-02;-1.582867e+01;2.615402e+01;-1.054626e-02;1.850593e-02;1.042111e-02;1.753241e+01;3.649788e+00;1.732371e+01;-1.645321e+00;0;0;0;0;0;0;3.952290e+02;1.435569e+03;-201;1.310859e+03;-201;2.388026e+03;-201
'unknown';0.070000;3.731172e-02;-1.946600e+01;2.934720e+01;-2.464214e-02;1.796991e-02;9.598582e-03;1.760483e+01;6.980824e+00;1.936273e+01;-5.993029e-01;0;0;0;0;0;0;3.782515e+02;1.446640e+03;-201;1.298344e+03;-201;2.376250e+03;-201
'unknown';0.080000;3.874664e-02;-1.961957e+01;3.057723e+01;-2.371226e-02;2.155316e-02;7.708312e-03;1.779614e+01;6.795655e+00;1.574837e+01;-4.284836e+00;0;0;0;0;0;0;5.614576e+02;1.386798e+03;-201;1.601942e+03;-201;2.656816e+03;-201
'unknown';0.090000;3.891221e-02;-2.106431e+01;3.138541e+01;-3.337808e-02;1.728380e-02;7.864238e-03;1.864760e+01;8.318774e+00;1.765834e+01;-6.324975e+00;0;0;0;0;0;0;7.943428e+02;1.317596e+03;-201;1.980073e+03;-201;2.877771e+03;-201
'unknown';0.100000;4.154820e-02;-1.898949e+01;2.991355e+01;-2.482032e-02;1.613592e-02;9.302058e-03;1.890735e+01;5.031816e+00;1.582804e+01;-9.719619e+00;0;0;0;0;0;0;7.943914e+02;1.398305e+03;-201;1.928189e+03;-201;2.834029e+03;-201
