,other probability,nod probability,shake probability,annotation
0,0.0,1.0,0.0,1
1,0.0,1.0,0.0,1
2,0.0,1.0,0.0,1
3,0.0,1.0,0.0,1
4,0.0,1.0,0.0,1
5,0.0,1.0,0.0,1
6,0.0,1.0,0.0,1
7,0.0,1.0,0.0,1
8,0.0,1.0,0.0,1
9,0.0,1.0,0.0,1
10,0.0,1.0,0.0,1
11,0.0,1.0,0.0,1
12,0.0,1.0,0.0,1
13,0.0,1.0,0.0,1
14,0.0,1.0,0.0,1
15,0.0,1.0,0.0,1
16,0.0,1.0,0.0,1
17,0.0,0.0,1.0,2
18,0.0,0.0,1.0,2
19,0.0,0.0,1.0,2
20,0.0,0.0,1.0,2
21,0.0,0.0,1.0,2
22,0.0,1.0,0.0,1
23,0.0,1.0,0.0,1
24,0.0,1.0,0.0,1
25,0.0,1.0,0.0,1
26,0.0,1.0,0.0,1
27,0.0,1.0,0.0,1
28,0.0,1.0,0.0,1
29,0.0,1.0,0.0,1
30,0.0,1.0,0.0,1
31,0.0,1.0,0.0,1
32,0.0,1.0,0.0,1
33,0.0,1.0,0.0,1
34,0.0,1.0,0.0,1
35,0.0,1.0,0.0,1
36,1.0,0.0,0.0,0
37,1.0,0.0,0.0,0
38,1.0,0.0,0.0,0
39,0.0,1.0,0.0,1
40,0.0,1.0,0.0,1
41,1.0,0.0,0.0,0
42,1.0,0.0,0.0,0
43,0.0,0.0,1.0,2
44,1.0,0.0,0.0,0
45,1.0,0.0,0.0,0
46,1.0,0.0,0.0,0
47,1.0,0.0,0.0,0
48,1.0,0.0,0.0,0
49,1.0,0.0,0.0,0
50,1.0,0.0,0.0,0
51,1.0,0.0,0.0,0
52,1.0,0.0,0.0,0
53,1.0,0.0,0.0,0
54,1.0,0.0,0.0,0
55,1.0,0.0,0.0,0
56,1.0,0.0,0.0,0
57,0.0,0.0,1.0,2
58,0.0,1.0,0.0,1
59,0.0,1.0,0.0,1
60,0.0,1.0,0.0,1
61,0.0,0.0,1.0,2
62,0.0,0.0,1.0,2
63,0.0,1.0,0.0,1
64,0.0,1.0,0.0,1
65,0.0,1.0,0.0,1
66,0.0,1.0,0.0,1
67,0.0,1.0,0.0,1
68,1.0,0.0,0.0,0
69,1.0,0.0,0.0,0
70,1.0,0.0,0.0,0
71,1.0,0.0,0.0,0
72,1.0,0.0,0.0,0
73,1.0,0.0,0.0,0
74,1.0,0.0,0.0,0
75,1.0,0.0,0.0,0
76,1.0,0.0,0.0,0
77,0.0,0.0,1.0,2
78,0.0,0.0,1.0,2
79,0.0,1.0,0.0,1
80,0.0,1.0,0.0,1
81,0.0,1.0,0.0,1
82,0.0,1.0,0.0,1
83,0.0,1.0,0.0,1
84,0.0,1.0,0.0,1
85,0.0,1.0,0.0,1
86,0.0,1.0,0.0,1
87,0.0,1.0,0.0,1
88,0.0,1.0,0.0,1
89,0.0,1.0,0.0,1
90,0.0,1.0,0.0,1
91,0.0,1.0,0.0,1
92,0.0,1.0,0.0,1
93,0.0,1.0,0.0,1
94,0.0,1.0,0.0,1
95,0.0,1.0,0.0,1
96,1.0,0.0,0.0,0
97,1.0,0.0,0.0,0
98,0.0,1.0,0.0,1
99,0.0,1.0,0.0,1
100,0.0,0.0,1.0,2
101,0.0,0.0,1.0,2
102,1.0,0.0,0.0,0
103,1.0,0.0,0.0,0
104,1.0,0.0,0.0,0
105,1.0,0.0,0.0,0
106,1.0,0.0,0.0,0
107,1.0,0.0,0.0,0
108,1.0,0.0,0.0,0
109,0.0,1.0,0.0,1
110,0.0,1.0,0.0,1
111,0.0,1.0,0.0,1
112,0.0,1.0,0.0,1
113,0.0,1.0,0.0,1
114,0.0,1.0,0.0,1
115,0.0,1.0,0.0,1
116,0.0,1.0,0.0,1
117,0.0,1.0,0.0,1
118,0.0,1.0,0.0,1
119,0.0,1.0,0.0,1
120,0.0,1.0,0.0,1
121,0.0,1.0,0.0,1
122,0.0,1.0,0.0,1
123,0.0,1.0,0.0,1
124,0.0,1.0,0.0,1
125,0.0,1.0,0.0,1
126,0.0,1.0,0.0,1
127,0.0,1.0,0.0,1
128,0.0,1.0,0.0,1
129,0.0,1.0,0.0,1
130,0.0,0.0,1.0,2
131,0.0,1.0,0.0,1
132,0.0,1.0,0.0,1
133,0.0,1.0,0.0,1
134,0.0,1.0,0.0,1
135,0.0,1.0,0.0,1
136,0.0,1.0,0.0,1
137,0.0,1.0,0.0,1
138,0.0,1.0,0.0,1
139,0.0,1.0,0.0,1
140,0.0,1.0,0.0,1
141,0.0,1.0,0.0,1
142,0.0,1.0,0.0,1
143,0.0,1.0,0.0,1
144,0.0,1.0,0.0,1
145,0.0,1.0,0.0,1
146,0.0,1.0,0.0,1
147,0.0,1.0,0.0,1
148,0.0,1.0,0.0,1
149,0.0,1.0,0.0,1
150,0.0,1.0,0.0,1
151,1.0,0.0,0.0,0
152,1.0,0.0,0.0,0
153,1.0,0.0,0.0,0
154,1.0,0.0,0.0,0
155,1.0,0.0,0.0,0
156,1.0,0.0,0.0,0
157,0.0,1.0,0.0,1
158,0.0,1.0,0.0,1
159,0.0,1.0,0.0,1
160,0.0,1.0,0.0,1
161,0.0,1.0,0.0,1
162,0.0,1.0,0.0,1
163,0.0,1.0,0.0,1
164,0.0,1.0,0.0,1
165,0.0,1.0,0.0,1
166,0.0,1.0,0.0,1
167,1.0,0.0,0.0,0
168,1.0,0.0,0.0,0
169,0.0,1.0,0.0,1
170,0.0,1.0,0.0,1
171,0.0,1.0,0.0,1
172,0.0,1.0,0.0,1
173,0.0,1.0,0.0,1
174,0.0,1.0,0.0,1
175,0.0,1.0,0.0,1
176,0.0,1.0,0.0,1
177,0.0,1.0,0.0,1
178,0.0,1.0,0.0,1
179,0.0,1.0,0.0,1
180,0.0,1.0,0.0,1
181,0.0,1.0,0.0,1
182,0.0,1.0,0.0,1
183,0.0,1.0,0.0,1
184,0.0,1.0,0.0,1
185,0.0,1.0,0.0,1
186,0.0,1.0,0.0,1
187,0.0,1.0,0.0,1
188,0.0,1.0,0.0,1
189,0.0,1.0,0.0,1
190,0.0,1.0,0.0,1
191,0.0,1.0,0.0,1
192,0.0,1.0,0.0,1
193,0.0,1.0,0.0,1
194,0.0,1.0,0.0,1
195,0.0,1.0,0.0,1
196,0.0,1.0,0.0,1
197,0.0,1.0,0.0,1
198,0.0,1.0,0.0,1
199,0.0,1.0,0.0,1
200,0.0,1.0,0.0,1
201,0.0,1.0,0.0,1
202,0.0,1.0,0.0,1
203,0.0,1.0,0.0,1
204,0.0,1.0,0.0,1
205,0.0,1.0,0.0,1
206,0.0,0.0,1.0,2
207,0.0,0.0,1.0,2
208,0.0,0.0,1.0,2
209,0.0,0.0,1.0,2
210,0.0,0.0,1.0,2
211,0.0,0.0,1.0,2
212,0.0,0.0,1.0,2
213,0.0,0.0,1.0,2
214,0.0,0.0,1.0,2
215,1.0,0.0,0.0,0
216,0.0,1.0,0.0,1
217,0.0,1.0,0.0,1
218,0.0,1.0,0.0,1
219,0.0,1.0,0.0,1
220,0.0,1.0,0.0,1
221,0.0,1.0,0.0,1
222,0.0,1.0,0.0,1
223,0.0,1.0,0.0,1
224,0.0,1.0,0.0,1
225,0.0,1.0,0.0,1
226,0.0,1.0,0.0,1
227,0.0,1.0,0.0,1
228,0.0,1.0,0.0,1
229,0.0,1.0,0.0,1
230,0.0,1.0,0.0,1
231,1.0,0.0,0.0,0
232,0.0,1.0,0.0,1
233,0.0,1.0,0.0,1
234,0.0,1.0,0.0,1
235,0.0,1.0,0.0,1
236,0.0,1.0,0.0,1
237,0.0,1.0,0.0,1
238,0.0,1.0,0.0,1
239,0.0,1.0,0.0,1
240,0.0,1.0,0.0,1
241,0.0,1.0,0.0,1
242,0.0,1.0,0.0,1
243,0.0,1.0,0.0,1
244,0.0,1.0,0.0,1
245,0.0,1.0,0.0,1
246,0.0,1.0,0.0,1
247,0.0,1.0,0.0,1
248,0.0,1.0,0.0,1
249,0.0,1.0,0.0,1
250,0.0,1.0,0.0,1
251,0.0,1.0,0.0,1
252,0.0,1.0,0.0,1
253,0.0,0.0,1.0,2
254,0.0,0.0,1.0,2
255,0.0,0.0,1.0,2
256,0.0,0.0,1.0,2
