,other probability,nod probability,shake probability,annotation
0,0.0,0.0,1.0,2
1,0.0,0.0,1.0,2
2,0.0,0.0,1.0,2
3,0.0,0.0,1.0,2
4,0.0,0.0,1.0,2
5,1.0,0.0,0.0,0
6,1.0,0.0,0.0,0
7,1.0,0.0,0.0,0
8,1.0,0.0,0.0,0
9,1.0,0.0,0.0,0
10,1.0,0.0,0.0,0
11,1.0,0.0,0.0,0
12,1.0,0.0,0.0,0
13,1.0,0.0,0.0,0
14,0.0,0.0,1.0,2
15,0.0,0.0,1.0,2
16,0.0,0.0,1.0,2
17,0.0,0.0,1.0,2
18,1.0,0.0,0.0,0
19,1.0,0.0,0.0,0
20,1.0,0.0,0.0,0
21,1.0,0.0,0.0,0
22,0.0,1.0,0.0,1
23,0.0,1.0,0.0,1
24,0.0,1.0,0.0,1
25,0.0,1.0,0.0,1
26,0.0,1.0,0.0,1
27,0.0,1.0,0.0,1
28,0.0,1.0,0.0,1
29,0.0,0.0,1.0,2
30,0.0,0.0,1.0,2
31,0.0,1.0,0.0,1
32,0.0,1.0,0.0,1
33,0.0,1.0,0.0,1
34,0.0,1.0,0.0,1
35,0.0,1.0,0.0,1
36,0.0,1.0,0.0,1
37,0.0,1.0,0.0,1
38,0.0,1.0,0.0,1
39,0.0,1.0,0.0,1
40,0.0,1.0,0.0,1
41,0.0,1.0,0.0,1
42,0.0,1.0,0.0,1
43,0.0,1.0,0.0,1
44,0.0,1.0,0.0,1
45,0.0,1.0,0.0,1
46,0.0,1.0,0.0,1
47,0.0,1.0,0.0,1
48,0.0,1.0,0.0,1
49,0.0,1.0,0.0,1
50,0.0,1.0,0.0,1
51,0.0,1.0,0.0,1
52,0.0,1.0,0.0,1
53,0.0,1.0,0.0,1
54,0.0,1.0,0.0,1
55,0.0,1.0,0.0,1
56,0.0,1.0,0.0,1
57,0.0,1.0,0.0,1
58,0.0,1.0,0.0,1
59,0.0,1.0,0.0,1
60,0.0,1.0,0.0,1
61,1.0,0.0,0.0,0
62,1.0,0.0,0.0,0
63,1.0,0.0,0.0,0
64,1.0,0.0,0.0,0
65,1.0,0.0,0.0,0
66,1.0,0.0,0.0,0
67,1.0,0.0,0.0,0
68,1.0,0.0,0.0,0
69,1.0,0.0,0.0,0
70,1.0,0.0,0.0,0
71,1.0,0.0,0.0,0
72,1.0,0.0,0.0,0
73,1.0,0.0,0.0,0
74,1.0,0.0,0.0,0
75,1.0,0.0,0.0,0
76,1.0,0.0,0.0,0
77,1.0,0.0,0.0,0
78,1.0,0.0,0.0,0
79,0.0,1.0,0.0,1
80,0.0,1.0,0.0,1
81,0.0,1.0,0.0,1
82,1.0,0.0,0.0,0
83,1.0,0.0,0.0,0
84,1.0,0.0,0.0,0
85,1.0,0.0,0.0,0
86,1.0,0.0,0.0,0
87,1.0,0.0,0.0,0
88,1.0,0.0,0.0,0
89,0.0,0.0,1.0,2
90,0.0,0.0,1.0,2
91,0.0,1.0,0.0,1
92,0.0,1.0,0.0,1
93,0.0,1.0,0.0,1
94,0.0,1.0,0.0,1
95,0.0,0.0,1.0,2
96,1.0,0.0,0.0,0
97,1.0,0.0,0.0,0
98,1.0,0.0,0.0,0
99,1.0,0.0,0.0,0
100,1.0,0.0,0.0,0
101,1.0,0.0,0.0,0
102,1.0,0.0,0.0,0
103,1.0,0.0,0.0,0
104,1.0,0.0,0.0,0
105,1.0,0.0,0.0,0
106,1.0,0.0,0.0,0
107,1.0,0.0,0.0,0
108,1.0,0.0,0.0,0
109,1.0,0.0,0.0,0
110,1.0,0.0,0.0,0
111,0.0,1.0,0.0,1
112,0.0,1.0,0.0,1
113,0.0,1.0,0.0,1
114,1.0,0.0,0.0,0
115,1.0,0.0,0.0,0
116,1.0,0.0,0.0,0
117,1.0,0.0,0.0,0
118,0.0,0.0,1.0,2
119,0.0,0.0,1.0,2
120,0.0,0.0,1.0,2
121,1.0,0.0,0.0,0
122,1.0,0.0,0.0,0
123,1.0,0.0,0.0,0
124,1.0,0.0,0.0,0
125,1.0,0.0,0.0,0
126,1.0,0.0,0.0,0
127,1.0,0.0,0.0,0
128,1.0,0.0,0.0,0
129,0.0,1.0,0.0,1
