name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;-3.339567e+01;4.306091e+00;-4.377723e+00;-5.392582e+00;-8.192557e+00;6.747950e+00;-1.580396e+00;-5.156750e+00;3.730366e+00;4.995444e+00;3.874809e+00;3.345062e+00;7.755358e+01;3.606188e+00;5.883623e-01;2.402134e-01;-1.852111e+00;-2.320907e-01;-1.200809e+00;-1.093333e-01;4.736764e-01;9.494557e-01;9.836584e-01;3.272953e+00;-3.469332e-01;1.575117e+00;4.055490e-01;-2.383262e-01;-1.214450e-01;-2.057672e-01;6.053154e-01;-1.159752e+00;-2.396469e-01;-6.531206e-01;1.110553e+00;-2.516547e-01;-7.126019e-01;-5.177034e-02;-3.113605e-01
'unknown';0.010000;-2.830390e+01;4.449105e+00;-6.092819e+00;-1.638229e+01;-1.116302e+01;3.010473e+00;-3.232171e+00;-7.537241e+00;2.366904e+00;5.088717e+00;8.862715e+00;1.587390e-01;9.518132e+01;5.062310e+00;-4.115807e-01;7.096628e-01;-1.887419e+00;1.985843e+00;-2.759890e+00;3.297143e-01;-7.403755e-02;3.459911e+00;4.501247e-03;2.222599e+00;-8.221501e-01;2.113609e-01;1.616087e-02;-4.638859e-01;-5.287808e-01;3.807940e-02;4.030308e-01;-1.483148e+00;-1.805320e-01;-8.714112e-01;9.384258e-01;-2.268631e-01;-1.242860e+00;2.893892e-01;-7.417086e-01
'unknown';0.020000;-1.791061e+01;7.176396e+00;-2.319108e+00;-9.158282e+00;-7.867782e+00;2.612641e+00;-1.301176e+00;-1.598123e+00;9.159375e+00;9.867100e+00;1.774562e+01;3.203558e+00;7.661530e+01;4.905872e+00;-1.032973e-01;-6.017364e-01;-2.863293e+00;1.685519e+00;-6.220029e+00;-1.527092e+00;-2.518070e+00;5.246994e+00;2.149636e-01;2.351199e-01;-3.681765e-01;7.001923e-01;-9.817650e-01;-7.548038e-01;-9.222711e-01;2.536551e-01;2.105923e-01;-3.890938e-01;6.873701e-01;-4.208452e-01;-4.290437e-01;-4.727745e-01;-1.683559e+00;-1.384532e-02;-1.353707e-02
'unknown';0.030000;-1.582665e+01;8.130354e-01;-1.858716e+00;-1.294683e+01;1.574269e+00;-4.983846e+00;-7.143517e-02;-7.306252e+00;1.831542e+01;2.582123e+00;8.052400e+00;-6.949356e-01;7.907953e+01;3.037151e+00;-1.385237e+00;-1.982716e+00;-1.156123e+00;8.242582e-01;-6.106938e+00;-3.031140e-01;-2.387507e+00;3.492815e+00;2.336904e-01;-1.422429e+00;1.110634e+00;-1.695964e+00;-1.759199e+00;-5.776912e-01;-6.037470e-01;8.929486e-01;-2.336379e-01;1.330079e+00;1.603338e+00;8.500144e-01;-1.871890e+00;-3.836972e-01;-5.910361e-01;8.083904e-02;1.293523e-01
'unknown';0.040000;-1.510493e+01;5.607639e+00;-9.503456e+00;-2.142678e+01;-6.133603e+00;-2.035503e+01;-1.079622e+01;-1.786259e+01;2.199108e+01;7.323559e+00;5.455566e+00;1.931017e+00;8.910544e+01;-2.900568e-01;-2.698829e+00;-3.024953e+00;-9.494835e-01;1.401663e+00;-1.472754e+00;3.643931e+00;-4.738153e-01;-1.212215e+00;-1.494809e+00;-3.322330e+00;-1.382552e+00;2.461094e+00;-1.728446e+00;-5.186185e-01;3.739301e-01;1.193342e+00;-3.128600e-01;2.175333e+00;1.973270e+00;1.886809e+00;-1.813081e+00;-7.453121e-01;7.354676e-01;-1.430427e-02;-3.390675e-01
'unknown';0.050000;-1.452098e+01;-1.692704e+00;-1.241422e+01;-1.602866e+01;-7.908814e+00;-1.604038e+01;-2.169715e-04;-1.134254e+01;1.341513e+01;7.528939e+00;7.895594e+00;6.348182e+00;8.045643e+01;-1.135720e+00;-2.002271e+00;-1.097464e+00;1.620419e+00;9.595816e-01;1.516870e+00;5.760892e+00;3.153907e+00;-2.669933e+00;-1.059099e+00;1.046143e+00;8.923292e-02;-2.232819e-02;-1.142288e+00;-1.492283e-02;7.487572e-01;2.946834e-01;-7.751240e-01;8.508841e-01;2.860358e-02;1.175370e+00;-2.730886e-01;-7.956767e-01;1.127684e+00;-1.985542e-01;-1.984273e-01
'unknown';0.060000;-2.001373e+01;-5.064878e+00;-1.216612e+01;-1.236478e+01;3.882075e+00;7.771387e-01;1.688287e+01;-1.949055e+00;5.548444e+00;-8.035214e-02;1.212371e+00;-7.230762e+00;8.823232e+01;-1.649923e+00;-2.387873e+00;8.252882e-01;1.715145e+00;5.355806e-02;8.447322e-01;5.307253e+00;4.145267e+00;-7.370341e-01;-2.865202e+00;2.678171e+00;7.100289e-02;-1.831963e+00;-4.896174e-02;4.406447e-01;4.448304e-01;-7.015127e-01;-1.304646e+00;-8.086891e-01;-2.404058e+00;-3.132714e-01;1.331705e+00;4.400787e-01;1.074378e+00;4.598512e-01;-7.220640e-01
'unknown';0.070000;-1.905085e+01;-3.862060e+00;-6.014705e+00;-9.375730e+00;1.364338e+00;-7.965581e+00;1.489347e+01;5.065156e-01;1.318707e+01;9.885853e-01;1.540471e+01;4.332118e+00;7.940445e+01;-1.994355e+00;-1.615329e+00;-1.640507e-01;-1.015020e+00;-2.377309e+00;-3.011261e+00;-9.917572e-01;1.179801e+00;1.889782e+00;-3.059496e+00;1.215738e+00;-6.089141e-01;-5.415718e-01;3.705958e-01;5.261704e-01;-4.768798e-01;-1.416189e+00;-6.683577e-01;-5.117569e-01;-2.812419e+00;-1.306923e+00;8.846668e-01;7.137282e-01;-3.190738e-01;-1.250852e-01;3.144323e-01
'unknown';0.080000;-2.108961e+01;-5.247048e+00;-8.576775e+00;-1.617752e+01;-1.050239e+01;-2.016877e+01;8.293198e+00;-3.060784e+00;1.841994e+01;-3.732274e+00;1.509186e+01;3.294063e+00;8.047161e+01;-1.055479e-01;-6.890762e-01;-1.267507e+00;-3.139327e+00;-3.453123e+00;-3.252134e+00;-5.000034e+00;-1.053119e+00;3.166455e+00;1.705784e+00;1.964760e+00;1.265777e+00;-8.896042e-01;4.992853e-01;9.285730e-01;-4.585937e-01;-6.604905e-01;6.438733e-01;8.431290e-01;-1.267949e+00;-5.535011e-01;2.927548e-01;9.948570e-01;-8.355021e-01;-2.358309e-01;7.007803e-01
'unknown';0.090000;-2.395481e+01;-9.678266e+00;-1.502915e+01;-1.919739e+01;-1.260313e+01;-2.062373e+01;-6.641662e-01;-4.887672e+00;1.642829e+01;-5.942580e+00;7.034540e+00;-1.958801e+00;8.162892e+01;-5.492840e-02;-2.208176e-01;-2.435465e+00;-3.033289e+00;-6.288663e-01;1.006519e+00;-3.147561e+00;-7.815157e-01;-1.983435e-01;2.240497e-01;-1.925204e-01;-1.133580e+00;1.078654e+00;3.622159e-01;1.083382e+00;6.814049e-01;6.326731e-01;1.512967e+00;1.943516e+00;1.681339e+00;8.011988e-01;-2.908340e-01;-5.522712e-02;-6.122204e-01;2.851784e-01;3.507350e-01
