name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.000000;2.872988e-02;-1.412080e+01;2.895068e+01;-2.566226e-02;2.372556e-02;2.615260e-03;2.007157e+01;1.711499e+00;7.755535e+00;6.155947e+00;0;0;0;0;0;0;8.116475e+02;1.285383e+03;-1.346341e+02;1.774519e+03;-1.361394e+02;2.755436e+03;-1.409084e+02
'unknown';0.010000;1.762856e-01;-7.929811e+00;2.294844e+01;-4.375650e-03;1.785438e-02;7.749691e-02;2.564512e+01;-1.282750e+01;5.539607e+00;-3.653529e+00;3.509029e+01;0;0;5.904162e-01;8.049491e-02;2.075641e+01;7.854938e+02;1.272334e+03;-6.702009e+01;1.713432e+03;-7.062049e+01;2.667598e+03;-8.161250e+01
'unknown';0.020000;3.986444e-01;-1.350462e+00;1.784329e+01;3.627523e-02;1.033164e-02;1.745069e-01;3.194217e+01;-2.892939e+01;-6.663911e-01;-1.222673e+01;3.526431e+01;0;0;2.638549e+00;-7.091639e-01;2.107619e+01;7.556575e+02;1.309427e+03;8.202627e-01;1.651151e+03;-4.822795e+00;2.576183e+03;-2.243518e+01
'unknown';0.030000;5.967511e-01;-3.071490e+00;2.092879e+01;6.357945e-02;-3.963043e-03;2.882791e-01;4.005088e+01;-3.157610e+01;-3.949187e+00;-1.898863e+01;3.559563e+01;0;4.564965e+00;6.319216e+00;-1.840486e+00;1.870389e+01;6.742790e+02;1.238105e+03;8.512869e-01;1.500441e+03;-2.359544e+00;2.386762e+03;-2.026427e+01
'unknown';0.040000;6.674371e-01;-2.871908e+00;2.235798e+01;7.979707e-02;-3.044377e-03;2.717805e-01;3.971572e+01;-2.879443e+01;-1.269438e+01;-1.777983e+01;3.574356e+01;0;3.279488e+00;9.231369e+00;-2.700721e+00;2.038779e+01;6.848123e+02;1.300361e+03;4.189072e-01;1.514315e+03;-2.254249e+00;2.496118e+03;-2.211221e+01
'unknown';0.050000;6.697138e-01;-2.686036e+00;2.407934e+01;7.287879e-02;1.823845e-03;2.162771e-01;4.137357e+01;-2.710869e+01;-1.675260e+01;-1.822303e+01;3.587680e+01;4.336867e-02;2.033877e+00;1.101465e+01;-3.014078e+00;1.907809e+01;5.473785e+02;1.289570e+03;-9.699733e-01;1.343615e+03;-1.078422e+00;2.266802e+03;-2.076694e+01
'unknown';0.060000;6.824398e-01;-2.600251e+00;2.472421e+01;7.168613e-02;3.410647e-03;1.199694e-01;4.078032e+01;-2.513756e+01;-1.944307e+01;-1.751716e+01;3.600950e+01;3.557678e-02;7.016538e-01;1.196079e+01;-3.164401e+00;2.422480e+01;7.113815e+02;1.415752e+03;-9.881726e-01;1.544727e+03;-3.805347e+00;2.636747e+03;-2.592047e+01
'unknown';0.070000;6.635691e-01;-2.662805e+00;2.680514e+01;6.828608e-02;4.817594e-03;1.019653e-01;4.391954e+01;-2.624352e+01;-1.911748e+01;-1.936663e+01;3.613705e+01;1.360569e-02;5.425212e-01;1.259543e+01;-3.400800e+00;2.118980e+01;7.202917e+02;1.501426e+03;-1.826399e+00;1.589173e+03;-5.200291e+00;2.322045e+03;-2.298968e+01
'unknown';0.080000;6.309612e-01;-3.145102e+00;2.792908e+01;6.927308e-02;2.716833e-03;7.934004e-02;4.426953e+01;-2.420120e+01;-2.027644e+01;-1.978560e+01;3.625510e+01;9.034892e-03;3.884181e-01;1.279666e+01;-3.602119e+00;2.176706e+01;8.687375e+02;1.606991e+03;-4.827480e-01;1.754911e+03;-6.627966e+00;2.406581e+03;-2.350079e+01
'unknown';0.090000;5.994683e-01;-3.592520e+00;2.842459e+01;6.234695e-02;2.363612e-03;7.460283e-02;4.509759e+01;-2.336093e+01;-2.060713e+01;-2.054250e+01;3.637099e+01;4.756527e-03;3.326142e-01;1.287230e+01;-3.732487e+00;1.559698e+01;6.305974e+02;1.807268e+03;2.077720e-01;1.510586e+03;-4.128940e+00;1.993931e+03;-1.698319e+01
'unknown';0.100000;5.835465e-01;-3.814526e+00;2.809140e+01;6.224357e-02;4.304796e-04;5.069879e-02;4.485111e+01;-2.350493e+01;-2.050883e+01;-1.927365e+01;3.648661e+01;4.549897e-03;3.136394e-01;1.288081e+01;-3.649080e+00;1.247138e+01;4.670073e+02;1.772582e+03;0;1.281185e+03;-1.126401e+00;1.967797e+03;-1.354594e+01
'unknown';0.110000;5.721440e-01;-4.041972e+00;2.775216e+01;5.812724e-02;-1.102119e-03;5.437436e-02;4.326716e+01;-2.203310e+01;-2.119197e+01;-1.840263e+01;3.656627e+01;3.985065e-03;2.661522e-01;1.303566e+01;-3.647135e+00;8.379988e+00;3.154740e+02;1.769460e+03;-1.152922e+00;1.128021e+03;7.943371e-01;1.880075e+03;-9.410973e+00
'unknown';0.120000;5.651768e-01;-3.999572e+00;2.816111e+01;5.977726e-02;-1.382636e-03;5.915919e-02;4.477759e+01;-2.456048e+01;-2.022302e+01;-1.743355e+01;3.660480e+01;2.955611e-03;1.548199e-01;1.287253e+01;-3.721527e+00;1.329824e+01;5.268450e+02;1.620797e+03;-2.377391e-02;1.322066e+03;-8.608103e-02;2.065879e+03;-1.457600e+01
'unknown';0.130000;5.651796e-01;-3.696215e+00;2.860562e+01;5.627173e-02;-5.056779e-04;5.012970e-02;4.310829e+01;-2.314072e+01;-2.198313e+01;-1.557157e+01;3.663241e+01;5.648716e-03;1.280111e-01;1.247300e+01;-3.769603e+00;1.660100e+01;6.697874e+02;1.748120e+03;9.205289e-01;1.469156e+03;-9.779131e-01;2.169219e+03;-1.817451e+01
'unknown';0.140000;5.771278e-01;-2.930455e+00;2.672022e+01;5.775224e-02;4.284602e-03;4.542178e-02;4.213480e+01;-2.542113e+01;-2.005435e+01;-1.494700e+01;3.669362e+01;8.241427e-03;8.481883e-02;1.171903e+01;-3.780603e+00;2.314180e+01;8.286319e+02;1.719958e+03;1.845799e+00;1.634053e+03;-2.241663e+00;2.416677e+03;-2.507660e+01
'unknown';0.150000;5.861740e-01;-2.311403e+00;2.421671e+01;6.053750e-02;6.700582e-03;4.534490e-02;3.841241e+01;-2.404975e+01;-1.939804e+01;-1.512598e+01;3.678741e+01;1.032737e-02;9.378520e-02;1.174905e+01;-3.624027e+00;2.395211e+01;8.356731e+02;1.709676e+03;1.368659e+00;1.634835e+03;-2.150223e+00;2.464514e+03;-2.620747e+01
'unknown';0.160000;5.880345e-01;-2.001826e+00;2.259471e+01;6.441548e-02;9.755983e-03;6.627033e-02;3.612281e+01;-2.384691e+01;-1.776863e+01;-1.664510e+01;3.689188e+01;8.301996e-03;7.821090e-02;1.199976e+01;-3.382420e+00;2.097807e+01;6.585198e+02;1.770630e+03;1.131233e+00;1.489815e+03;-2.020025e+00;2.330894e+03;-2.337961e+01
'unknown';0.170000;5.676798e-01;-2.348983e+00;2.358542e+01;6.554515e-02;9.269197e-03;6.320055e-02;3.637313e+01;-2.290715e+01;-1.847535e+01;-1.729319e+01;3.699173e+01;8.079029e-03;1.301167e-01;1.232477e+01;-3.114787e+00;2.073462e+01;6.404960e+02;1.726934e+03;0;1.461357e+03;-1.970432e+00;2.276233e+03;-2.306438e+01
'unknown';0.180000;5.576822e-01;-2.465806e+00;2.357405e+01;6.540046e-02;9.827405e-03;6.176054e-02;3.636864e+01;-2.240276e+01;-1.940829e+01;-1.736203e+01;3.706925e+01;5.244046e-03;1.369517e-01;1.241608e+01;-3.036107e+00;1.840724e+01;6.104590e+02;1.901393e+03;8.823450e-01;1.461992e+03;-1.950691e+00;2.201013e+03;-2.062840e+01
'unknown';0.190000;5.495526e-01;-2.714097e+00;2.407594e+01;6.606641e-02;9.858817e-03;5.378194e-02;3.622261e+01;-2.210497e+01;-2.013081e+01;-1.723128e+01;3.712202e+01;6.537080e-03;2.279349e-01;1.265915e+01;-3.028029e+00;1.897589e+01;6.530604e+02;1.759537e+03;-1.657590e-01;1.541028e+03;-2.253298e+00;2.238557e+03;-2.117931e+01
'unknown';0.200000;5.468519e-01;-2.949862e+00;2.437606e+01;6.661385e-02;1.040212e-02;4.865779e-02;3.612881e+01;-2.242966e+01;-1.949423e+01;-1.779980e+01;3.717066e+01;6.027704e-03;2.514379e-01;1.314324e+01;-2.953832e+00;1.961221e+01;6.495107e+02;1.776541e+03;-3.236415e-01;1.539757e+03;-2.552621e+00;2.248523e+03;-2.189932e+01
'unknown';0.210000;5.366728e-01;-3.398689e+00;2.491197e+01;7.619968e-02;1.137270e-02;4.692547e-02;3.612774e+01;-2.244895e+01;-1.908951e+01;-1.850438e+01;3.723226e+01;8.632894e-03;4.231232e-01;1.314694e+01;-2.834923e+00;2.017015e+01;5.459829e+02;1.639522e+03;-1.504155e+00;1.475439e+03;-2.738957e+00;2.208148e+03;-2.261904e+01
'unknown';0.220000;5.276085e-01;-3.471928e+00;2.513547e+01;8.128928e-02;1.171405e-02;5.082327e-02;3.769975e+01;-2.314079e+01;-1.889052e+01;-1.851461e+01;3.730183e+01;9.135445e-03;5.262347e-01;1.302692e+01;-2.844744e+00;2.585268e+01;6.567977e+02;1.686955e+03;-6.926232e-01;1.539075e+03;-3.015862e+00;2.392954e+03;-2.849022e+01
'unknown';0.230000;5.219748e-01;-3.487987e+00;2.585102e+01;8.394647e-02;1.278505e-02;5.052324e-02;3.884152e+01;-2.349957e+01;-1.909133e+01;-1.946485e+01;3.737665e+01;9.637996e-03;6.293462e-01;1.275885e+01;-2.844040e+00;2.668203e+01;6.584579e+02;1.694838e+03;-7.019570e-01;1.548232e+03;-3.412834e+00;2.398405e+03;-2.932820e+01
'unknown';0.240000;5.176684e-01;-3.598832e+00;2.672719e+01;7.346156e-02;1.223908e-02;3.950072e-02;4.091289e+01;-2.456517e+01;-1.772661e+01;-1.989020e+01;3.745233e+01;8.698124e-03;6.072844e-01;1.256349e+01;-2.767799e+00;2.990362e+01;7.757775e+02;1.608312e+03;3.396070e-01;1.601643e+03;-4.058094e+00;2.528166e+03;-3.233181e+01
'unknown';0.250000;5.147277e-01;-3.857389e+00;2.797533e+01;6.859166e-02;1.280986e-02;3.713399e-02;4.198391e+01;-2.534810e+01;-1.715346e+01;-2.054897e+01;3.751230e+01;5.685715e-03;6.631358e-01;1.243110e+01;-2.444772e+00;3.126115e+01;7.982477e+02;1.509327e+03;3.062788e-01;1.617622e+03;-4.877339e+00;2.543541e+03;-3.339964e+01
'unknown';0.260000;5.069819e-01;-4.422615e+00;2.884029e+01;7.287577e-02;1.048252e-02;3.933969e-02;4.251360e+01;-2.472450e+01;-1.825533e+01;-2.033535e+01;3.752020e+01;2.903236e-03;6.661427e-01;1.276192e+01;-2.030712e+00;3.020664e+01;7.916440e+02;1.515621e+03;-6.077627e-02;1.612979e+03;-5.955618e+00;2.491223e+03;-3.229813e+01
'unknown';0.270000;4.930769e-01;-5.357677e+00;3.100168e+01;7.713199e-02;7.012324e-03;4.589018e-02;4.218250e+01;-2.162126e+01;-2.149285e+01;-2.019269e+01;3.748047e+01;3.613797e-03;7.624127e-01;1.321847e+01;-1.483159e+00;2.214987e+01;6.652432e+02;1.675005e+03;-1.112145e+00;1.445120e+03;-7.218359e+00;2.214205e+03;-2.446914e+01
'unknown';0.280000;4.695566e-01;-6.682418e+00;3.214759e+01;7.513776e-02;5.056282e-03;4.160732e-02;4.414725e+01;-2.061975e+01;-2.225432e+01;-1.906796e+01;3.741983e+01;4.357235e-03;7.389737e-01;1.334556e+01;-6.742502e-01;2.276132e+01;6.531231e+02;1.662224e+03;-2.183657e+00;1.432171e+03;-8.738113e+00;2.177286e+03;-2.534319e+01
'unknown';0.290000;4.505335e-01;-7.703288e+00;3.376036e+01;6.238256e-02;6.054380e-03;4.070029e-02;4.289037e+01;-1.550640e+01;-2.350683e+01;-1.649606e+01;3.735776e+01;6.196521e-03;5.515901e-01;1.323385e+01;2.860682e-01;1.641932e+01;5.077950e+02;1.908008e+03;-2.909997e+00;1.229372e+03;-9.795180e+00;1.965488e+03;-1.912560e+01
'unknown';0.300000;4.266323e-01;-8.779504e+00;3.485830e+01;6.775390e-02;4.995991e-03;4.090233e-02;4.577589e+01;-1.652482e+01;-2.142159e+01;-1.568790e+01;3.730954e+01;5.490585e-03;3.236640e-01;1.324757e+01;1.195283e+00;2.334955e+01;6.335723e+02;1.797323e+03;0;1.417531e+03;-1.097601e+01;2.165767e+03;-2.605429e+01
'unknown';0.310000;4.096780e-01;-9.461776e+00;3.560435e+01;7.335581e-02;4.337253e-03;3.049362e-02;4.525057e+01;-1.414635e+01;-2.105804e+01;-1.548428e+01;3.728677e+01;6.113190e-03;2.004844e-01;1.342644e+01;1.966303e+00;2.344813e+01;6.443564e+02;1.874099e+03;-4.950602e+00;1.456474e+03;-1.186769e+01;2.155681e+03;-2.611061e+01
'unknown';0.320000;3.920865e-01;-1.030530e+01;3.531448e+01;8.638000e-02;2.485182e-03;2.631046e-02;4.792770e+01;-1.640171e+01;-1.828713e+01;-1.595042e+01;3.729159e+01;4.247162e-03;1.790946e-01;1.350701e+01;2.815958e+00;2.744121e+01;6.537668e+02;1.641875e+03;-4.950602e+00;1.497948e+03;-1.327154e+01;2.205262e+03;-3.003183e+01
'unknown';0.330000;3.796291e-01;-1.108481e+01;3.541747e+01;8.043038e-02;1.411107e-03;2.111014e-02;4.775262e+01;-1.452987e+01;-1.854300e+01;-1.385310e+01;3.731190e+01;3.126507e-03;1.821201e-01;1.350888e+01;3.991708e+00;3.061889e+01;6.691426e+02;1.700824e+03;0;1.529940e+03;-1.495197e+01;2.391096e+03;-3.311931e+01
'unknown';0.340000;3.647819e-01;-1.224512e+01;3.562069e+01;7.953849e-02;-2.768501e-03;2.018348e-02;4.886765e+01;-1.349512e+01;-1.856801e+01;-1.182616e+01;3.734036e+01;3.192003e-03;1.063506e-01;1.350624e+01;5.550437e+00;3.163563e+01;6.710267e+02;1.666247e+03;-8.853984e+00;1.522110e+03;-1.719312e+01;2.515215e+03;-3.409402e+01
'unknown';0.350000;3.498644e-01;-1.388248e+01;3.648238e+01;7.206129e-02;-6.975735e-03;2.344952e-02;4.751080e+01;-8.704688e+00;-2.001238e+01;-1.133705e+01;3.737564e+01;4.420355e-03;1.455802e-01;1.337920e+01;7.418863e+00;3.734115e+01;8.037125e+02;1.637932e+03;-1.013642e+01;1.681615e+03;-1.960725e+01;2.819914e+03;-4.005870e+01
'unknown';0.360000;3.346760e-01;-1.577808e+01;3.750269e+01;6.965908e-02;-7.047471e-03;3.186336e-02;4.841831e+01;-6.061160e+00;-1.900097e+01;-1.088012e+01;3.740275e+01;4.393317e-03;1.315418e-01;1.320517e+01;9.367013e+00;3.661998e+01;7.970831e+02;1.577782e+03;-1.307987e+01;1.666856e+03;-2.205941e+01;2.786453e+03;-4.033284e+01
'unknown';0.370000;3.184616e-01;-1.815057e+01;3.839847e+01;6.897511e-02;-6.464337e-03;3.677676e-02;4.682540e+01;-1.206000e+00;-1.711009e+01;-1.101295e+01;3.741389e+01;4.668794e-03;1.834556e-01;1.336399e+01;1.110341e+01;3.403232e+01;7.667888e+02;1.584158e+03;-1.698573e+01;1.633079e+03;-2.424912e+01;2.777413e+03;-3.991464e+01
'unknown';0.380000;2.811909e-01;-1.994672e+01;3.943442e+01;7.151031e-02;-5.090964e-03;6.002058e-02;4.798111e+01;6.149208e-01;-1.305490e+01;-8.139297e+00;3.742467e+01;3.530242e-03;5.516570e-01;1.388913e+01;1.272197e+01;2.970990e+01;7.561234e+02;1.594534e+03;-2.160111e+01;1.630554e+03;-2.629636e+01;2.758264e+03;-3.858904e+01
'unknown';0.390000;2.307434e-01;-2.178947e+01;3.949192e+01;6.033558e-02;-1.734955e-03;7.100023e-02;4.449300e+01;3.697611e+00;-4.994329e+00;-4.206916e+00;3.744281e+01;2.893760e-03;9.180523e-01;1.450845e+01;1.403256e+01;2.565037e+01;6.682310e+02;1.791755e+03;-2.033585e+01;1.560369e+03;-2.808472e+01;2.725720e+03;-3.702133e+01
