name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.000000;2.575334e-01;-2.324790e+00;1.374727e+01;3.326550e-02;2.709324e-03;4.845877e-02;2.891755e+01;-2.650373e+01;7.537188e+00;-1.609615e+01;3.331902e+01;0;0;-3.513436e+00;-1.105071e+00;1.648542e+01;5.709249e+02;1.454542e+03;-1.777839e+00;1.530225e+03;-1.024524e+01;2.606685e+03;-1.930257e+01
'unknown';0.010000;3.271467e-01;-3.978728e+00;1.653555e+01;4.823983e-02;-2.393254e-03;8.018398e-02;3.263894e+01;-2.521689e+01;4.480863e+00;-1.546488e+01;3.325284e+01;0;0;-4.576224e-01;-1.671727e+00;1.655385e+01;6.752831e+02;1.431338e+03;-1.601003e-01;1.586816e+03;-8.607549e+00;2.612699e+03;-1.928435e+01
'unknown';0.020000;4.120549e-01;-5.612690e+00;1.889821e+01;6.343389e-02;-8.879571e-03;1.149268e-01;3.710103e+01;-2.501612e+01;2.210158e+00;-1.618303e+01;3.316347e+01;8.802007e-02;2.616147e+00;3.356498e+00;-2.389566e+00;1.760845e+01;7.826157e+02;1.449423e+03;1.596094e+00;1.650018e+03;-6.834555e+00;2.638132e+03;-2.025009e+01
'unknown';0.030000;4.552339e-01;-5.490013e+00;2.007026e+01;5.821204e-02;-6.954832e-03;1.159268e-01;3.638669e+01;-2.328357e+01;-1.008779e+00;-1.470680e+01;3.313236e+01;6.217910e-02;2.669799e+00;6.115900e+00;-2.835238e+00;1.975587e+01;6.882830e+02;1.526361e+03;1.620952e+00;1.615631e+03;-6.103163e+00;2.652133e+03;-2.232763e+01
'unknown';0.040000;4.937236e-01;-5.112804e+00;2.035935e+01;5.100760e-02;-6.515527e-03;1.099996e-01;3.565532e+01;-2.312916e+01;-1.266787e+00;-1.654347e+01;3.315285e+01;4.865040e-02;1.934274e+00;7.549673e+00;-2.961254e+00;2.196313e+01;6.936633e+02;1.563878e+03;1.660559e+00;1.617141e+03;-6.150904e+00;2.675901e+03;-2.444833e+01
'unknown';0.050000;5.117411e-01;-4.969177e+00;2.129314e+01;3.925733e-02;-6.082784e-03;1.127523e-01;3.477882e+01;-2.110532e+01;-4.017431e+00;-1.529233e+01;3.322802e+01;3.512172e-02;1.198749e+00;8.668774e+00;-2.920933e+00;2.366289e+01;6.972823e+02;1.555103e+03;1.546018e+00;1.607604e+03;-6.238604e+00;2.664152e+03;-2.604312e+01
'unknown';0.060000;4.972744e-01;-4.906967e+00;2.350578e+01;4.600082e-02;-6.166776e-03;9.427977e-02;3.873240e+01;-2.194570e+01;-6.315502e+00;-1.322874e+01;3.330748e+01;3.195008e-02;5.292456e-01;1.006421e+01;-2.861455e+00;2.420410e+01;8.075957e+02;1.511499e+03;1.995723e+00;1.660541e+03;-6.405839e+00;2.572714e+03;-2.651455e+01
'unknown';0.070000;4.839560e-01;-5.098309e+00;2.507910e+01;4.212990e-02;-6.388639e-03;1.046270e-01;4.211308e+01;-2.203179e+01;-9.233573e+00;-1.043254e+01;3.337805e+01;2.404379e-02;4.692260e-01;1.103914e+01;-2.819897e+00;2.473034e+01;8.093974e+02;1.516500e+03;1.771777e+00;1.660417e+03;-6.391289e+00;2.502174e+03;-2.706928e+01
'unknown';0.080000;4.736430e-01;-5.284250e+00;2.656796e+01;4.683388e-02;-5.613830e-03;7.657970e-02;4.482582e+01;-2.228310e+01;-1.101838e+01;-8.637626e+00;3.343190e+01;1.857553e-02;3.742355e-01;1.170067e+01;-2.781617e+00;2.481326e+01;8.073906e+02;1.511469e+03;1.474581e+00;1.659006e+03;-6.360336e+00;2.481727e+03;-2.722250e+01
'unknown';0.090000;4.704030e-01;-5.696661e+00;2.738083e+01;3.553003e-02;-5.928227e-03;5.289513e-02;4.580371e+01;-2.165288e+01;-1.174608e+01;-8.123427e+00;3.346737e+01;2.859120e-02;1.595716e-01;1.192519e+01;-2.733147e+00;2.500833e+01;7.959835e+02;1.519399e+03;1.243291e+00;1.632588e+03;-6.025899e+00;2.475299e+03;-2.747427e+01
'unknown';0.100000;4.681940e-01;-6.028775e+00;2.793755e+01;4.478696e-02;-6.665217e-03;2.474240e-02;4.675943e+01;-2.172540e+01;-1.111216e+01;-8.975513e+00;3.349575e+01;2.234189e-02;1.602743e-01;1.216915e+01;-2.696279e+00;2.506133e+01;7.918882e+02;1.526606e+03;1.075796e+00;1.622508e+03;-5.765841e+00;2.483170e+03;-2.753488e+01
'unknown';0.110000;4.697883e-01;-6.153303e+00;2.838805e+01;4.404106e-02;-7.154168e-03;2.150839e-02;4.722255e+01;-2.119511e+01;-1.173893e+01;-9.087487e+00;3.350823e+01;1.365457e-02;1.959479e-01;1.216801e+01;-2.737887e+00;2.092888e+01;6.727211e+02;1.632617e+03;-1.243300e-01;1.533686e+03;-4.964490e+00;2.324805e+03;-2.338163e+01
'unknown';0.120000;4.680194e-01;-6.474770e+00;2.858829e+01;5.698832e-02;-8.022760e-03;2.065608e-02;4.568430e+01;-1.862824e+01;-1.289972e+01;-8.834947e+00;3.348765e+01;6.081654e-03;1.850693e-01;1.184680e+01;-2.909595e+00;1.708564e+01;5.481146e+02;1.648514e+03;-1.286964e+00;1.430442e+03;-4.493635e+00;2.166103e+03;-1.950140e+01
'unknown';0.130000;4.672105e-01;-6.577219e+00;2.833908e+01;5.639190e-02;-8.279304e-03;2.306993e-02;4.544197e+01;-1.799959e+01;-1.338554e+01;-7.705770e+00;3.343475e+01;7.196065e-03;1.385170e-01;1.181557e+01;-3.184336e+00;1.723613e+01;5.243694e+02;1.747453e+03;-1.469819e+00;1.407295e+03;-4.808517e+00;2.135774e+03;-1.958998e+01
