,other probability,nod probability,shake probability,annotation
0,1.0,0.0,0.0,0
1,1.0,0.0,0.0,0
2,1.0,0.0,0.0,0
3,1.0,0.0,0.0,0
4,1.0,0.0,0.0,0
5,0.0,0.0,1.0,2
6,0.0,0.0,1.0,2
7,0.0,0.0,1.0,2
8,0.0,0.0,1.0,2
9,0.0,0.0,1.0,2
10,0.0,0.0,1.0,2
11,0.0,1.0,0.0,1
12,0.0,1.0,0.0,1
13,0.0,1.0,0.0,1
14,1.0,0.0,0.0,0
15,1.0,0.0,0.0,0
16,1.0,0.0,0.0,0
17,1.0,0.0,0.0,0
18,1.0,0.0,0.0,0
19,1.0,0.0,0.0,0
20,1.0,0.0,0.0,0
21,1.0,0.0,0.0,0
22,1.0,0.0,0.0,0
23,1.0,0.0,0.0,0
24,1.0,0.0,0.0,0
25,1.0,0.0,0.0,0
26,1.0,0.0,0.0,0
27,1.0,0.0,0.0,0
28,1.0,0.0,0.0,0
29,1.0,0.0,0.0,0
30,1.0,0.0,0.0,0
31,1.0,0.0,0.0,0
32,1.0,0.0,0.0,0
33,1.0,0.0,0.0,0
34,1.0,0.0,0.0,0
35,1.0,0.0,0.0,0
36,1.0,0.0,0.0,0
37,0.0,1.0,0.0,1
38,0.0,1.0,0.0,1
39,0.0,1.0,0.0,1
40,1.0,0.0,0.0,0
41,1.0,0.0,0.0,0
42,1.0,0.0,0.0,0
43,1.0,0.0,0.0,0
44,1.0,0.0,0.0,0
45,1.0,0.0,0.0,0
46,1.0,0.0,0.0,0
47,1.0,0.0,0.0,0
48,1.0,0.0,0.0,0
49,1.0,0.0,0.0,0
50,1.0,0.0,0.0,0
51,1.0,0.0,0.0,0
52,1.0,0.0,0.0,0
53,1.0,0.0,0.0,0
54,0.0,1.0,0.0,1
55,0.0,1.0,0.0,1
56,0.0,1.0,0.0,1
57,0.0,1.0,0.0,1
58,0.0,1.0,0.0,1
59,0.0,1.0,0.0,1
60,0.0,1.0,0.0,1
61,0.0,1.0,0.0,1
62,0.0,1.0,0.0,1
63,0.0,1.0,0.0,1
64,0.0,1.0,0.0,1
65,0.0,1.0,0.0,1
66,0.0,1.0,0.0,1
67,0.0,1.0,0.0,1
68,0.0,1.0,0.0,1
69,0.0,1.0,0.0,1
70,0.0,1.0,0.0,1
71,0.0,1.0,0.0,1
72,0.0,0.0,1.0,2
73,0.0,0.0,1.0,2
74,0.0,1.0,0.0,1
75,0.0,1.0,0.0,1
76,0.0,1.0,0.0,1
77,0.0,1.0,0.0,1
78,0.0,1.0,0.0,1
79,0.0,1.0,0.0,1
80,0.0,1.0,0.0,1
81,0.0,1.0,0.0,1
82,0.0,1.0,0.0,1
83,0.0,1.0,0.0,1
84,0.0,1.0,0.0,1
85,0.0,1.0,0.0,1
86,0.0,1.0,0.0,1
87,0.0,1.0,0.0,1
88,0.0,1.0,0.0,1
89,0.0,1.0,0.0,1
90,0.0,0.0,1.0,2
91,0.0,0.0,1.0,2
92,0.0,1.0,0.0,1
93,0.0,1.0,0.0,1
94,0.0,1.0,0.0,1
95,0.0,1.0,0.0,1
96,0.0,1.0,0.0,1
97,1.0,0.0,0.0,0
98,1.0,0.0,0.0,0
99,1.0,0.0,0.0,0
100,0.0,1.0,0.0,1
101,0.0,1.0,0.0,1
102,0.0,1.0,0.0,1
103,1.0,0.0,0.0,0
104,1.0,0.0,0.0,0
105,0.0,1.0,0.0,1
106,0.0,1.0,0.0,1
107,0.0,1.0,0.0,1
108,1.0,0.0,0.0,0
109,0.0,1.0,0.0,1
110,1.0,0.0,0.0,0
111,1.0,0.0,0.0,0
112,1.0,0.0,0.0,0
113,1.0,0.0,0.0,0
114,1.0,0.0,0.0,0
115,1.0,0.0,0.0,0
116,1.0,0.0,0.0,0
117,1.0,0.0,0.0,0
118,1.0,0.0,0.0,0
119,1.0,0.0,0.0,0
120,1.0,0.0,0.0,0
121,1.0,0.0,0.0,0
122,0.0,0.0,1.0,2
123,0.0,0.0,1.0,2
124,1.0,0.0,0.0,0
125,0.0,1.0,0.0,1
126,0.0,1.0,0.0,1
127,0.0,1.0,0.0,1
128,0.0,1.0,0.0,1
129,0.0,1.0,0.0,1
130,0.0,0.0,1.0,2
131,0.0,0.0,1.0,2
132,0.0,0.0,1.0,2
133,0.0,0.0,1.0,2
134,0.0,0.0,1.0,2
135,0.0,0.0,1.0,2
136,0.0,0.0,1.0,2
137,0.0,0.0,1.0,2
138,0.0,0.0,1.0,2
139,0.0,0.0,1.0,2
140,0.0,0.0,1.0,2
141,0.0,0.0,1.0,2
142,1.0,0.0,0.0,0
143,1.0,0.0,0.0,0
144,1.0,0.0,0.0,0
145,0.0,1.0,0.0,1
146,0.0,1.0,0.0,1
147,0.0,1.0,0.0,1
148,1.0,0.0,0.0,0
149,0.0,1.0,0.0,1
150,0.0,1.0,0.0,1
151,0.0,0.0,1.0,2
152,0.0,0.0,1.0,2
153,0.0,0.0,1.0,2
154,0.0,0.0,1.0,2
155,0.0,0.0,1.0,2
156,0.0,0.0,1.0,2
157,0.0,0.0,1.0,2
158,0.0,0.0,1.0,2
159,0.0,0.0,1.0,2
160,0.0,0.0,1.0,2
161,0.0,1.0,0.0,1
162,0.0,0.0,1.0,2
163,0.0,0.0,1.0,2
164,0.0,0.0,1.0,2
165,0.0,0.0,1.0,2
166,0.0,0.0,1.0,2
167,0.0,0.0,1.0,2
168,0.0,0.0,1.0,2
169,0.0,0.0,1.0,2
170,0.0,1.0,0.0,1
171,0.0,1.0,0.0,1
172,0.0,1.0,0.0,1
173,0.0,1.0,0.0,1
174,0.0,1.0,0.0,1
175,0.0,1.0,0.0,1
176,0.0,1.0,0.0,1
177,0.0,1.0,0.0,1
178,0.0,1.0,0.0,1
179,0.0,1.0,0.0,1
180,0.0,1.0,0.0,1
181,0.0,1.0,0.0,1
182,0.0,1.0,0.0,1
183,0.0,1.0,0.0,1
184,0.0,1.0,0.0,1
185,0.0,1.0,0.0,1
186,0.0,1.0,0.0,1
187,0.0,1.0,0.0,1
188,0.0,1.0,0.0,1
189,0.0,1.0,0.0,1
190,0.0,1.0,0.0,1
191,0.0,1.0,0.0,1
192,1.0,0.0,0.0,0
193,1.0,0.0,0.0,0
194,1.0,0.0,0.0,0
195,1.0,0.0,0.0,0
196,1.0,0.0,0.0,0
197,1.0,0.0,0.0,0
198,1.0,0.0,0.0,0
199,1.0,0.0,0.0,0
200,1.0,0.0,0.0,0
201,1.0,0.0,0.0,0
202,1.0,0.0,0.0,0
203,1.0,0.0,0.0,0
204,1.0,0.0,0.0,0
205,1.0,0.0,0.0,0
206,1.0,0.0,0.0,0
