,other probability,nod probability,shake probability,annotation
0,1.0,0.0,0.0,0
1,1.0,0.0,0.0,0
2,1.0,0.0,0.0,0
3,1.0,0.0,0.0,0
4,1.0,0.0,0.0,0
5,1.0,0.0,0.0,0
6,1.0,0.0,0.0,0
7,1.0,0.0,0.0,0
8,1.0,0.0,0.0,0
9,0.0,0.0,1.0,2
10,0.0,0.0,1.0,2
11,0.0,0.0,1.0,2
12,1.0,0.0,0.0,0
13,1.0,0.0,0.0,0
14,0.0,1.0,0.0,1
15,0.0,1.0,0.0,1
16,0.0,1.0,0.0,1
17,1.0,0.0,0.0,0
18,1.0,0.0,0.0,0
19,1.0,0.0,0.0,0
20,1.0,0.0,0.0,0
21,1.0,0.0,0.0,0
22,0.0,1.0,0.0,1
23,0.0,1.0,0.0,1
24,0.0,1.0,0.0,1
25,0.0,1.0,0.0,1
26,1.0,0.0,0.0,0
27,1.0,0.0,0.0,0
28,1.0,0.0,0.0,0
29,1.0,0.0,0.0,0
30,1.0,0.0,0.0,0
31,1.0,0.0,0.0,0
32,0.0,1.0,0.0,1
33,0.0,1.0,0.0,1
34,0.0,1.0,0.0,1
35,0.0,1.0,0.0,1
36,0.0,1.0,0.0,1
37,0.0,1.0,0.0,1
38,0.0,1.0,0.0,1
39,0.0,1.0,0.0,1
40,0.0,1.0,0.0,1
41,0.0,1.0,0.0,1
42,0.0,1.0,0.0,1
43,0.0,1.0,0.0,1
44,0.0,1.0,0.0,1
45,0.0,1.0,0.0,1
46,0.0,1.0,0.0,1
47,0.0,1.0,0.0,1
48,0.0,1.0,0.0,1
49,0.0,1.0,0.0,1
50,0.0,1.0,0.0,1
51,0.0,1.0,0.0,1
52,0.0,1.0,0.0,1
53,0.0,1.0,0.0,1
54,0.0,1.0,0.0,1
55,1.0,0.0,0.0,0
56,0.0,1.0,0.0,1
57,0.0,1.0,0.0,1
58,0.0,0.0,1.0,2
59,0.0,0.0,1.0,2
60,0.0,0.0,1.0,2
61,0.0,0.0,1.0,2
62,0.0,0.0,1.0,2
63,0.0,0.0,1.0,2
64,0.0,1.0,0.0,1
65,0.0,1.0,0.0,1
66,0.0,1.0,0.0,1
67,0.0,1.0,0.0,1
68,0.0,1.0,0.0,1
69,0.0,1.0,0.0,1
70,0.0,1.0,0.0,1
71,0.0,1.0,0.0,1
72,0.0,1.0,0.0,1
73,0.0,1.0,0.0,1
74,0.0,1.0,0.0,1
75,0.0,1.0,0.0,1
76,0.0,1.0,0.0,1
77,0.0,1.0,0.0,1
78,0.0,1.0,0.0,1
79,0.0,1.0,0.0,1
80,0.0,1.0,0.0,1
81,0.0,1.0,0.0,1
82,0.0,1.0,0.0,1
83,0.0,1.0,0.0,1
84,0.0,1.0,0.0,1
85,0.0,1.0,0.0,1
86,0.0,1.0,0.0,1
87,0.0,1.0,0.0,1
88,0.0,1.0,0.0,1
89,0.0,1.0,0.0,1
90,0.0,1.0,0.0,1
91,0.0,1.0,0.0,1
92,0.0,1.0,0.0,1
93,0.0,1.0,0.0,1
94,0.0,1.0,0.0,1
95,0.0,1.0,0.0,1
96,0.0,1.0,0.0,1
97,0.0,1.0,0.0,1
98,0.0,1.0,0.0,1
99,0.0,1.0,0.0,1
100,0.0,1.0,0.0,1
101,0.0,1.0,0.0,1
102,0.0,1.0,0.0,1
103,0.0,1.0,0.0,1
104,0.0,1.0,0.0,1
105,0.0,1.0,0.0,1
106,0.0,1.0,0.0,1
107,0.0,1.0,0.0,1
108,0.0,1.0,0.0,1
109,0.0,1.0,0.0,1
110,0.0,1.0,0.0,1
111,0.0,1.0,0.0,1
112,0.0,0.0,1.0,2
113,0.0,1.0,0.0,1
114,0.0,0.0,1.0,2
115,0.0,0.0,1.0,2
116,0.0,0.0,1.0,2
117,0.0,0.0,1.0,2
118,0.0,0.0,1.0,2
119,0.0,0.0,1.0,2
120,0.0,0.0,1.0,2
121,0.0,0.0,1.0,2
122,0.0,0.0,1.0,2
123,0.0,1.0,0.0,1
124,0.0,1.0,0.0,1
125,0.0,1.0,0.0,1
126,0.0,1.0,0.0,1
127,0.0,0.0,1.0,2
128,0.0,0.0,1.0,2
129,0.0,0.0,1.0,2
130,0.0,0.0,1.0,2
131,0.0,0.0,1.0,2
132,0.0,1.0,0.0,1
133,0.0,0.0,1.0,2
134,0.0,0.0,1.0,2
135,0.0,0.0,1.0,2
136,0.0,0.0,1.0,2
137,0.0,0.0,1.0,2
138,0.0,0.0,1.0,2
139,0.0,0.0,1.0,2
140,0.0,1.0,0.0,1
141,0.0,1.0,0.0,1
142,0.0,1.0,0.0,1
143,0.0,1.0,0.0,1
144,0.0,1.0,0.0,1
145,0.0,1.0,0.0,1
146,0.0,1.0,0.0,1
147,0.0,1.0,0.0,1
148,0.0,1.0,0.0,1
149,0.0,1.0,0.0,1
150,0.0,1.0,0.0,1
151,0.0,1.0,0.0,1
152,0.0,1.0,0.0,1
153,0.0,1.0,0.0,1
154,0.0,1.0,0.0,1
155,0.0,1.0,0.0,1
156,0.0,1.0,0.0,1
157,0.0,1.0,0.0,1
158,0.0,1.0,0.0,1
159,0.0,1.0,0.0,1
160,0.0,1.0,0.0,1
161,0.0,1.0,0.0,1
162,0.0,1.0,0.0,1
163,0.0,1.0,0.0,1
164,0.0,1.0,0.0,1
165,0.0,1.0,0.0,1
166,1.0,0.0,0.0,0
167,1.0,0.0,0.0,0
168,1.0,0.0,0.0,0
169,1.0,0.0,0.0,0
170,1.0,0.0,0.0,0
171,1.0,0.0,0.0,0
172,1.0,0.0,0.0,0
173,1.0,0.0,0.0,0
174,1.0,0.0,0.0,0
175,1.0,0.0,0.0,0
176,1.0,0.0,0.0,0
177,1.0,0.0,0.0,0
178,1.0,0.0,0.0,0
179,1.0,0.0,0.0,0
180,1.0,0.0,0.0,0
181,1.0,0.0,0.0,0
182,1.0,0.0,0.0,0
183,1.0,0.0,0.0,0
184,1.0,0.0,0.0,0
185,1.0,0.0,0.0,0
186,1.0,0.0,0.0,0
187,1.0,0.0,0.0,0
188,1.0,0.0,0.0,0
189,0.0,1.0,0.0,1
190,0.0,1.0,0.0,1
191,0.0,1.0,0.0,1
192,0.0,1.0,0.0,1
193,0.0,1.0,0.0,1
194,1.0,0.0,0.0,0
195,1.0,0.0,0.0,0
196,1.0,0.0,0.0,0
197,1.0,0.0,0.0,0
198,0.0,1.0,0.0,1
199,0.0,1.0,0.0,1
200,0.0,0.0,1.0,2
201,0.0,0.0,1.0,2
202,0.0,0.0,1.0,2
203,0.0,0.0,1.0,2
204,0.0,0.0,1.0,2
205,0.0,0.0,1.0,2
206,0.0,0.0,1.0,2
207,0.0,0.0,1.0,2
208,0.0,0.0,1.0,2
209,0.0,0.0,1.0,2
210,0.0,0.0,1.0,2
211,0.0,0.0,1.0,2
212,0.0,0.0,1.0,2
213,0.0,0.0,1.0,2
214,0.0,0.0,1.0,2
215,0.0,0.0,1.0,2
216,0.0,0.0,1.0,2
217,0.0,0.0,1.0,2
218,0.0,0.0,1.0,2
219,0.0,0.0,1.0,2
220,0.0,0.0,1.0,2
221,0.0,0.0,1.0,2
222,0.0,0.0,1.0,2
223,0.0,0.0,1.0,2
224,0.0,0.0,1.0,2
225,0.0,0.0,1.0,2
226,0.0,0.0,1.0,2
227,0.0,0.0,1.0,2
228,0.0,0.0,1.0,2
229,0.0,0.0,1.0,2
230,0.0,0.0,1.0,2
231,0.0,0.0,1.0,2
232,0.0,0.0,1.0,2
233,0.0,0.0,1.0,2
234,0.0,0.0,1.0,2
235,0.0,0.0,1.0,2
236,0.0,0.0,1.0,2
237,0.0,0.0,1.0,2
238,0.0,0.0,1.0,2
239,0.0,0.0,1.0,2
240,0.0,0.0,1.0,2
241,0.0,0.0,1.0,2
242,0.0,0.0,1.0,2
243,0.0,0.0,1.0,2
244,0.0,0.0,1.0,2
245,0.0,0.0,1.0,2
246,0.0,0.0,1.0,2
247,0.0,0.0,1.0,2
248,0.0,0.0,1.0,2
249,0.0,0.0,1.0,2
250,0.0,0.0,1.0,2
251,0.0,0.0,1.0,2
252,0.0,1.0,0.0,1
253,0.0,1.0,0.0,1
254,0.0,1.0,0.0,1
255,0.0,1.0,0.0,1
256,0.0,1.0,0.0,1
257,0.0,1.0,0.0,1
258,0.0,1.0,0.0,1
259,0.0,1.0,0.0,1
260,0.0,1.0,0.0,1
261,0.0,1.0,0.0,1
262,0.0,0.0,1.0,2
263,0.0,0.0,1.0,2
264,0.0,0.0,1.0,2
265,0.0,0.0,1.0,2
266,0.0,0.0,1.0,2
267,0.0,0.0,1.0,2
268,0.0,0.0,1.0,2
269,0.0,0.0,1.0,2
270,0.0,0.0,1.0,2
271,0.0,0.0,1.0,2
272,0.0,0.0,1.0,2
273,0.0,0.0,1.0,2
274,0.0,0.0,1.0,2
275,0.0,0.0,1.0,2
276,0.0,0.0,1.0,2
277,0.0,0.0,1.0,2
278,0.0,0.0,1.0,2
279,0.0,0.0,1.0,2
280,0.0,0.0,1.0,2
281,0.0,0.0,1.0,2
282,0.0,0.0,1.0,2
283,0.0,0.0,1.0,2
284,0.0,0.0,1.0,2
285,0.0,0.0,1.0,2
286,0.0,0.0,1.0,2
287,0.0,0.0,1.0,2
288,0.0,0.0,1.0,2
289,0.0,0.0,1.0,2
290,0.0,0.0,1.0,2
291,0.0,0.0,1.0,2
292,0.0,0.0,1.0,2
293,0.0,0.0,1.0,2
294,0.0,0.0,1.0,2
295,0.0,0.0,1.0,2
296,0.0,0.0,1.0,2
297,0.0,0.0,1.0,2
298,0.0,0.0,1.0,2
299,0.0,1.0,0.0,1
300,0.0,1.0,0.0,1
301,0.0,1.0,0.0,1
302,0.0,1.0,0.0,1
303,0.0,1.0,0.0,1
304,0.0,1.0,0.0,1
305,0.0,1.0,0.0,1
306,0.0,1.0,0.0,1
307,0.0,0.0,1.0,2
308,0.0,0.0,1.0,2
309,0.0,0.0,1.0,2
310,0.0,0.0,1.0,2
311,0.0,0.0,1.0,2
312,0.0,0.0,1.0,2
313,0.0,0.0,1.0,2
314,0.0,0.0,1.0,2
315,0.0,1.0,0.0,1
316,0.0,1.0,0.0,1
317,0.0,1.0,0.0,1
318,0.0,1.0,0.0,1
319,0.0,1.0,0.0,1
320,0.0,1.0,0.0,1
321,0.0,1.0,0.0,1
322,0.0,1.0,0.0,1
323,0.0,1.0,0.0,1
324,0.0,1.0,0.0,1
325,0.0,1.0,0.0,1
326,0.0,1.0,0.0,1
327,0.0,1.0,0.0,1
328,0.0,1.0,0.0,1
329,0.0,0.0,1.0,2
330,0.0,0.0,1.0,2
331,0.0,0.0,1.0,2
332,0.0,0.0,1.0,2
333,0.0,0.0,1.0,2
334,0.0,0.0,1.0,2
335,0.0,0.0,1.0,2
336,0.0,0.0,1.0,2
337,0.0,1.0,0.0,1
338,0.0,1.0,0.0,1
339,0.0,1.0,0.0,1
340,0.0,0.0,1.0,2
341,0.0,0.0,1.0,2
342,0.0,0.0,1.0,2
343,1.0,0.0,0.0,0
344,1.0,0.0,0.0,0
345,0.0,1.0,0.0,1
346,1.0,0.0,0.0,0
347,1.0,0.0,0.0,0
348,1.0,0.0,0.0,0
349,0.0,0.0,1.0,2
350,0.0,0.0,1.0,2
351,0.0,0.0,1.0,2
352,0.0,0.0,1.0,2
353,0.0,0.0,1.0,2
354,1.0,0.0,0.0,0
355,1.0,0.0,0.0,0
356,0.0,1.0,0.0,1
357,1.0,0.0,0.0,0
358,1.0,0.0,0.0,0
359,1.0,0.0,0.0,0
360,1.0,0.0,0.0,0
361,1.0,0.0,0.0,0
362,0.0,1.0,0.0,1
363,0.0,1.0,0.0,1
364,0.0,1.0,0.0,1
365,0.0,1.0,0.0,1
366,0.0,1.0,0.0,1
367,0.0,1.0,0.0,1
368,0.0,1.0,0.0,1
369,0.0,1.0,0.0,1
370,0.0,1.0,0.0,1
371,0.0,1.0,0.0,1
372,0.0,1.0,0.0,1
373,0.0,1.0,0.0,1
374,0.0,1.0,0.0,1
375,0.0,1.0,0.0,1
376,0.0,1.0,0.0,1
377,0.0,1.0,0.0,1
378,0.0,1.0,0.0,1
379,0.0,1.0,0.0,1
380,0.0,1.0,0.0,1
381,0.0,1.0,0.0,1
382,0.0,1.0,0.0,1
383,0.0,1.0,0.0,1
384,0.0,1.0,0.0,1
385,0.0,1.0,0.0,1
386,0.0,1.0,0.0,1
387,0.0,1.0,0.0,1
388,0.0,1.0,0.0,1
389,0.0,1.0,0.0,1
390,0.0,1.0,0.0,1
391,0.0,1.0,0.0,1
392,0.0,1.0,0.0,1
393,0.0,1.0,0.0,1
394,0.0,1.0,0.0,1
395,0.0,1.0,0.0,1
396,0.0,1.0,0.0,1
397,0.0,1.0,0.0,1
398,0.0,1.0,0.0,1
399,0.0,1.0,0.0,1
400,0.0,1.0,0.0,1
401,0.0,1.0,0.0,1
402,0.0,1.0,0.0,1
403,0.0,1.0,0.0,1
404,0.0,1.0,0.0,1
405,0.0,1.0,0.0,1
406,0.0,0.0,1.0,2
407,0.0,0.0,1.0,2
408,0.0,0.0,1.0,2
409,0.0,0.0,1.0,2
410,0.0,0.0,1.0,2
411,0.0,0.0,1.0,2
412,0.0,0.0,1.0,2
413,0.0,0.0,1.0,2
414,0.0,1.0,0.0,1
415,0.0,1.0,0.0,1
416,0.0,1.0,0.0,1
417,0.0,1.0,0.0,1
418,0.0,1.0,0.0,1
419,0.0,1.0,0.0,1
420,0.0,1.0,0.0,1
421,1.0,0.0,0.0,0
422,1.0,0.0,0.0,0
423,0.0,1.0,0.0,1
424,0.0,0.0,1.0,2
425,0.0,0.0,1.0,2
426,0.0,0.0,1.0,2
427,0.0,0.0,1.0,2
428,0.0,0.0,1.0,2
429,0.0,0.0,1.0,2
430,0.0,0.0,1.0,2
431,0.0,0.0,1.0,2
432,0.0,0.0,1.0,2
433,0.0,0.0,1.0,2
434,0.0,0.0,1.0,2
435,0.0,0.0,1.0,2
436,0.0,0.0,1.0,2
437,0.0,0.0,1.0,2
438,1.0,0.0,0.0,0
439,1.0,0.0,0.0,0
440,0.0,1.0,0.0,1
441,0.0,1.0,0.0,1
442,0.0,1.0,0.0,1
443,0.0,1.0,0.0,1
444,0.0,1.0,0.0,1
445,0.0,1.0,0.0,1
446,0.0,1.0,0.0,1
447,0.0,1.0,0.0,1
448,0.0,1.0,0.0,1
449,0.0,1.0,0.0,1
450,0.0,1.0,0.0,1
451,0.0,1.0,0.0,1
452,0.0,1.0,0.0,1
453,0.0,1.0,0.0,1
454,0.0,1.0,0.0,1
455,0.0,1.0,0.0,1
456,0.0,1.0,0.0,1
457,0.0,1.0,0.0,1
458,1.0,0.0,0.0,0
459,1.0,0.0,0.0,0
460,1.0,0.0,0.0,0
461,1.0,0.0,0.0,0
462,1.0,0.0,0.0,0
463,1.0,0.0,0.0,0
464,1.0,0.0,0.0,0
465,1.0,0.0,0.0,0
466,1.0,0.0,0.0,0
467,1.0,0.0,0.0,0
468,1.0,0.0,0.0,0
469,1.0,0.0,0.0,0
470,1.0,0.0,0.0,0
471,1.0,0.0,0.0,0
472,1.0,0.0,0.0,0
473,0.0,1.0,0.0,1
474,0.0,1.0,0.0,1
475,0.0,1.0,0.0,1
476,1.0,0.0,0.0,0
477,1.0,0.0,0.0,0
478,1.0,0.0,0.0,0
479,1.0,0.0,0.0,0
480,1.0,0.0,0.0,0
481,1.0,0.0,0.0,0
482,1.0,0.0,0.0,0
483,0.0,1.0,0.0,1
484,0.0,1.0,0.0,1
485,0.0,1.0,0.0,1
486,0.0,1.0,0.0,1
487,1.0,0.0,0.0,0
488,1.0,0.0,0.0,0
489,1.0,0.0,0.0,0
490,0.0,1.0,0.0,1
491,0.0,1.0,0.0,1
492,0.0,1.0,0.0,1
493,0.0,1.0,0.0,1
494,0.0,1.0,0.0,1
495,0.0,1.0,0.0,1
496,0.0,1.0,0.0,1
497,1.0,0.0,0.0,0
498,1.0,0.0,0.0,0
499,1.0,0.0,0.0,0
500,1.0,0.0,0.0,0
501,1.0,0.0,0.0,0
502,1.0,0.0,0.0,0
503,1.0,0.0,0.0,0
504,1.0,0.0,0.0,0
505,1.0,0.0,0.0,0
506,1.0,0.0,0.0,0
507,0.0,1.0,0.0,1
508,0.0,1.0,0.0,1
509,0.0,1.0,0.0,1
510,0.0,1.0,0.0,1
511,0.0,1.0,0.0,1
512,0.0,1.0,0.0,1
513,0.0,1.0,0.0,1
514,0.0,1.0,0.0,1
515,0.0,1.0,0.0,1
516,0.0,1.0,0.0,1
517,0.0,1.0,0.0,1
518,0.0,1.0,0.0,1
519,1.0,0.0,0.0,0
520,1.0,0.0,0.0,0
521,1.0,0.0,0.0,0
522,1.0,0.0,0.0,0
523,1.0,0.0,0.0,0
524,0.0,1.0,0.0,1
525,0.0,1.0,0.0,1
526,0.0,1.0,0.0,1
527,0.0,1.0,0.0,1
528,0.0,1.0,0.0,1
529,1.0,0.0,0.0,0
530,1.0,0.0,0.0,0
531,1.0,0.0,0.0,0
532,1.0,0.0,0.0,0
533,0.0,1.0,0.0,1
534,0.0,1.0,0.0,1
535,0.0,1.0,0.0,1
536,0.0,1.0,0.0,1
537,0.0,0.0,1.0,2
538,0.0,0.0,1.0,2
539,0.0,0.0,1.0,2
540,0.0,0.0,1.0,2
541,0.0,0.0,1.0,2
542,0.0,0.0,1.0,2
543,0.0,0.0,1.0,2
544,0.0,0.0,1.0,2
545,0.0,0.0,1.0,2
546,0.0,0.0,1.0,2
547,0.0,0.0,1.0,2
548,0.0,0.0,1.0,2
549,0.0,0.0,1.0,2
550,0.0,0.0,1.0,2
551,0.0,0.0,1.0,2
552,0.0,0.0,1.0,2
