,other probability,nod probability,shake probability,annotation
0,1.0,0.0,0.0,0
1,1.0,0.0,0.0,0
2,1.0,0.0,0.0,0
3,1.0,0.0,0.0,0
4,0.0,1.0,0.0,1
5,0.0,1.0,0.0,1
6,0.0,1.0,0.0,1
7,0.0,1.0,0.0,1
8,0.0,1.0,0.0,1
9,0.0,1.0,0.0,1
10,0.0,1.0,0.0,1
11,0.0,1.0,0.0,1
12,0.0,1.0,0.0,1
13,0.0,1.0,0.0,1
14,0.0,1.0,0.0,1
15,0.0,1.0,0.0,1
16,0.0,1.0,0.0,1
17,0.0,1.0,0.0,1
18,0.0,1.0,0.0,1
19,0.0,1.0,0.0,1
20,0.0,1.0,0.0,1
21,0.0,1.0,0.0,1
22,0.0,1.0,0.0,1
23,0.0,1.0,0.0,1
24,0.0,1.0,0.0,1
25,0.0,1.0,0.0,1
26,0.0,1.0,0.0,1
27,0.0,1.0,0.0,1
28,0.0,1.0,0.0,1
29,0.0,1.0,0.0,1
30,0.0,0.0,1.0,2
31,0.0,0.0,1.0,2
32,0.0,0.0,1.0,2
33,0.0,0.0,1.0,2
34,0.0,0.0,1.0,2
35,0.0,0.0,1.0,2
36,0.0,1.0,0.0,1
37,0.0,1.0,0.0,1
38,0.0,1.0,0.0,1
39,0.0,1.0,0.0,1
40,0.0,1.0,0.0,1
41,0.0,1.0,0.0,1
42,0.0,1.0,0.0,1
43,0.0,1.0,0.0,1
44,0.0,1.0,0.0,1
45,0.0,1.0,0.0,1
46,0.0,1.0,0.0,1
47,0.0,1.0,0.0,1
48,0.0,1.0,0.0,1
49,0.0,0.0,1.0,2
50,0.0,0.0,1.0,2
51,0.0,0.0,1.0,2
52,0.0,0.0,1.0,2
53,0.0,0.0,1.0,2
54,0.0,0.0,1.0,2
55,0.0,0.0,1.0,2
56,0.0,0.0,1.0,2
57,0.0,0.0,1.0,2
58,0.0,0.0,1.0,2
59,0.0,0.0,1.0,2
60,0.0,0.0,1.0,2
61,0.0,0.0,1.0,2
62,0.0,0.0,1.0,2
63,0.0,1.0,0.0,1
64,1.0,0.0,0.0,0
65,0.0,1.0,0.0,1
66,0.0,1.0,0.0,1
67,0.0,1.0,0.0,1
68,0.0,1.0,0.0,1
69,0.0,1.0,0.0,1
70,0.0,1.0,0.0,1
71,0.0,1.0,0.0,1
72,0.0,1.0,0.0,1
73,0.0,0.0,1.0,2
74,0.0,0.0,1.0,2
75,0.0,0.0,1.0,2
76,0.0,0.0,1.0,2
77,0.0,1.0,0.0,1
78,0.0,1.0,0.0,1
79,0.0,1.0,0.0,1
80,1.0,0.0,0.0,0
81,1.0,0.0,0.0,0
82,1.0,0.0,0.0,0
83,1.0,0.0,0.0,0
84,1.0,0.0,0.0,0
85,1.0,0.0,0.0,0
86,0.0,1.0,0.0,1
87,0.0,1.0,0.0,1
88,0.0,1.0,0.0,1
89,0.0,1.0,0.0,1
90,0.0,1.0,0.0,1
91,0.0,1.0,0.0,1
92,0.0,1.0,0.0,1
93,1.0,0.0,0.0,0
94,1.0,0.0,0.0,0
95,1.0,0.0,0.0,0
96,1.0,0.0,0.0,0
97,0.0,1.0,0.0,1
98,0.0,1.0,0.0,1
99,0.0,1.0,0.0,1
100,0.0,1.0,0.0,1
101,1.0,0.0,0.0,0
102,0.0,1.0,0.0,1
103,0.0,1.0,0.0,1
104,1.0,0.0,0.0,0
105,1.0,0.0,0.0,0
106,1.0,0.0,0.0,0
107,1.0,0.0,0.0,0
108,1.0,0.0,0.0,0
109,0.0,0.0,1.0,2
110,1.0,0.0,0.0,0
111,0.0,1.0,0.0,1
112,0.0,1.0,0.0,1
113,0.0,1.0,0.0,1
114,0.0,1.0,0.0,1
115,0.0,1.0,0.0,1
116,0.0,1.0,0.0,1
117,0.0,1.0,0.0,1
118,0.0,1.0,0.0,1
119,0.0,1.0,0.0,1
120,0.0,1.0,0.0,1
121,1.0,0.0,0.0,0
122,1.0,0.0,0.0,0
123,1.0,0.0,0.0,0
124,1.0,0.0,0.0,0
125,0.0,1.0,0.0,1
126,0.0,0.0,1.0,2
127,0.0,1.0,0.0,1
128,0.0,0.0,1.0,2
129,0.0,0.0,1.0,2
130,0.0,0.0,1.0,2
131,0.0,0.0,1.0,2
132,0.0,0.0,1.0,2
133,0.0,1.0,0.0,1
134,0.0,1.0,0.0,1
135,0.0,1.0,0.0,1
136,0.0,1.0,0.0,1
137,0.0,1.0,0.0,1
138,0.0,1.0,0.0,1
139,0.0,1.0,0.0,1
140,0.0,1.0,0.0,1
141,0.0,1.0,0.0,1
142,0.0,1.0,0.0,1
143,1.0,0.0,0.0,0
144,1.0,0.0,0.0,0
145,1.0,0.0,0.0,0
146,0.0,1.0,0.0,1
147,0.0,1.0,0.0,1
148,0.0,1.0,0.0,1
149,0.0,1.0,0.0,1
150,0.0,1.0,0.0,1
151,0.0,1.0,0.0,1
152,0.0,1.0,0.0,1
153,0.0,1.0,0.0,1
154,0.0,1.0,0.0,1
155,0.0,1.0,0.0,1
156,0.0,1.0,0.0,1
157,0.0,0.0,1.0,2
158,0.0,0.0,1.0,2
159,1.0,0.0,0.0,0
160,1.0,0.0,0.0,0
161,1.0,0.0,0.0,0
162,1.0,0.0,0.0,0
163,1.0,0.0,0.0,0
164,1.0,0.0,0.0,0
165,1.0,0.0,0.0,0
166,1.0,0.0,0.0,0
167,1.0,0.0,0.0,0
168,1.0,0.0,0.0,0
169,1.0,0.0,0.0,0
170,0.0,1.0,0.0,1
171,0.0,1.0,0.0,1
172,0.0,1.0,0.0,1
173,0.0,1.0,0.0,1
174,0.0,1.0,0.0,1
175,0.0,1.0,0.0,1
176,0.0,1.0,0.0,1
177,0.0,1.0,0.0,1
178,0.0,1.0,0.0,1
179,0.0,1.0,0.0,1
180,0.0,1.0,0.0,1
181,0.0,0.0,1.0,2
182,0.0,0.0,1.0,2
183,0.0,1.0,0.0,1
184,0.0,1.0,0.0,1
185,0.0,1.0,0.0,1
186,0.0,1.0,0.0,1
187,0.0,1.0,0.0,1
188,0.0,1.0,0.0,1
189,0.0,1.0,0.0,1
190,0.0,1.0,0.0,1
191,0.0,1.0,0.0,1
192,0.0,1.0,0.0,1
193,0.0,1.0,0.0,1
194,0.0,1.0,0.0,1
195,0.0,1.0,0.0,1
196,0.0,1.0,0.0,1
197,0.0,1.0,0.0,1
198,0.0,1.0,0.0,1
199,0.0,1.0,0.0,1
200,0.0,1.0,0.0,1
201,0.0,1.0,0.0,1
202,0.0,1.0,0.0,1
203,0.0,1.0,0.0,1
204,0.0,1.0,0.0,1
205,0.0,1.0,0.0,1
206,0.0,1.0,0.0,1
207,0.0,1.0,0.0,1
208,0.0,1.0,0.0,1
209,0.0,0.0,1.0,2
210,0.0,0.0,1.0,2
211,0.0,0.0,1.0,2
212,0.0,0.0,1.0,2
213,0.0,0.0,1.0,2
214,0.0,0.0,1.0,2
215,0.0,0.0,1.0,2
216,0.0,0.0,1.0,2
217,0.0,0.0,1.0,2
218,0.0,1.0,0.0,1
219,0.0,1.0,0.0,1
220,0.0,1.0,0.0,1
221,0.0,1.0,0.0,1
222,0.0,1.0,0.0,1
223,0.0,1.0,0.0,1
224,0.0,1.0,0.0,1
225,0.0,1.0,0.0,1
226,0.0,1.0,0.0,1
227,0.0,1.0,0.0,1
228,0.0,1.0,0.0,1
229,0.0,1.0,0.0,1
230,0.0,1.0,0.0,1
231,0.0,1.0,0.0,1
232,0.0,1.0,0.0,1
233,0.0,1.0,0.0,1
234,0.0,1.0,0.0,1
235,0.0,1.0,0.0,1
236,0.0,1.0,0.0,1
237,0.0,1.0,0.0,1
238,0.0,1.0,0.0,1
239,0.0,1.0,0.0,1
240,0.0,1.0,0.0,1
241,0.0,1.0,0.0,1
242,0.0,1.0,0.0,1
243,0.0,1.0,0.0,1
244,0.0,1.0,0.0,1
245,0.0,1.0,0.0,1
246,0.0,1.0,0.0,1
247,0.0,1.0,0.0,1
248,0.0,0.0,1.0,2
249,0.0,0.0,1.0,2
250,0.0,0.0,1.0,2
251,1.0,0.0,0.0,0
252,1.0,0.0,0.0,0
253,1.0,0.0,0.0,0
254,0.0,1.0,0.0,1
255,0.0,1.0,0.0,1
256,0.0,1.0,0.0,1
257,0.0,1.0,0.0,1
258,0.0,1.0,0.0,1
259,0.0,0.0,1.0,2
260,0.0,0.0,1.0,2
261,0.0,0.0,1.0,2
262,0.0,1.0,0.0,1
263,0.0,1.0,0.0,1
264,0.0,1.0,0.0,1
265,0.0,1.0,0.0,1
266,0.0,1.0,0.0,1
267,1.0,0.0,0.0,0
268,1.0,0.0,0.0,0
269,1.0,0.0,0.0,0
270,0.0,0.0,1.0,2
271,0.0,0.0,1.0,2
272,0.0,0.0,1.0,2
273,0.0,0.0,1.0,2
274,0.0,0.0,1.0,2
275,0.0,1.0,0.0,1
276,0.0,1.0,0.0,1
277,0.0,1.0,0.0,1
278,0.0,1.0,0.0,1
279,0.0,1.0,0.0,1
280,0.0,0.0,1.0,2
281,0.0,0.0,1.0,2
282,0.0,0.0,1.0,2
283,0.0,0.0,1.0,2
284,0.0,0.0,1.0,2
285,0.0,0.0,1.0,2
286,0.0,1.0,0.0,1
287,0.0,1.0,0.0,1
288,0.0,1.0,0.0,1
289,0.0,1.0,0.0,1
290,0.0,0.0,1.0,2
291,0.0,0.0,1.0,2
292,0.0,0.0,1.0,2
293,0.0,0.0,1.0,2
294,1.0,0.0,0.0,0
295,0.0,1.0,0.0,1
296,0.0,1.0,0.0,1
297,0.0,1.0,0.0,1
298,0.0,1.0,0.0,1
299,0.0,1.0,0.0,1
300,0.0,0.0,1.0,2
301,0.0,0.0,1.0,2
302,0.0,0.0,1.0,2
303,0.0,0.0,1.0,2
304,0.0,0.0,1.0,2
305,0.0,0.0,1.0,2
306,0.0,0.0,1.0,2
307,0.0,0.0,1.0,2
308,0.0,0.0,1.0,2
309,0.0,0.0,1.0,2
310,0.0,0.0,1.0,2
311,0.0,0.0,1.0,2
312,0.0,0.0,1.0,2
313,0.0,0.0,1.0,2
314,0.0,0.0,1.0,2
315,0.0,0.0,1.0,2
316,0.0,0.0,1.0,2
317,0.0,0.0,1.0,2
318,0.0,0.0,1.0,2
319,0.0,0.0,1.0,2
320,0.0,0.0,1.0,2
321,0.0,0.0,1.0,2
322,0.0,0.0,1.0,2
323,0.0,0.0,1.0,2
324,0.0,0.0,1.0,2
325,0.0,0.0,1.0,2
326,0.0,0.0,1.0,2
327,0.0,0.0,1.0,2
