,other probability,nod probability,shake probability,annotation
0,0.0,1.0,0.0,1
1,0.0,1.0,0.0,1
2,0.0,1.0,0.0,1
3,0.0,1.0,0.0,1
4,0.0,1.0,0.0,1
5,0.0,1.0,0.0,1
6,0.0,1.0,0.0,1
7,0.0,1.0,0.0,1
8,0.0,1.0,0.0,1
9,0.0,1.0,0.0,1
10,0.0,1.0,0.0,1
11,0.0,1.0,0.0,1
12,0.0,1.0,0.0,1
13,0.0,1.0,0.0,1
14,0.0,1.0,0.0,1
15,0.0,1.0,0.0,1
16,0.0,1.0,0.0,1
17,0.0,1.0,0.0,1
18,0.0,1.0,0.0,1
19,0.0,1.0,0.0,1
20,1.0,0.0,0.0,0
21,0.0,0.0,1.0,2
22,0.0,0.0,1.0,2
23,0.0,0.0,1.0,2
24,0.0,0.0,1.0,2
25,0.0,0.0,1.0,2
26,0.0,0.0,1.0,2
27,0.0,0.0,1.0,2
28,0.0,0.0,1.0,2
29,0.0,0.0,1.0,2
30,1.0,0.0,0.0,0
31,1.0,0.0,0.0,0
32,1.0,0.0,0.0,0
33,1.0,0.0,0.0,0
34,0.0,1.0,0.0,1
35,0.0,0.0,1.0,2
36,0.0,0.0,1.0,2
37,1.0,0.0,0.0,0
38,1.0,0.0,0.0,0
39,1.0,0.0,0.0,0
40,1.0,0.0,0.0,0
41,1.0,0.0,0.0,0
42,1.0,0.0,0.0,0
43,0.0,1.0,0.0,1
44,0.0,1.0,0.0,1
45,0.0,1.0,0.0,1
46,0.0,1.0,0.0,1
47,0.0,1.0,0.0,1
48,0.0,1.0,0.0,1
49,0.0,1.0,0.0,1
50,0.0,1.0,0.0,1
51,0.0,1.0,0.0,1
52,0.0,1.0,0.0,1
53,1.0,0.0,0.0,0
54,1.0,0.0,0.0,0
55,1.0,0.0,0.0,0
56,0.0,1.0,0.0,1
57,0.0,1.0,0.0,1
58,0.0,1.0,0.0,1
59,1.0,0.0,0.0,0
60,1.0,0.0,0.0,0
61,0.0,0.0,1.0,2
62,0.0,0.0,1.0,2
63,0.0,0.0,1.0,2
64,0.0,0.0,1.0,2
65,0.0,1.0,0.0,1
66,0.0,1.0,0.0,1
67,0.0,1.0,0.0,1
68,0.0,1.0,0.0,1
69,0.0,1.0,0.0,1
70,0.0,1.0,0.0,1
71,0.0,1.0,0.0,1
72,0.0,1.0,0.0,1
73,0.0,1.0,0.0,1
74,0.0,1.0,0.0,1
75,0.0,1.0,0.0,1
76,0.0,1.0,0.0,1
77,0.0,1.0,0.0,1
78,0.0,1.0,0.0,1
79,0.0,1.0,0.0,1
80,0.0,1.0,0.0,1
81,0.0,0.0,1.0,2
82,1.0,0.0,0.0,0
83,1.0,0.0,0.0,0
84,1.0,0.0,0.0,0
85,0.0,1.0,0.0,1
86,0.0,1.0,0.0,1
87,0.0,1.0,0.0,1
88,1.0,0.0,0.0,0
89,1.0,0.0,0.0,0
90,1.0,0.0,0.0,0
91,0.0,1.0,0.0,1
92,0.0,1.0,0.0,1
93,0.0,1.0,0.0,1
94,0.0,1.0,0.0,1
95,0.0,1.0,0.0,1
96,0.0,1.0,0.0,1
97,1.0,0.0,0.0,0
98,1.0,0.0,0.0,0
99,1.0,0.0,0.0,0
100,1.0,0.0,0.0,0
101,1.0,0.0,0.0,0
102,0.0,1.0,0.0,1
103,0.0,1.0,0.0,1
104,0.0,1.0,0.0,1
105,0.0,1.0,0.0,1
106,1.0,0.0,0.0,0
107,1.0,0.0,0.0,0
108,1.0,0.0,0.0,0
109,0.0,0.0,1.0,2
110,0.0,0.0,1.0,2
111,0.0,0.0,1.0,2
112,0.0,0.0,1.0,2
113,0.0,1.0,0.0,1
114,0.0,1.0,0.0,1
115,0.0,1.0,0.0,1
116,0.0,0.0,1.0,2
117,0.0,0.0,1.0,2
118,0.0,0.0,1.0,2
119,0.0,0.0,1.0,2
120,1.0,0.0,0.0,0
121,1.0,0.0,0.0,0
122,1.0,0.0,0.0,0
123,1.0,0.0,0.0,0
124,1.0,0.0,0.0,0
125,1.0,0.0,0.0,0
126,1.0,0.0,0.0,0
127,1.0,0.0,0.0,0
128,1.0,0.0,0.0,0
129,1.0,0.0,0.0,0
130,1.0,0.0,0.0,0
131,1.0,0.0,0.0,0
132,1.0,0.0,0.0,0
133,1.0,0.0,0.0,0
134,1.0,0.0,0.0,0
135,1.0,0.0,0.0,0
136,1.0,0.0,0.0,0
137,1.0,0.0,0.0,0
138,1.0,0.0,0.0,0
139,1.0,0.0,0.0,0
140,1.0,0.0,0.0,0
141,1.0,0.0,0.0,0
142,1.0,0.0,0.0,0
143,1.0,0.0,0.0,0
144,1.0,0.0,0.0,0
145,1.0,0.0,0.0,0
146,0.0,1.0,0.0,1
147,0.0,1.0,0.0,1
148,0.0,1.0,0.0,1
149,1.0,0.0,0.0,0
150,1.0,0.0,0.0,0
151,1.0,0.0,0.0,0
152,1.0,0.0,0.0,0
153,1.0,0.0,0.0,0
154,1.0,0.0,0.0,0
155,0.0,1.0,0.0,1
156,1.0,0.0,0.0,0
157,0.0,0.0,1.0,2
158,0.0,0.0,1.0,2
159,0.0,1.0,0.0,1
160,0.0,1.0,0.0,1
161,0.0,1.0,0.0,1
162,0.0,1.0,0.0,1
163,0.0,1.0,0.0,1
164,0.0,1.0,0.0,1
165,0.0,1.0,0.0,1
166,0.0,0.0,1.0,2
167,0.0,0.0,1.0,2
168,0.0,0.0,1.0,2
169,0.0,0.0,1.0,2
170,0.0,0.0,1.0,2
171,0.0,0.0,1.0,2
172,0.0,1.0,0.0,1
173,0.0,1.0,0.0,1
174,0.0,1.0,0.0,1
175,0.0,1.0,0.0,1
176,0.0,1.0,0.0,1
177,0.0,1.0,0.0,1
178,0.0,1.0,0.0,1
179,0.0,1.0,0.0,1
180,0.0,1.0,0.0,1
181,0.0,1.0,0.0,1
182,0.0,1.0,0.0,1
183,0.0,1.0,0.0,1
184,0.0,1.0,0.0,1
185,0.0,1.0,0.0,1
186,0.0,1.0,0.0,1
187,0.0,1.0,0.0,1
188,0.0,1.0,0.0,1
189,0.0,1.0,0.0,1
190,0.0,1.0,0.0,1
191,0.0,1.0,0.0,1
192,0.0,1.0,0.0,1
193,1.0,0.0,0.0,0
194,1.0,0.0,0.0,0
195,1.0,0.0,0.0,0
196,0.0,1.0,0.0,1
197,0.0,1.0,0.0,1
198,0.0,0.0,1.0,2
199,0.0,0.0,1.0,2
200,0.0,0.0,1.0,2
201,0.0,1.0,0.0,1
202,0.0,1.0,0.0,1
203,0.0,1.0,0.0,1
204,0.0,1.0,0.0,1
205,0.0,1.0,0.0,1
206,0.0,1.0,0.0,1
207,0.0,1.0,0.0,1
208,0.0,1.0,0.0,1
209,0.0,1.0,0.0,1
210,0.0,1.0,0.0,1
211,0.0,1.0,0.0,1
212,0.0,1.0,0.0,1
213,0.0,1.0,0.0,1
214,0.0,0.0,1.0,2
215,0.0,0.0,1.0,2
216,0.0,0.0,1.0,2
217,0.0,0.0,1.0,2
218,0.0,0.0,1.0,2
219,0.0,0.0,1.0,2
220,0.0,0.0,1.0,2
221,0.0,0.0,1.0,2
222,0.0,0.0,1.0,2
223,0.0,0.0,1.0,2
224,0.0,0.0,1.0,2
225,0.0,0.0,1.0,2
226,0.0,0.0,1.0,2
227,0.0,0.0,1.0,2
228,0.0,0.0,1.0,2
229,0.0,0.0,1.0,2
230,0.0,0.0,1.0,2
231,1.0,0.0,0.0,0
232,1.0,0.0,0.0,0
233,1.0,0.0,0.0,0
234,0.0,1.0,0.0,1
235,0.0,1.0,0.0,1
236,0.0,1.0,0.0,1
237,0.0,1.0,0.0,1
238,0.0,1.0,0.0,1
239,0.0,1.0,0.0,1
240,0.0,1.0,0.0,1
241,0.0,1.0,0.0,1
242,0.0,1.0,0.0,1
243,0.0,1.0,0.0,1
244,0.0,1.0,0.0,1
245,0.0,1.0,0.0,1
246,0.0,1.0,0.0,1
247,0.0,1.0,0.0,1
248,0.0,1.0,0.0,1
249,0.0,1.0,0.0,1
250,0.0,1.0,0.0,1
251,0.0,1.0,0.0,1
252,0.0,1.0,0.0,1
253,0.0,1.0,0.0,1
254,0.0,1.0,0.0,1
255,0.0,1.0,0.0,1
256,1.0,0.0,0.0,0
