name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.000000;4.161152e-01;-1.483804e+01;2.696011e+01;6.798660e-02;-9.542883e-03;1.135801e-01;2.104855e+01;1.639349e+01;1.905821e+00;2.387048e+00;0;0;0;0;0;0;1.002787e+03;1.089721e+03;-1.368007e+02;2.263811e+03;-1.406703e+02;3.500715e+03;-1.395882e+02
'unknown';0.010000;4.233530e-01;-1.314254e+01;2.305894e+01;6.325695e-02;-1.009394e-02;1.688630e-01;1.981259e+01;1.515735e+01;-6.779473e-01;-2.593836e+00;1.362742e+01;0;2.760851e+00;-8.128543e+00;6.083774e+00;2.475574e+01;1.016780e+03;1.129500e+03;-7.407382e+01;2.322007e+03;-8.207505e+01;3.542550e+03;-7.999731e+01
'unknown';0.020000;4.206081e-01;-1.271074e+01;2.150044e+01;5.076146e-02;-1.132966e-02;2.248338e-01;1.899508e+01;1.540656e+01;-3.096591e+00;-5.195652e+00;1.330080e+01;8.677007e-02;2.262464e+00;-8.834628e+00;7.674379e-01;2.217330e+01;1.052247e+03;1.194609e+03;-1.254063e+01;2.348091e+03;-2.371609e+01;3.629973e+03;-2.098438e+01
'unknown';0.030000;4.250172e-01;-1.508675e+01;2.227116e+01;1.860115e-02;-1.688264e-02;2.062831e-01;2.131221e+01;1.807037e+01;-1.266342e+00;-4.285748e+00;1.300297e+01;8.677007e-02;1.803246e+00;-9.698508e+00;-6.788232e+01;-4.354631e+01;8.296770e+02;1.265824e+03;-9.984470e+00;1.982864e+03;-2.323276e+01;3.218076e+03;-2.414189e+01
'unknown';0.040000;4.164390e-01;-1.628774e+01;2.571315e+01;-1.622260e-02;-1.732006e-02;1.954078e-01;2.181039e+01;1.982027e+01;-2.107089e-01;-5.592921e-01;1.303825e+01;0;1.265690e+00;-8.516112e+00;-7.151826e+01;-4.564748e+01;6.234467e+02;1.269762e+03;-6.051405e+00;1.613182e+03;-2.055608e+01;2.875541e+03;-2.401137e+01
'unknown';0.050000;4.169357e-01;-1.716245e+01;2.493234e+01;-3.550166e-02;-1.624436e-02;2.106222e-01;2.236667e+01;2.111865e+01;1.714601e+00;2.395025e+00;1.320991e+01;0;1.265690e+00;-7.346653e+00;-6.707642e+01;-4.361892e+01;3.773365e+02;1.308444e+03;-8.048585e-01;1.283178e+03;-1.682330e+01;2.415594e+03;-2.283179e+01
'unknown';0.060000;4.116854e-01;-1.715810e+01;2.520048e+01;-2.057108e-02;-1.270450e-02;1.935285e-01;2.188238e+01;2.234026e+01;-5.918104e-01;7.814558e-01;1.312570e+01;0;1.672630e+00;-7.113356e+00;3.558259e+00;2.308201e+01;3.250845e+02;1.436909e+03;6.091473e-01;1.227797e+03;-1.501862e+01;2.393965e+03;-2.161925e+01
'unknown';0.070000;4.025319e-01;-1.625851e+01;2.273705e+01;-5.063606e-03;-1.401849e-02;2.179323e-01;2.170846e+01;1.978069e+01;-1.344807e+00;-9.321601e-01;1.306592e+01;5.332445e-02;2.079570e+00;-6.490297e+00;7.178810e+01;2.501110e+01;4.964426e+02;1.485139e+03;-1.480515e+00;1.518619e+03;-1.685711e+01;2.734402e+03;-2.129816e+01
'unknown';0.080000;3.938669e-01;-1.512704e+01;2.293478e+01;9.002608e-04;-1.493007e-02;2.235512e-01;2.106990e+01;1.843471e+01;-1.856403e+00;-4.318305e+00;1.309530e+01;5.332445e-02;2.486510e+00;-4.777357e+00;7.235534e+01;2.619285e+01;5.203295e+02;1.490129e+03;-1.656616e+00;1.493895e+03;-1.527969e+01;2.770710e+03;-2.153161e+01
'unknown';0.090000;3.976712e-01;-1.487139e+01;2.389346e+01;-1.205681e-03;-1.767313e-02;2.229182e-01;2.178274e+01;1.683372e+01;1.890623e-01;-4.143784e+00;1.312443e+01;3.849354e-02;2.208661e+00;-3.450726e+00;6.978106e+01;2.559447e+01;5.209813e+02;1.537659e+03;-4.163003e-01;1.489941e+03;-1.260113e+01;2.802253e+03;-2.095043e+01
'unknown';0.100000;4.024320e-01;-1.499393e+01;2.512419e+01;-1.080216e-02;-1.444165e-02;2.057529e-01;2.188250e+01;1.801056e+01;1.469708e+00;-2.030073e+00;1.315009e+01;3.107809e-02;2.069736e+00;-2.909697e+00;4.171594e+00;2.559204e+01;5.676174e+02;1.426452e+03;-6.498661e+01;1.561855e+03;-7.203460e+01;2.807016e+03;-8.099290e+01
'unknown';0.110000;4.148006e-01;-1.521950e+01;2.664283e+01;-5.894823e-03;-1.357642e-02;1.938166e-01;2.315138e+01;1.658545e+01;1.459526e+00;-8.990690e-01;0;0;0;0;0;0;7.322518e+02;1.265537e+03;-6.711367e+01;1.877974e+03;-7.698364e+01;3.135916e+03;-8.291241e+01
'unknown';0.120000;3.986230e-01;-1.372303e+01;2.435944e+01;-3.955246e-03;-9.275779e-03;2.112619e-01;2.171425e+01;1.545160e+01;2.748596e-01;-1.117062e+00;1.473507e+01;0;1.552528e+00;-5.419843e+00;-1.042287e+00;2.109175e+01;1.010613e+03;1.098546e+03;-7.230801e+01;2.289801e+03;-8.440984e+01;3.478646e+03;-8.487646e+01
'unknown';0.130000;3.944893e-01;-1.392875e+01;2.396248e+01;-1.409080e-03;-1.132881e-02;2.195537e-01;2.180911e+01;1.413531e+01;-2.898289e-01;-1.807377e+00;1.479733e+01;0;1.141383e+00;-6.349088e+00;-4.622194e-01;2.178998e+01;9.564351e+02;1.131984e+03;-8.021005e+00;2.214727e+03;-2.586639e+01;3.422714e+03;-2.645474e+01
'unknown';0.140000;3.870221e-01;-1.338480e+01;2.241327e+01;-4.248586e-03;-1.471752e-02;2.128993e-01;2.111841e+01;1.411157e+01;-1.771383e+00;-4.043995e+00;1.437821e+01;6.662643e-02;7.302387e-01;-6.112516e+00;-1.085949e+00;2.203365e+01;9.519803e+02;1.198721e+03;-7.923397e+00;2.227963e+03;-2.501616e+01;3.442366e+03;-2.577472e+01
'unknown';0.150000;4.044677e-01;-1.400761e+01;2.289762e+01;-1.218166e-02;-2.166374e-02;1.752709e-01;2.222610e+01;1.527575e+01;-3.946052e+00;-5.255875e+00;1.395095e+01;0;9.186323e-01;-5.344534e+00;-3.079190e+00;2.165039e+01;7.376831e+02;1.193294e+03;-6.651480e+00;1.853069e+03;-1.986566e+01;3.112429e+03;-2.474117e+01
'unknown';0.160000;4.028602e-01;-1.357922e+01;2.188619e+01;-9.002298e-03;-2.306650e-02;1.741820e-01;2.232048e+01;1.450996e+01;-6.104254e+00;-4.867736e+00;1.341174e+01;8.531965e-02;1.600192e+00;-3.682788e+00;-4.676149e+00;2.063249e+01;6.506068e+02;1.366643e+03;-4.208447e+00;1.432443e+03;-1.510454e+01;2.668025e+03;-2.298260e+01
'unknown';0.170000;3.903327e-01;-1.389518e+01;2.191969e+01;-1.924539e-02;-1.912515e-02;1.706014e-01;2.179185e+01;1.586603e+01;-4.820629e+00;-9.552207e-01;1.351598e+01;8.531965e-02;2.281752e+00;-4.249701e+00;-3.829164e+00;2.145071e+01;4.844681e+02;1.446738e+03;-3.045325e+00;1.165714e+03;-1.322362e+01;2.540973e+03;-2.219970e+01
'unknown';0.180000;3.740219e-01;-1.350721e+01;2.059472e+01;-1.350888e-02;-1.515782e-02;1.565105e-01;2.110564e+01;1.442025e+01;-1.577861e+00;-1.583000e+00;1.377146e+01;0;2.363774e+00;-5.905927e+00;-3.733771e+00;2.186444e+01;4.612625e+02;1.533139e+03;-2.978828e+00;1.187752e+03;-1.466922e+01;2.626627e+03;-2.237267e+01
'unknown';0.190000;3.781438e-01;-1.384821e+01;2.213658e+01;-7.857576e-03;-1.521916e-02;1.389124e-01;2.086998e+01;1.598475e+01;5.921658e-01;-3.626918e+00;1.408444e+01;0;2.363774e+00;-7.052392e+00;-3.635323e+00;2.210222e+01;3.966283e+02;1.466302e+03;-3.130288e+00;1.329941e+03;-1.562278e+01;2.793031e+03;-2.298685e+01
'unknown';0.200000;3.929983e-01;-1.431757e+01;2.359179e+01;5.756570e-04;-1.679203e-02;1.660472e-01;2.140657e+01;1.520994e+01;-9.271953e-01;-6.590861e+00;1.407670e+01;0;2.363774e+00;-6.804686e+00;-2.509218e+00;2.123439e+01;3.796022e+02;1.490363e+03;-2.057845e+00;1.251188e+03;-1.279367e+01;2.574072e+03;-2.218710e+01
'unknown';0.210000;4.049501e-01;-1.520897e+01;2.523422e+01;9.283354e-03;-1.635410e-02;1.991860e-01;2.194919e+01;1.702525e+01;-1.374914e+00;-5.397976e+00;1.382726e+01;0;2.363774e+00;-6.492393e+00;-1.716060e+00;2.041836e+01;6.078720e+02;1.395836e+03;-3.188483e+00;1.642549e+03;-1.422627e+01;2.876030e+03;-2.189622e+01
'unknown';0.220000;4.103594e-01;-1.496263e+01;2.319815e+01;1.113486e-02;-1.773910e-02;2.172885e-01;2.236930e+01;1.739015e+01;-2.720352e+00;-5.923994e+00;1.354670e+01;0;2.363774e+00;-6.377869e+00;-1.691151e+00;2.040365e+01;7.686570e+02;1.362369e+03;-4.768190e+00;1.918186e+03;-1.549395e+01;3.219354e+03;-2.200995e+01
'unknown';0.230000;4.164433e-01;-1.284991e+01;2.068976e+01;1.713356e-02;-1.594936e-02;1.956539e-01;2.232822e+01;1.576809e+01;-3.790993e+00;-5.831979e+00;1.348334e+01;0;2.363774e+00;-6.193693e+00;-2.029848e+00;2.208762e+01;7.047170e+02;1.459111e+03;-3.171214e+00;1.902183e+03;-1.506563e+01;3.217812e+03;-2.238014e+01
'unknown';0.240000;4.148544e-01;-1.208652e+01;1.983807e+01;9.573664e-03;-1.825819e-02;1.670138e-01;2.188461e+01;1.410867e+01;-4.764325e+00;-5.219451e+00;1.356815e+01;0;2.363774e+00;-5.595379e+00;-1.336308e+00;2.359576e+01;4.972971e+02;1.468847e+03;-3.082826e-01;1.548001e+03;-1.150849e+01;2.839283e+03;-2.115175e+01
'unknown';0.250000;4.169387e-01;-1.176819e+01;2.154782e+01;1.148069e-02;-1.468651e-02;1.758001e-01;2.207079e+01;1.231361e+01;-6.332970e+00;-5.269827e+00;1.340347e+01;0;1.838503e+00;-5.554438e+00;1.756793e-01;2.480047e+01;4.604185e+02;1.533472e+03;1.281622e+00;1.520911e+03;-1.031831e+01;2.702157e+03;-2.047981e+01
'unknown';0.260000;4.227130e-01;-1.217750e+01;2.228510e+01;1.209768e-02;-1.619257e-02;1.811504e-01;2.239343e+01;1.281609e+01;-5.508077e+00;-5.793909e+00;1.305072e+01;2.034915e-02;1.223753e+00;-6.219667e+00;1.380275e-01;2.341318e+01;5.408394e+02;1.398367e+03;-1.258952e-01;1.549281e+03;-1.008631e+01;2.703050e+03;-2.005015e+01
