,other probability,nod probability,shake probability,annotation
0,1.0,0.0,0.0,0
1,1.0,0.0,0.0,0
2,1.0,0.0,0.0,0
3,1.0,0.0,0.0,0
4,1.0,0.0,0.0,0
5,1.0,0.0,0.0,0
6,1.0,0.0,0.0,0
7,1.0,0.0,0.0,0
8,1.0,0.0,0.0,0
9,1.0,0.0,0.0,0
10,1.0,0.0,0.0,0
11,1.0,0.0,0.0,0
12,1.0,0.0,0.0,0
13,0.0,1.0,0.0,1
14,0.0,1.0,0.0,1
15,0.0,1.0,0.0,1
16,0.0,1.0,0.0,1
17,0.0,1.0,0.0,1
18,0.0,1.0,0.0,1
19,0.0,1.0,0.0,1
20,0.0,1.0,0.0,1
21,0.0,1.0,0.0,1
22,0.0,1.0,0.0,1
23,0.0,1.0,0.0,1
24,0.0,1.0,0.0,1
25,0.0,1.0,0.0,1
26,0.0,1.0,0.0,1
27,0.0,1.0,0.0,1
28,0.0,1.0,0.0,1
29,0.0,1.0,0.0,1
30,0.0,0.0,1.0,2
31,0.0,0.0,1.0,2
32,0.0,1.0,0.0,1
33,0.0,1.0,0.0,1
34,0.0,1.0,0.0,1
35,0.0,1.0,0.0,1
36,0.0,1.0,0.0,1
37,0.0,1.0,0.0,1
38,1.0,0.0,0.0,0
39,1.0,0.0,0.0,0
40,1.0,0.0,0.0,0
41,1.0,0.0,0.0,0
42,1.0,0.0,0.0,0
43,1.0,0.0,0.0,0
44,1.0,0.0,0.0,0
45,1.0,0.0,0.0,0
46,1.0,0.0,0.0,0
47,1.0,0.0,0.0,0
48,1.0,0.0,0.0,0
49,1.0,0.0,0.0,0
50,1.0,0.0,0.0,0
51,1.0,0.0,0.0,0
52,1.0,0.0,0.0,0
53,1.0,0.0,0.0,0
54,1.0,0.0,0.0,0
55,1.0,0.0,0.0,0
56,1.0,0.0,0.0,0
57,1.0,0.0,0.0,0
58,1.0,0.0,0.0,0
59,1.0,0.0,0.0,0
60,1.0,0.0,0.0,0
61,1.0,0.0,0.0,0
62,1.0,0.0,0.0,0
63,1.0,0.0,0.0,0
64,1.0,0.0,0.0,0
65,1.0,0.0,0.0,0
66,1.0,0.0,0.0,0
67,1.0,0.0,0.0,0
68,1.0,0.0,0.0,0
69,0.0,1.0,0.0,1
70,0.0,1.0,0.0,1
71,0.0,1.0,0.0,1
72,0.0,1.0,0.0,1
73,0.0,1.0,0.0,1
74,0.0,0.0,1.0,2
75,0.0,0.0,1.0,2
76,0.0,0.0,1.0,2
77,0.0,0.0,1.0,2
78,0.0,0.0,1.0,2
79,0.0,0.0,1.0,2
80,0.0,0.0,1.0,2
81,0.0,0.0,1.0,2
82,0.0,0.0,1.0,2
83,0.0,0.0,1.0,2
84,0.0,0.0,1.0,2
85,0.0,0.0,1.0,2
86,0.0,0.0,1.0,2
87,0.0,0.0,1.0,2
88,0.0,1.0,0.0,1
89,0.0,1.0,0.0,1
90,0.0,1.0,0.0,1
91,0.0,1.0,0.0,1
92,0.0,1.0,0.0,1
93,0.0,1.0,0.0,1
94,0.0,1.0,0.0,1
95,0.0,1.0,0.0,1
96,0.0,1.0,0.0,1
97,0.0,1.0,0.0,1
98,0.0,1.0,0.0,1
99,0.0,1.0,0.0,1
100,0.0,1.0,0.0,1
101,0.0,1.0,0.0,1
102,0.0,1.0,0.0,1
103,0.0,0.0,1.0,2
104,0.0,0.0,1.0,2
105,0.0,0.0,1.0,2
106,0.0,1.0,0.0,1
107,0.0,1.0,0.0,1
108,0.0,1.0,0.0,1
109,0.0,1.0,0.0,1
110,0.0,1.0,0.0,1
111,0.0,1.0,0.0,1
112,0.0,1.0,0.0,1
113,0.0,1.0,0.0,1
114,0.0,1.0,0.0,1
115,0.0,1.0,0.0,1
116,0.0,1.0,0.0,1
117,0.0,1.0,0.0,1
118,1.0,0.0,0.0,0
119,1.0,0.0,0.0,0
120,1.0,0.0,0.0,0
121,1.0,0.0,0.0,0
122,1.0,0.0,0.0,0
123,1.0,0.0,0.0,0
124,1.0,0.0,0.0,0
125,0.0,0.0,1.0,2
126,1.0,0.0,0.0,0
127,0.0,1.0,0.0,1
128,0.0,1.0,0.0,1
129,0.0,1.0,0.0,1
130,0.0,1.0,0.0,1
131,0.0,1.0,0.0,1
132,0.0,1.0,0.0,1
133,0.0,1.0,0.0,1
134,0.0,1.0,0.0,1
135,1.0,0.0,0.0,0
136,1.0,0.0,0.0,0
137,1.0,0.0,0.0,0
138,1.0,0.0,0.0,0
139,0.0,1.0,0.0,1
140,0.0,1.0,0.0,1
141,0.0,1.0,0.0,1
142,0.0,1.0,0.0,1
143,0.0,1.0,0.0,1
144,1.0,0.0,0.0,0
145,1.0,0.0,0.0,0
146,1.0,0.0,0.0,0
147,1.0,0.0,0.0,0
148,1.0,0.0,0.0,0
149,1.0,0.0,0.0,0
150,1.0,0.0,0.0,0
151,1.0,0.0,0.0,0
152,0.0,1.0,0.0,1
153,0.0,1.0,0.0,1
154,1.0,0.0,0.0,0
155,1.0,0.0,0.0,0
156,1.0,0.0,0.0,0
157,1.0,0.0,0.0,0
158,1.0,0.0,0.0,0
159,1.0,0.0,0.0,0
160,1.0,0.0,0.0,0
161,1.0,0.0,0.0,0
162,1.0,0.0,0.0,0
163,0.0,1.0,0.0,1
164,1.0,0.0,0.0,0
165,1.0,0.0,0.0,0
166,1.0,0.0,0.0,0
167,1.0,0.0,0.0,0
168,1.0,0.0,0.0,0
169,1.0,0.0,0.0,0
170,1.0,0.0,0.0,0
171,1.0,0.0,0.0,0
172,1.0,0.0,0.0,0
173,1.0,0.0,0.0,0
174,1.0,0.0,0.0,0
175,1.0,0.0,0.0,0
176,0.0,1.0,0.0,1
177,0.0,1.0,0.0,1
178,0.0,1.0,0.0,1
179,0.0,1.0,0.0,1
180,0.0,1.0,0.0,1
181,0.0,1.0,0.0,1
182,0.0,1.0,0.0,1
183,0.0,1.0,0.0,1
184,0.0,1.0,0.0,1
185,0.0,1.0,0.0,1
186,0.0,1.0,0.0,1
187,0.0,1.0,0.0,1
188,0.0,1.0,0.0,1
189,0.0,1.0,0.0,1
190,0.0,1.0,0.0,1
191,0.0,0.0,1.0,2
192,0.0,0.0,1.0,2
193,0.0,0.0,1.0,2
194,0.0,0.0,1.0,2
195,0.0,0.0,1.0,2
196,0.0,1.0,0.0,1
197,0.0,1.0,0.0,1
198,0.0,1.0,0.0,1
199,0.0,1.0,0.0,1
200,0.0,1.0,0.0,1
201,0.0,1.0,0.0,1
202,0.0,1.0,0.0,1
203,0.0,1.0,0.0,1
204,0.0,1.0,0.0,1
205,0.0,1.0,0.0,1
206,0.0,1.0,0.0,1
207,0.0,1.0,0.0,1
208,0.0,1.0,0.0,1
209,0.0,1.0,0.0,1
210,0.0,1.0,0.0,1
211,0.0,1.0,0.0,1
212,0.0,1.0,0.0,1
213,0.0,1.0,0.0,1
214,0.0,1.0,0.0,1
215,0.0,1.0,0.0,1
216,0.0,1.0,0.0,1
217,0.0,1.0,0.0,1
218,0.0,1.0,0.0,1
219,0.0,1.0,0.0,1
220,0.0,1.0,0.0,1
221,0.0,1.0,0.0,1
222,0.0,1.0,0.0,1
223,0.0,1.0,0.0,1
224,0.0,1.0,0.0,1
225,0.0,1.0,0.0,1
226,0.0,0.0,1.0,2
227,0.0,0.0,1.0,2
228,0.0,0.0,1.0,2
229,0.0,0.0,1.0,2
230,0.0,0.0,1.0,2
231,0.0,0.0,1.0,2
232,0.0,0.0,1.0,2
233,0.0,0.0,1.0,2
234,0.0,0.0,1.0,2
235,0.0,0.0,1.0,2
236,0.0,0.0,1.0,2
237,0.0,0.0,1.0,2
238,0.0,0.0,1.0,2
239,0.0,0.0,1.0,2
240,0.0,0.0,1.0,2
241,0.0,0.0,1.0,2
242,0.0,0.0,1.0,2
243,0.0,1.0,0.0,1
244,0.0,1.0,0.0,1
245,0.0,1.0,0.0,1
246,0.0,1.0,0.0,1
247,0.0,1.0,0.0,1
248,0.0,1.0,0.0,1
249,0.0,1.0,0.0,1
250,0.0,1.0,0.0,1
251,0.0,1.0,0.0,1
252,0.0,1.0,0.0,1
253,0.0,1.0,0.0,1
254,0.0,1.0,0.0,1
255,0.0,1.0,0.0,1
256,0.0,1.0,0.0,1
257,0.0,0.0,1.0,2
258,0.0,1.0,0.0,1
259,0.0,1.0,0.0,1
260,0.0,1.0,0.0,1
261,0.0,1.0,0.0,1
262,0.0,1.0,0.0,1
263,0.0,1.0,0.0,1
264,0.0,1.0,0.0,1
265,0.0,1.0,0.0,1
266,0.0,1.0,0.0,1
267,0.0,1.0,0.0,1
268,0.0,1.0,0.0,1
269,0.0,0.0,1.0,2
270,0.0,0.0,1.0,2
271,0.0,1.0,0.0,1
272,0.0,1.0,0.0,1
273,0.0,1.0,0.0,1
274,0.0,1.0,0.0,1
275,0.0,1.0,0.0,1
276,0.0,1.0,0.0,1
277,0.0,1.0,0.0,1
278,0.0,1.0,0.0,1
279,0.0,1.0,0.0,1
280,0.0,1.0,0.0,1
281,0.0,0.0,1.0,2
282,0.0,0.0,1.0,2
283,0.0,0.0,1.0,2
284,0.0,0.0,1.0,2
285,0.0,0.0,1.0,2
286,0.0,0.0,1.0,2
287,0.0,0.0,1.0,2
288,0.0,0.0,1.0,2
289,0.0,0.0,1.0,2
290,0.0,0.0,1.0,2
291,1.0,0.0,0.0,0
292,1.0,0.0,0.0,0
293,1.0,0.0,0.0,0
294,1.0,0.0,0.0,0
295,1.0,0.0,0.0,0
296,1.0,0.0,0.0,0
297,0.0,1.0,0.0,1
298,0.0,1.0,0.0,1
299,0.0,1.0,0.0,1
300,0.0,1.0,0.0,1
301,0.0,1.0,0.0,1
302,0.0,1.0,0.0,1
303,0.0,1.0,0.0,1
304,1.0,0.0,0.0,0
305,1.0,0.0,0.0,0
306,1.0,0.0,0.0,0
307,1.0,0.0,0.0,0
308,1.0,0.0,0.0,0
309,1.0,0.0,0.0,0
310,1.0,0.0,0.0,0
311,1.0,0.0,0.0,0
312,1.0,0.0,0.0,0
313,1.0,0.0,0.0,0
314,1.0,0.0,0.0,0
315,1.0,0.0,0.0,0
316,1.0,0.0,0.0,0
317,1.0,0.0,0.0,0
318,0.0,1.0,0.0,1
319,0.0,1.0,0.0,1
320,0.0,1.0,0.0,1
321,0.0,0.0,1.0,2
322,0.0,0.0,1.0,2
323,0.0,0.0,1.0,2
324,0.0,0.0,1.0,2
325,0.0,0.0,1.0,2
326,0.0,0.0,1.0,2
327,0.0,0.0,1.0,2
328,0.0,0.0,1.0,2
329,0.0,1.0,0.0,1
330,0.0,1.0,0.0,1
331,0.0,1.0,0.0,1
332,0.0,1.0,0.0,1
333,0.0,1.0,0.0,1
334,0.0,1.0,0.0,1
335,0.0,1.0,0.0,1
336,0.0,1.0,0.0,1
337,0.0,1.0,0.0,1
338,0.0,1.0,0.0,1
339,0.0,1.0,0.0,1
340,0.0,1.0,0.0,1
341,0.0,1.0,0.0,1
342,0.0,1.0,0.0,1
343,0.0,1.0,0.0,1
344,0.0,1.0,0.0,1
345,0.0,1.0,0.0,1
346,0.0,1.0,0.0,1
347,0.0,1.0,0.0,1
348,0.0,1.0,0.0,1
349,0.0,1.0,0.0,1
350,0.0,1.0,0.0,1
351,0.0,1.0,0.0,1
352,0.0,1.0,0.0,1
353,0.0,1.0,0.0,1
354,1.0,0.0,0.0,0
355,1.0,0.0,0.0,0
356,1.0,0.0,0.0,0
357,1.0,0.0,0.0,0
358,1.0,0.0,0.0,0
359,1.0,0.0,0.0,0
360,1.0,0.0,0.0,0
361,1.0,0.0,0.0,0
362,0.0,1.0,0.0,1
363,0.0,1.0,0.0,1
364,1.0,0.0,0.0,0
365,1.0,0.0,0.0,0
366,1.0,0.0,0.0,0
367,1.0,0.0,0.0,0
368,1.0,0.0,0.0,0
369,1.0,0.0,0.0,0
370,1.0,0.0,0.0,0
371,1.0,0.0,0.0,0
372,1.0,0.0,0.0,0
373,1.0,0.0,0.0,0
374,1.0,0.0,0.0,0
375,1.0,0.0,0.0,0
376,0.0,1.0,0.0,1
377,0.0,1.0,0.0,1
378,0.0,1.0,0.0,1
379,1.0,0.0,0.0,0
380,1.0,0.0,0.0,0
381,1.0,0.0,0.0,0
382,0.0,1.0,0.0,1
383,0.0,1.0,0.0,1
384,1.0,0.0,0.0,0
385,1.0,0.0,0.0,0
386,1.0,0.0,0.0,0
387,1.0,0.0,0.0,0
388,0.0,0.0,1.0,2
389,0.0,0.0,1.0,2
390,0.0,0.0,1.0,2
391,0.0,0.0,1.0,2
392,0.0,0.0,1.0,2
393,0.0,1.0,0.0,1
394,0.0,1.0,0.0,1
395,0.0,1.0,0.0,1
396,0.0,1.0,0.0,1
397,0.0,1.0,0.0,1
398,0.0,1.0,0.0,1
399,0.0,1.0,0.0,1
400,0.0,1.0,0.0,1
401,0.0,1.0,0.0,1
402,0.0,1.0,0.0,1
403,0.0,1.0,0.0,1
404,0.0,1.0,0.0,1
405,0.0,1.0,0.0,1
406,0.0,1.0,0.0,1
407,0.0,1.0,0.0,1
408,0.0,1.0,0.0,1
409,0.0,1.0,0.0,1
410,0.0,1.0,0.0,1
411,0.0,1.0,0.0,1
412,0.0,1.0,0.0,1
413,0.0,1.0,0.0,1
414,0.0,1.0,0.0,1
415,0.0,1.0,0.0,1
