name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.000000;4.413433e-01;-1.852744e+01;2.746527e+01;-8.081197e-03;-1.876784e-02;5.423089e-02;2.447599e+01;2.100906e+01;6.727318e+00;-1.687752e+00;1.287540e+01;0;1.784837e-01;-4.993954e+00;1.072372e+00;2.420091e+01;4.841858e+02;1.549638e+03;0;1.569130e+03;-1.394914e+01;2.747825e+03;-2.074704e+01
'unknown';0.010000;4.495919e-01;-1.679911e+01;2.576398e+01;-7.041297e-03;-1.632736e-02;1.329337e-01;2.366910e+01;1.981397e+01;7.031815e+00;-4.601595e+00;1.298428e+01;0;6.012132e-01;-9.415629e+00;1.231513e+00;2.360960e+01;7.399274e+02;1.284463e+03;-1.113736e+01;1.959934e+03;-1.880718e+01;3.109909e+03;-2.154287e+01
'unknown';0.020000;4.532429e-01;-1.392736e+01;2.298283e+01;-9.043444e-03;-1.298015e-02;2.191328e-01;2.212342e+01;1.592727e+01;5.096143e+00;-7.473920e+00;1.381640e+01;3.212868e-02;1.023943e+00;-1.083223e+01;1.929513e+00;2.242210e+01;7.901394e+02;1.168850e+03;-1.018305e+01;1.972287e+03;-1.884325e+01;3.167212e+03;-2.245467e+01
'unknown';0.030000;4.394390e-01;-1.327972e+01;2.309785e+01;-7.709852e-03;-1.397443e-02;2.594014e-01;2.122560e+01;1.468494e+01;4.753900e+00;-4.890231e+00;1.424905e+01;3.212868e-02;1.446672e+00;-1.030642e+01;1.085859e+00;2.071941e+01;5.544849e+02;1.339709e+03;-4.392501e+00;1.611773e+03;-1.623835e+01;2.741679e+03;-2.301892e+01
'unknown';0.040000;4.369317e-01;-1.416332e+01;2.467619e+01;-7.725223e-03;-1.404286e-02;2.599659e-01;2.161925e+01;1.365883e+01;2.691946e+00;-3.078034e+00;1.421344e+01;2.143237e-02;9.986039e-01;-6.008680e+00;8.062991e-01;1.847421e+01;5.402209e+02;1.333673e+03;-3.853952e+00;1.581526e+03;-1.518830e+01;2.766501e+03;-2.156032e+01
'unknown';0.050000;4.430549e-01;-1.625794e+01;2.610590e+01;-3.336850e-03;-1.976490e-02;2.456437e-01;2.289090e+01;1.569748e+01;3.174543e+00;-2.479390e+00;1.438769e+01;1.073606e-02;5.505355e-01;-6.665670e+00;-1.535881e-01;1.777602e+01;7.327139e+02;1.244772e+03;-3.383339e+00;1.893106e+03;-1.775684e+01;3.103967e+03;-1.987270e+01
'unknown';0.060000;4.372384e-01;-1.613190e+01;2.735360e+01;8.621503e-03;-1.763157e-02;2.125649e-01;2.209475e+01;1.499387e+01;1.268062e+00;-5.191890e+00;1.459778e+01;8.364578e-03;7.817659e-01;-7.394812e+00;1.419707e+00;1.924765e+01;9.902658e+02;1.079405e+03;-7.459686e+00;2.236313e+03;-1.928294e+01;3.459397e+03;-1.865987e+01
'unknown';0.070000;4.216873e-01;-1.567904e+01;2.550451e+01;2.242664e-03;-2.010271e-02;1.956002e-01;2.188708e+01;1.472766e+01;2.315000e+00;-6.107101e+00;1.469557e+01;3.546620e-02;1.215915e+00;-6.895278e+00;2.972843e+00;2.215910e+01;9.799705e+02;1.188351e+03;-4.843144e+00;2.180716e+03;-1.768904e+01;3.407561e+03;-1.912415e+01
'unknown';0.080000;4.011817e-01;-1.528885e+01;2.535030e+01;-2.547250e-03;-1.758260e-02;1.743280e-01;2.125860e+01;1.569754e+01;1.699451e+00;-5.282158e+00;1.374837e+01;5.317942e-02;1.650063e+00;-4.703010e+00;4.758802e+00;2.340687e+01;9.445101e+02;1.217056e+03;-3.417546e+00;2.115648e+03;-1.789607e+01;3.317230e+03;-1.922758e+01
'unknown';0.090000;3.966415e-01;-1.283074e+01;2.354651e+01;-3.320253e-03;-1.640769e-02;1.819035e-01;2.178227e+01;1.415241e+01;-1.141525e+00;-6.026468e+00;1.349485e+01;0;9.996118e-01;-4.365526e+00;5.889404e+00;2.335536e+01;8.993350e+02;1.200440e+03;-3.671491e+00;2.155865e+03;-1.857744e+01;3.324428e+03;-1.952285e+01
'unknown';0.100000;4.021257e-01;-1.172744e+01;2.303842e+01;1.400037e-02;-1.737037e-02;1.795655e-01;2.180130e+01;1.390716e+01;-5.465141e+00;-8.449520e+00;1.334862e+01;6.159779e-02;7.969611e-01;-4.804454e+00;6.219096e+00;2.256324e+01;6.942921e+02;1.297399e+03;-7.013433e+01;1.833082e+03;-8.027832e+01;3.031641e+03;-7.986861e+01
'unknown';0.110000;4.051763e-01;-1.088071e+01;2.300591e+01;2.640809e-04;-1.614218e-02;2.005025e-01;2.203798e+01;1.266571e+01;-8.105429e+00;-5.634630e+00;0;0;0;0;0;0;5.571146e+02;1.311759e+03;-1.362724e+02;1.606135e+03;-1.413817e+02;2.724289e+03;-1.406883e+02
'unknown';0.120000;3.974634e-01;-1.226288e+01;2.292033e+01;-1.941168e-02;-1.721250e-02;1.955754e-01;2.086233e+01;1.313146e+01;-6.444211e+00;-2.837655e+00;0;0;0;0;0;0;3.752834e+02;1.415532e+03;-201;1.235819e+03;-201;2.389417e+03;-201
'unknown';0.130000;4.114335e-01;-1.281551e+01;2.228189e+01;-3.640654e-02;-1.494845e-02;2.067957e-01;1.930549e+01;1.434331e+01;-3.844531e+00;-6.836264e-01;0;0;0;0;0;0;4.229634e+02;1.293462e+03;-201;1.325336e+03;-201;2.422549e+03;-201
'unknown';0.140000;1.100516e+00;-4.245734e+00;1.113307e+01;-2.505716e-02;-6.643106e-03;7.418406e-01;4.277395e+00;1.506352e+01;1.320473e+00;1.234936e+00;0;0;0;0;0;0;5.711450e+02;1.021254e+03;-201;1.566653e+03;-201;2.741396e+03;-201
'unknown';0.150000;1.828987e+00;4.799121e+00;-1.151021e-01;-5.914375e-03;2.023242e-03;9.314222e-01;-9.854525e+00;1.547643e+01;7.134567e+00;5.050559e+00;0;0;0;0;0;0;7.170059e+02;6.542589e+02;-201;1.791357e+03;-201;2.995276e+03;-201
'unknown';0.160000;2.049892e+00;1.135357e+01;-6.609292e+00;1.661737e-02;9.556175e-03;1.404506e+00;-1.960496e+01;1.375746e+01;7.237211e+00;1.292807e+01;0;0;0;0;0;0;9.085886e+02;3.553911e+02;-201;2.141649e+03;-201;3.262810e+03;-201
'unknown';0.170000;1.525727e+00;6.990303e+00;-2.917166e+00;2.316453e-02;3.320425e-03;9.100438e-01;-1.395064e+01;1.546938e+01;6.365786e+00;1.031880e+01;0;0;0;0;0;0;1.037488e+03;3.321030e+02;-201;2.269517e+03;-201;3.365545e+03;-201
'unknown';0.180000;9.017363e-01;1.154074e+00;3.591617e+00;1.647892e-02;-4.068011e-03;7.316791e-01;-6.390381e+00;1.785009e+01;2.452286e+00;7.011981e+00;0;0;0;0;0;0;8.639636e+02;6.972603e+02;-201;2.055520e+03;-201;3.118785e+03;-201
'unknown';0.190000;7.333409e-01;-4.566304e+00;9.371124e+00;-1.018897e-02;-1.152432e-02;2.625259e-01;-2.150178e-01;2.210071e+01;1.691368e+00;5.120725e-01;0;0;0;0;0;0;6.865061e+02;1.055631e+03;-1.348736e+02;1.654791e+03;-1.371210e+02;2.863866e+03;-1.394845e+02
'unknown';0.200000;6.214457e-01;-7.231004e+00;1.340249e+01;-1.827551e-02;-1.334772e-02;2.070637e-01;2.928837e+00;2.350252e+01;-1.182064e+00;-1.346252e+00;1.327358e+01;0;1.370010e+00;-4.002094e+00;-9.483662e+00;1.352720e+01;5.654703e+02;1.319523e+03;-6.979621e+01;1.700035e+03;-7.584101e+01;2.672715e+03;-7.820456e+01
'unknown';0.210000;5.789174e-01;-9.547105e+00;1.541431e+01;-1.823475e-02;-1.615627e-02;1.757385e-01;7.419621e+00;2.371529e+01;-5.505444e+00;-2.751652e+00;1.326336e+01;0;1.004887e+00;-3.111231e+00;-7.255393e+00;1.475031e+01;6.058831e+02;1.211044e+03;-1.261948e+00;1.702223e+03;-1.215749e+01;2.712257e+03;-1.718521e+01
'unknown';0.220000;5.569279e-01;-9.762520e+00;1.474188e+01;-1.172716e-02;-1.395344e-02;1.706944e-01;9.161322e+00;2.347640e+01;-4.664722e+00;-2.815208e+00;1.331070e+01;1.967017e-02;6.397647e-01;-2.530509e+00;-1.863753e+00;1.596036e+01;5.532702e+02;1.254376e+03;-1.907529e+00;1.692388e+03;-1.203181e+01;2.729983e+03;-1.821297e+01
'unknown';0.230000;5.509594e-01;-1.146651e+01;1.681684e+01;5.131221e-03;-1.721136e-02;1.948059e-01;1.302230e+01;2.268331e+01;-5.274209e+00;-3.704768e+00;2.162661e+01;0;8.767156e-01;1.579805e+00;5.808167e+00;2.284164e+01;6.329238e+02;1.276364e+03;-6.677991e+00;1.693358e+03;-1.877793e+01;2.885464e+03;-2.593069e+01
'unknown';0.240000;5.667725e-01;-1.392233e+01;2.040318e+01;6.234627e-03;-1.785247e-02;2.776068e-01;1.564430e+01;2.286465e+01;3.118388e-02;-2.433947e+00;2.996481e+01;5.247555e-01;1.219664e+00;5.594303e+00;1.108644e+01;2.635092e+01;8.865726e+02;1.371230e+03;-1.370169e+01;2.027131e+03;-2.560085e+01;3.153656e+03;-3.008944e+01
'unknown';0.250000;6.738473e-01;-1.573631e+01;2.499275e+01;2.014984e-02;-1.981569e-02;4.994546e-01;2.030767e+01;1.991813e+01;-7.183021e-02;-1.561021e+00;3.823925e+01;3.668728e-01;1.580880e+00;1.043508e+01;1.353687e+01;2.887204e+01;9.037517e+02;1.240319e+03;-1.827380e+01;2.086843e+03;-2.690599e+01;3.107289e+03;-3.178321e+01
'unknown';0.260000;8.962460e-01;-1.533374e+01;2.871987e+01;2.627403e-02;-1.666400e-02;6.522458e-01;2.525335e+01;1.295958e+01;-9.290037e-01;1.143157e+00;3.830062e+01;3.545594e-02;1.949254e+00;1.138948e+01;1.157442e+01;2.147626e+01;6.503268e+02;1.331014e+03;0;1.759539e+03;-1.778169e+01;2.585385e+03;-2.317300e+01
'unknown';0.270000;1.147635e+00;-1.304764e+01;2.876181e+01;4.202697e-02;-1.569811e-02;6.642759e-01;2.937454e+01;5.317801e+00;-4.423160e+00;2.313101e-01;3.835636e+01;2.150405e-02;1.814997e+00;1.195224e+01;1.110115e+01;1.788675e+01;3.741494e+02;1.297229e+03;0;1.441492e+03;-1.068016e+01;2.293276e+03;-1.911658e+01
'unknown';0.280000;1.344212e+00;-1.076619e+01;2.543441e+01;5.941508e-02;-1.435254e-02;5.103354e-01;3.080202e+01;-8.181590e-01;-6.395575e+00;6.128144e-01;3.842461e+01;5.321071e-03;1.616710e+00;1.241255e+01;1.212076e+01;1.549724e+01;3.777033e+02;1.370074e+03;0;1.445330e+03;-9.194009e+00;2.345975e+03;-1.675538e+01
'unknown';0.290000;1.416651e+00;-9.390063e+00;2.056624e+01;3.823068e-02;-1.272589e-02;4.327845e-01;3.184661e+01;-4.650791e+00;-3.921055e+00;2.356453e+00;3.849026e+01;4.799813e-03;7.426522e-01;1.260192e+01;1.410397e+01;1.615060e+01;3.634824e+02;1.446516e+03;0;1.403262e+03;-8.675587e+00;2.613415e+03;-1.773614e+01
'unknown';0.300000;1.447798e+00;-8.630513e+00;1.727307e+01;5.643775e-02;-9.700655e-03;4.421460e-01;3.067097e+01;-6.641037e+00;-3.036420e+00;2.925549e+00;3.853444e+01;3.670111e-03;8.679207e-01;1.229883e+01;1.571559e+01;1.564182e+01;3.581871e+02;1.435979e+03;0;1.387647e+03;-8.733872e+00;2.650756e+03;-1.764961e+01
