,other probability,nod probability,shake probability,annotation
0,0.0,1.0,0.0,1
1,0.0,1.0,0.0,1
2,0.0,1.0,0.0,1
3,0.0,1.0,0.0,1
4,0.0,1.0,0.0,1
5,1.0,0.0,0.0,0
6,1.0,0.0,0.0,0
7,1.0,0.0,0.0,0
8,1.0,0.0,0.0,0
9,1.0,0.0,0.0,0
10,1.0,0.0,0.0,0
11,1.0,0.0,0.0,0
12,1.0,0.0,0.0,0
13,1.0,0.0,0.0,0
14,0.0,1.0,0.0,1
15,1.0,0.0,0.0,0
16,1.0,0.0,0.0,0
17,0.0,0.0,1.0,2
18,0.0,0.0,1.0,2
19,0.0,0.0,1.0,2
20,0.0,0.0,1.0,2
21,0.0,0.0,1.0,2
22,0.0,0.0,1.0,2
23,0.0,0.0,1.0,2
24,0.0,0.0,1.0,2
25,0.0,0.0,1.0,2
26,0.0,0.0,1.0,2
27,0.0,0.0,1.0,2
28,0.0,0.0,1.0,2
29,0.0,0.0,1.0,2
30,0.0,0.0,1.0,2
31,0.0,0.0,1.0,2
32,0.0,0.0,1.0,2
33,0.0,1.0,0.0,1
34,0.0,1.0,0.0,1
35,0.0,1.0,0.0,1
36,0.0,1.0,0.0,1
37,0.0,1.0,0.0,1
38,0.0,1.0,0.0,1
39,0.0,1.0,0.0,1
40,0.0,1.0,0.0,1
41,0.0,1.0,0.0,1
42,0.0,1.0,0.0,1
43,0.0,1.0,0.0,1
44,0.0,1.0,0.0,1
45,0.0,1.0,0.0,1
46,0.0,1.0,0.0,1
47,0.0,1.0,0.0,1
48,0.0,1.0,0.0,1
49,0.0,1.0,0.0,1
50,0.0,0.0,1.0,2
51,0.0,0.0,1.0,2
52,0.0,1.0,0.0,1
53,0.0,1.0,0.0,1
54,0.0,1.0,0.0,1
55,0.0,1.0,0.0,1
56,0.0,1.0,0.0,1
57,0.0,1.0,0.0,1
58,0.0,0.0,1.0,2
59,0.0,0.0,1.0,2
60,0.0,0.0,1.0,2
61,0.0,0.0,1.0,2
62,0.0,0.0,1.0,2
63,0.0,0.0,1.0,2
64,0.0,0.0,1.0,2
65,0.0,0.0,1.0,2
66,0.0,0.0,1.0,2
67,0.0,0.0,1.0,2
68,0.0,0.0,1.0,2
69,0.0,0.0,1.0,2
70,0.0,0.0,1.0,2
71,0.0,0.0,1.0,2
72,0.0,0.0,1.0,2
73,0.0,0.0,1.0,2
74,0.0,0.0,1.0,2
75,0.0,0.0,1.0,2
76,0.0,1.0,0.0,1
77,0.0,1.0,0.0,1
78,0.0,1.0,0.0,1
79,0.0,1.0,0.0,1
80,0.0,1.0,0.0,1
81,0.0,1.0,0.0,1
82,0.0,1.0,0.0,1
83,0.0,1.0,0.0,1
84,0.0,1.0,0.0,1
85,1.0,0.0,0.0,0
86,1.0,0.0,0.0,0
87,0.0,0.0,1.0,2
88,0.0,0.0,1.0,2
89,0.0,0.0,1.0,2
90,0.0,0.0,1.0,2
91,0.0,0.0,1.0,2
92,0.0,0.0,1.0,2
93,0.0,0.0,1.0,2
94,0.0,0.0,1.0,2
95,0.0,0.0,1.0,2
96,1.0,0.0,0.0,0
97,1.0,0.0,0.0,0
98,1.0,0.0,0.0,0
99,0.0,1.0,0.0,1
100,0.0,1.0,0.0,1
101,0.0,1.0,0.0,1
102,0.0,1.0,0.0,1
103,0.0,1.0,0.0,1
104,0.0,1.0,0.0,1
105,0.0,1.0,0.0,1
106,0.0,1.0,0.0,1
107,0.0,1.0,0.0,1
108,0.0,1.0,0.0,1
109,0.0,1.0,0.0,1
110,0.0,1.0,0.0,1
111,0.0,1.0,0.0,1
112,0.0,1.0,0.0,1
113,0.0,1.0,0.0,1
114,0.0,1.0,0.0,1
115,0.0,1.0,0.0,1
116,0.0,0.0,1.0,2
117,0.0,0.0,1.0,2
118,0.0,0.0,1.0,2
119,0.0,1.0,0.0,1
120,0.0,1.0,0.0,1
121,0.0,1.0,0.0,1
122,0.0,1.0,0.0,1
123,0.0,1.0,0.0,1
124,0.0,1.0,0.0,1
125,0.0,1.0,0.0,1
126,0.0,1.0,0.0,1
127,0.0,1.0,0.0,1
128,0.0,1.0,0.0,1
129,0.0,1.0,0.0,1
130,0.0,1.0,0.0,1
131,0.0,1.0,0.0,1
132,0.0,1.0,0.0,1
133,1.0,0.0,0.0,0
134,0.0,1.0,0.0,1
135,0.0,1.0,0.0,1
136,0.0,1.0,0.0,1
137,0.0,1.0,0.0,1
138,0.0,1.0,0.0,1
139,1.0,0.0,0.0,0
140,1.0,0.0,0.0,0
141,1.0,0.0,0.0,0
142,1.0,0.0,0.0,0
143,1.0,0.0,0.0,0
144,1.0,0.0,0.0,0
145,1.0,0.0,0.0,0
146,1.0,0.0,0.0,0
147,1.0,0.0,0.0,0
148,1.0,0.0,0.0,0
149,1.0,0.0,0.0,0
150,1.0,0.0,0.0,0
151,1.0,0.0,0.0,0
152,1.0,0.0,0.0,0
153,0.0,1.0,0.0,1
154,0.0,1.0,0.0,1
155,0.0,1.0,0.0,1
156,0.0,1.0,0.0,1
157,0.0,1.0,0.0,1
158,0.0,1.0,0.0,1
159,0.0,1.0,0.0,1
160,0.0,1.0,0.0,1
161,0.0,1.0,0.0,1
162,0.0,1.0,0.0,1
163,0.0,1.0,0.0,1
164,0.0,1.0,0.0,1
165,0.0,1.0,0.0,1
166,0.0,1.0,0.0,1
167,0.0,1.0,0.0,1
168,0.0,1.0,0.0,1
169,0.0,1.0,0.0,1
170,0.0,1.0,0.0,1
171,0.0,1.0,0.0,1
172,0.0,1.0,0.0,1
173,0.0,1.0,0.0,1
174,0.0,1.0,0.0,1
175,0.0,1.0,0.0,1
176,0.0,1.0,0.0,1
177,0.0,1.0,0.0,1
178,0.0,0.0,1.0,2
179,0.0,0.0,1.0,2
180,0.0,0.0,1.0,2
181,0.0,0.0,1.0,2
182,1.0,0.0,0.0,0
183,1.0,0.0,0.0,0
184,1.0,0.0,0.0,0
185,1.0,0.0,0.0,0
186,1.0,0.0,0.0,0
187,1.0,0.0,0.0,0
188,0.0,0.0,1.0,2
189,0.0,0.0,1.0,2
190,0.0,0.0,1.0,2
191,1.0,0.0,0.0,0
192,1.0,0.0,0.0,0
193,0.0,0.0,1.0,2
194,0.0,0.0,1.0,2
195,0.0,0.0,1.0,2
196,0.0,0.0,1.0,2
197,0.0,0.0,1.0,2
198,0.0,0.0,1.0,2
199,0.0,0.0,1.0,2
200,0.0,0.0,1.0,2
201,0.0,0.0,1.0,2
202,0.0,0.0,1.0,2
203,0.0,0.0,1.0,2
204,0.0,0.0,1.0,2
205,0.0,0.0,1.0,2
206,0.0,1.0,0.0,1
207,0.0,1.0,0.0,1
208,0.0,1.0,0.0,1
209,0.0,0.0,1.0,2
210,0.0,0.0,1.0,2
211,0.0,0.0,1.0,2
212,0.0,0.0,1.0,2
213,0.0,1.0,0.0,1
214,0.0,1.0,0.0,1
215,0.0,1.0,0.0,1
216,0.0,1.0,0.0,1
217,0.0,1.0,0.0,1
218,0.0,1.0,0.0,1
219,0.0,1.0,0.0,1
220,0.0,1.0,0.0,1
221,0.0,1.0,0.0,1
222,0.0,1.0,0.0,1
223,0.0,1.0,0.0,1
224,0.0,1.0,0.0,1
225,0.0,1.0,0.0,1
226,0.0,1.0,0.0,1
227,0.0,1.0,0.0,1
228,0.0,1.0,0.0,1
229,0.0,1.0,0.0,1
230,0.0,1.0,0.0,1
231,0.0,1.0,0.0,1
232,1.0,0.0,0.0,0
233,0.0,1.0,0.0,1
234,0.0,1.0,0.0,1
235,0.0,1.0,0.0,1
236,0.0,1.0,0.0,1
237,0.0,1.0,0.0,1
238,0.0,1.0,0.0,1
239,0.0,1.0,0.0,1
240,0.0,1.0,0.0,1
241,0.0,1.0,0.0,1
242,0.0,1.0,0.0,1
243,0.0,1.0,0.0,1
244,0.0,1.0,0.0,1
245,0.0,1.0,0.0,1
246,0.0,1.0,0.0,1
247,0.0,1.0,0.0,1
248,0.0,1.0,0.0,1
249,0.0,1.0,0.0,1
250,0.0,1.0,0.0,1
251,0.0,1.0,0.0,1
252,0.0,1.0,0.0,1
253,0.0,1.0,0.0,1
254,0.0,1.0,0.0,1
255,0.0,1.0,0.0,1
256,0.0,1.0,0.0,1
