name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.000000;4.225601e-01;-1.477345e+01;2.296478e+01;2.283762e-02;-2.528013e-02;6.754314e-02;2.137316e+01;1.525414e+01;4.828271e+00;-2.139562e+00;1.673274e+01;0;0;-6.883165e+00;-1.881164e+00;2.347321e+01;3.716881e+02;1.423766e+03;-1.674789e+00;1.326426e+03;-1.091792e+01;2.330646e+03;-1.941352e+01
'unknown';0.010000;4.185661e-01;-1.453532e+01;2.223657e+01;1.032771e-02;-2.343273e-02;1.369485e-01;2.207172e+01;1.488752e+01;9.664366e-01;-6.144693e+00;1.480708e+01;0;0;-6.437198e+00;-1.092543e+00;2.090391e+01;3.975887e+02;1.544031e+03;-2.216264e+00;1.231081e+03;-1.101687e+01;2.355492e+03;-1.962400e+01
'unknown';0.020000;4.080897e-01;-1.499017e+01;2.284899e+01;1.732025e-02;-1.905319e-02;2.371024e-01;2.163185e+01;1.614528e+01;1.574380e-01;-7.632475e+00;1.302226e+01;0;4.286449e-01;-5.693758e+00;-1.085578e+00;2.128116e+01;5.817203e+02;1.463520e+03;-3.818364e+00;1.508642e+03;-1.283909e+01;2.650699e+03;-2.051415e+01
'unknown';0.030000;4.028593e-01;-1.556315e+01;2.280189e+01;4.483828e-02;-1.972218e-02;2.503092e-01;2.166345e+01;1.780399e+01;-6.129104e-01;-7.497743e+00;1.324740e+01;0;4.286449e-01;-5.358177e+00;2.419762e+00;2.498722e+01;5.943518e+02;1.476122e+03;-1.105884e+00;1.467699e+03;-1.061904e+01;2.621876e+03;-1.816295e+01
'unknown';0.040000;3.987803e-01;-1.509216e+01;2.271215e+01;4.728667e-02;-1.654922e-02;2.550668e-01;2.080429e+01;1.783307e+01;3.345727e+00;-2.020010e+00;1.430291e+01;0;4.286449e-01;-6.462528e+00;2.113899e+00;2.815995e+01;7.729977e+02;1.279596e+03;1.025390e+00;1.835088e+03;-9.607111e+00;3.040556e+03;-1.498596e+01
'unknown';0.050000;4.010269e-01;-1.482272e+01;2.288634e+01;4.751272e-02;-1.681289e-02;2.148388e-01;2.191188e+01;1.638710e+01;3.067774e+00;-1.414961e+00;1.410218e+01;0;4.286449e-01;-7.461304e+00;6.852752e+01;2.820615e+01;7.999675e+02;1.355820e+03;3.694768e+00;1.848541e+03;-6.706258e+00;3.152982e+03;-1.176160e+01
'unknown';0.060000;4.035929e-01;-1.580197e+01;2.540022e+01;1.821219e-02;-1.285546e-02;2.367179e-01;2.267559e+01;1.607188e+01;4.812706e+00;4.286336e+00;1.400058e+01;0;7.971407e-01;-6.765222e+00;6.943256e+01;2.691891e+01;7.524671e+02;1.331334e+03;6.409494e+00;1.849606e+03;-7.033628e+00;3.151511e+03;-1.148702e+01
'unknown';0.070000;4.059558e-01;-1.704323e+01;2.706998e+01;2.319375e-02;-1.327741e-02;2.284883e-01;2.345884e+01;1.694148e+01;3.006619e+00;5.104341e+00;1.310753e+01;5.677217e-02;1.165636e+00;-5.345503e+00;7.032522e+01;2.652577e+01;7.551193e+02;1.354661e+03;2.840149e+00;1.858201e+03;-1.082217e+01;3.080424e+03;-1.464754e+01
'unknown';0.080000;4.087758e-01;-1.570831e+01;2.574301e+01;1.680151e-03;-1.219297e-02;2.423771e-01;2.284704e+01;1.492658e+01;2.436618e+00;6.155002e+00;1.336755e+01;0;1.157803e+00;-5.311419e+00;6.334463e+00;2.698923e+01;5.128183e+02;1.476046e+03;5.644104e+00;1.496351e+03;-1.149708e+01;2.665254e+03;-1.688840e+01
'unknown';0.090000;4.121347e-01;-1.509545e+01;2.494834e+01;-1.353444e-02;-1.007751e-02;2.307965e-01;2.300446e+01;1.557600e+01;2.499665e+00;3.745353e+00;1.435621e+01;3.111939e-02;7.814738e-01;-5.559226e+00;6.142793e+00;2.817916e+01;7.883499e+02;1.233802e+03;-1.973592e-01;1.922557e+03;-1.586589e+01;3.087764e+03;-1.725817e+01
'unknown';0.100000;4.174741e-01;-1.481587e+01;2.456812e+01;-2.411903e-02;-9.766201e-03;2.409914e-01;2.275165e+01;1.543587e+01;3.393323e+00;5.886058e-01;1.504865e+01;3.111939e-02;4.051446e-01;-4.850060e+00;6.607297e+00;2.911627e+01;5.639251e+02;1.339734e+03;3.564306e+00;1.588182e+03;-1.052324e+01;2.753644e+03;-1.558670e+01
'unknown';0.110000;4.079610e-01;-1.607396e+01;2.597125e+01;-2.407269e-02;-9.187561e-03;2.550562e-01;2.221573e+01;1.739684e+01;4.823698e+00;2.361998e+00;1.571449e+01;8.921187e-02;5.689263e-01;-3.494947e+00;7.055630e+00;2.952143e+01;7.962874e+02;1.182814e+03;-8.733063e-01;1.938467e+03;-1.249149e+01;3.109389e+03;-1.603709e+01
'unknown';0.120000;4.133321e-01;-1.528608e+01;2.565917e+01;-1.534085e-02;-1.241984e-02;2.313844e-01;2.199982e+01;1.637273e+01;3.234960e+00;1.349613e+00;1.485321e+01;1.473044e-01;7.327080e-01;-3.450017e+00;7.069116e+00;2.943870e+01;5.146218e+02;1.500942e+03;-1.406312e+00;1.513302e+03;-9.485914e+00;2.724853e+03;-1.911877e+01
'unknown';0.130000;4.039547e-01;-1.360779e+01;2.584493e+01;-1.689406e-02;-9.745453e-03;2.065513e-01;2.098949e+01;1.365215e+01;1.309274e+00;3.701119e+00;1.420293e+01;2.106519e-01;1.297495e+00;-4.654479e+00;3.938678e+00;2.781461e+01;5.448843e+02;1.491328e+03;-5.528746e+00;1.522499e+03;-1.283753e+01;2.704388e+03;-2.330227e+01
'unknown';0.140000;4.187697e-01;-1.127574e+01;2.334801e+01;-1.161324e-02;-1.206229e-02;1.861414e-01;2.166997e+01;1.105525e+01;-5.069632e+00;-9.110454e-01;1.328907e+01;1.723973e-01;2.104497e+00;-5.242818e+00;-1.325069e+00;2.410691e+01;3.581779e+02;1.539174e+03;-6.709328e+00;1.193947e+03;-1.388697e+01;2.349911e+03;-2.425786e+01
'unknown';0.150000;4.251280e-01;-1.332657e+01;2.507507e+01;-2.265763e-02;-1.461458e-02;2.466259e-01;2.250973e+01;1.230144e+01;-5.894874e+00;-3.076200e-01;1.305385e+01;1.558976e-01;2.911499e+00;-5.775923e+00;-3.693021e+00;2.202410e+01;3.962890e+02;1.511566e+03;-6.098096e+00;1.161241e+03;-1.322530e+01;2.308587e+03;-2.289634e+01
'unknown';0.160000;4.289462e-01;-1.513120e+01;2.519758e+01;-2.559587e-02;-1.985946e-02;2.744647e-01;2.325012e+01;1.453421e+01;-4.025160e+00;-6.473778e-01;1.326115e+01;0;2.457956e+00;-6.086134e+00;-3.435364e+00;2.110050e+01;3.977508e+02;1.568946e+03;-3.012464e+00;1.155308e+03;-1.157186e+01;2.262670e+03;-1.938952e+01
'unknown';0.170000;4.442377e-01;-1.779704e+01;2.745833e+01;-3.204526e-02;-2.089819e-02;2.720339e-01;2.476498e+01;1.648939e+01;5.090035e-01;1.853035e+00;1.341060e+01;3.505760e-02;1.598417e+00;-6.477157e+00;-1.582170e+00;2.361594e+01;4.033549e+02;1.804091e+03;-1.251734e+00;1.077269e+03;-5.876864e+00;2.211293e+03;-1.807380e+01
'unknown';0.180000;4.369147e-01;-1.645034e+01;2.618815e+01;-1.015546e-02;-1.846464e-02;2.607598e-01;2.409585e+01;1.484193e+01;1.446236e+00;1.327782e-01;1.341815e+01;3.505760e-02;7.388783e-01;-5.702921e+00;2.094665e-01;2.569909e+01;3.869313e+02;1.689317e+03;-1.494767e+00;1.126216e+03;-6.003750e+00;2.247446e+03;-1.898430e+01
'unknown';0.190000;4.364026e-01;-1.620075e+01;2.601349e+01;1.102894e-02;-1.734632e-02;2.803415e-01;2.473253e+01;1.504051e+01;7.369857e-01;-2.106741e+00;1.301770e+01;2.381056e-02;5.595591e-01;-5.220662e+00;1.715940e+00;2.673269e+01;3.191268e+02;1.809084e+03;-2.786726e+00;1.067822e+03;-7.280435e+00;2.281412e+03;-2.193465e+01
'unknown';0.200000;4.141491e-01;-1.330958e+01;2.349760e+01;1.191479e-02;-1.518385e-02;2.936744e-01;2.216153e+01;1.303690e+01;-1.549261e+00;-4.202847e+00;1.292037e+01;1.818704e-02;3.802400e-01;-4.860006e+00;2.199094e+00;2.557240e+01;3.346635e+02;1.627392e+03;-4.913626e+00;1.137028e+03;-1.224152e+01;2.398665e+03;-2.417595e+01
'unknown';0.210000;4.072852e-01;-1.370387e+01;2.430946e+01;-7.026594e-03;-1.667477e-02;2.716665e-01;2.241010e+01;1.378034e+01;-1.494952e+00;-1.459676e+00;1.286868e+01;0;9.655961e-01;-5.077290e+00;6.129988e+00;2.480219e+01;3.637256e+02;1.727390e+03;-5.787452e+00;1.127378e+03;-1.531967e+01;2.351246e+03;-2.591903e+01
