,other probability,nod probability,shake probability,annotation
0,1.0,0.0,0.0,0
1,1.0,0.0,0.0,0
2,1.0,0.0,0.0,0
3,1.0,0.0,0.0,0
4,0.0,1.0,0.0,1
5,1.0,0.0,0.0,0
6,1.0,0.0,0.0,0
7,0.0,1.0,0.0,1
8,0.0,1.0,0.0,1
9,0.0,1.0,0.0,1
10,0.0,1.0,0.0,1
11,0.0,1.0,0.0,1
12,0.0,1.0,0.0,1
13,0.0,1.0,0.0,1
14,0.0,1.0,0.0,1
15,0.0,1.0,0.0,1
16,0.0,1.0,0.0,1
17,0.0,1.0,0.0,1
18,0.0,1.0,0.0,1
19,0.0,1.0,0.0,1
20,0.0,1.0,0.0,1
21,0.0,1.0,0.0,1
22,0.0,1.0,0.0,1
23,0.0,1.0,0.0,1
24,0.0,1.0,0.0,1
25,0.0,1.0,0.0,1
26,0.0,1.0,0.0,1
27,0.0,1.0,0.0,1
28,0.0,1.0,0.0,1
29,0.0,1.0,0.0,1
30,0.0,1.0,0.0,1
31,0.0,1.0,0.0,1
32,0.0,1.0,0.0,1
33,0.0,1.0,0.0,1
34,0.0,1.0,0.0,1
35,0.0,1.0,0.0,1
36,0.0,1.0,0.0,1
37,1.0,0.0,0.0,0
38,1.0,0.0,0.0,0
39,1.0,0.0,0.0,0
40,1.0,0.0,0.0,0
41,1.0,0.0,0.0,0
42,1.0,0.0,0.0,0
43,1.0,0.0,0.0,0
44,1.0,0.0,0.0,0
45,0.0,1.0,0.0,1
46,1.0,0.0,0.0,0
47,0.0,1.0,0.0,1
48,0.0,1.0,0.0,1
49,0.0,1.0,0.0,1
50,0.0,1.0,0.0,1
51,0.0,1.0,0.0,1
52,0.0,1.0,0.0,1
53,0.0,1.0,0.0,1
54,0.0,0.0,1.0,2
55,0.0,0.0,1.0,2
56,0.0,0.0,1.0,2
57,0.0,0.0,1.0,2
58,0.0,0.0,1.0,2
59,1.0,0.0,0.0,0
60,1.0,0.0,0.0,0
61,1.0,0.0,0.0,0
62,1.0,0.0,0.0,0
63,1.0,0.0,0.0,0
64,1.0,0.0,0.0,0
65,1.0,0.0,0.0,0
66,1.0,0.0,0.0,0
67,1.0,0.0,0.0,0
68,1.0,0.0,0.0,0
69,1.0,0.0,0.0,0
70,1.0,0.0,0.0,0
71,1.0,0.0,0.0,0
72,1.0,0.0,0.0,0
73,1.0,0.0,0.0,0
74,0.0,1.0,0.0,1
75,0.0,1.0,0.0,1
76,0.0,1.0,0.0,1
77,0.0,1.0,0.0,1
78,1.0,0.0,0.0,0
79,1.0,0.0,0.0,0
80,1.0,0.0,0.0,0
81,1.0,0.0,0.0,0
82,1.0,0.0,0.0,0
83,1.0,0.0,0.0,0
84,1.0,0.0,0.0,0
85,0.0,1.0,0.0,1
86,0.0,1.0,0.0,1
87,0.0,1.0,0.0,1
88,1.0,0.0,0.0,0
89,1.0,0.0,0.0,0
90,1.0,0.0,0.0,0
91,1.0,0.0,0.0,0
92,0.0,1.0,0.0,1
93,0.0,1.0,0.0,1
94,1.0,0.0,0.0,0
95,1.0,0.0,0.0,0
96,1.0,0.0,0.0,0
97,1.0,0.0,0.0,0
98,1.0,0.0,0.0,0
99,1.0,0.0,0.0,0
100,1.0,0.0,0.0,0
101,1.0,0.0,0.0,0
102,1.0,0.0,0.0,0
103,0.0,0.0,1.0,2
104,0.0,0.0,1.0,2
105,0.0,0.0,1.0,2
106,0.0,0.0,1.0,2
107,1.0,0.0,0.0,0
108,1.0,0.0,0.0,0
109,1.0,0.0,0.0,0
110,1.0,0.0,0.0,0
111,1.0,0.0,0.0,0
112,1.0,0.0,0.0,0
113,1.0,0.0,0.0,0
114,1.0,0.0,0.0,0
115,1.0,0.0,0.0,0
116,1.0,0.0,0.0,0
117,1.0,0.0,0.0,0
118,0.0,1.0,0.0,1
119,0.0,1.0,0.0,1
120,0.0,1.0,0.0,1
121,0.0,1.0,0.0,1
122,0.0,1.0,0.0,1
123,0.0,1.0,0.0,1
124,0.0,1.0,0.0,1
125,0.0,1.0,0.0,1
126,0.0,1.0,0.0,1
127,0.0,1.0,0.0,1
128,0.0,1.0,0.0,1
129,0.0,1.0,0.0,1
130,0.0,1.0,0.0,1
131,0.0,1.0,0.0,1
132,0.0,1.0,0.0,1
133,0.0,1.0,0.0,1
134,0.0,1.0,0.0,1
135,0.0,1.0,0.0,1
136,0.0,1.0,0.0,1
137,0.0,1.0,0.0,1
138,0.0,1.0,0.0,1
139,0.0,1.0,0.0,1
140,0.0,1.0,0.0,1
141,0.0,1.0,0.0,1
142,0.0,1.0,0.0,1
143,0.0,1.0,0.0,1
144,1.0,0.0,0.0,0
145,1.0,0.0,0.0,0
146,1.0,0.0,0.0,0
147,1.0,0.0,0.0,0
148,1.0,0.0,0.0,0
149,1.0,0.0,0.0,0
150,1.0,0.0,0.0,0
151,0.0,1.0,0.0,1
152,0.0,1.0,0.0,1
153,1.0,0.0,0.0,0
154,1.0,0.0,0.0,0
155,1.0,0.0,0.0,0
156,0.0,1.0,0.0,1
157,0.0,1.0,0.0,1
158,0.0,1.0,0.0,1
159,0.0,1.0,0.0,1
160,0.0,1.0,0.0,1
161,0.0,1.0,0.0,1
162,0.0,1.0,0.0,1
163,0.0,1.0,0.0,1
164,0.0,1.0,0.0,1
165,0.0,1.0,0.0,1
166,0.0,1.0,0.0,1
167,0.0,0.0,1.0,2
168,0.0,0.0,1.0,2
169,0.0,0.0,1.0,2
170,0.0,0.0,1.0,2
171,0.0,0.0,1.0,2
172,0.0,0.0,1.0,2
173,0.0,0.0,1.0,2
174,0.0,0.0,1.0,2
175,0.0,0.0,1.0,2
176,0.0,0.0,1.0,2
177,0.0,1.0,0.0,1
178,1.0,0.0,0.0,0
179,1.0,0.0,0.0,0
180,1.0,0.0,0.0,0
181,1.0,0.0,0.0,0
182,1.0,0.0,0.0,0
183,0.0,1.0,0.0,1
184,0.0,1.0,0.0,1
185,0.0,1.0,0.0,1
186,0.0,1.0,0.0,1
187,0.0,1.0,0.0,1
188,0.0,1.0,0.0,1
189,0.0,1.0,0.0,1
190,0.0,1.0,0.0,1
191,0.0,1.0,0.0,1
192,0.0,1.0,0.0,1
193,0.0,1.0,0.0,1
194,0.0,1.0,0.0,1
195,1.0,0.0,0.0,0
196,1.0,0.0,0.0,0
197,0.0,1.0,0.0,1
198,0.0,1.0,0.0,1
199,1.0,0.0,0.0,0
200,1.0,0.0,0.0,0
201,1.0,0.0,0.0,0
202,1.0,0.0,0.0,0
203,1.0,0.0,0.0,0
204,1.0,0.0,0.0,0
205,1.0,0.0,0.0,0
206,1.0,0.0,0.0,0
207,1.0,0.0,0.0,0
208,0.0,1.0,0.0,1
209,0.0,0.0,1.0,2
210,0.0,0.0,1.0,2
211,0.0,0.0,1.0,2
212,0.0,0.0,1.0,2
213,0.0,0.0,1.0,2
214,0.0,0.0,1.0,2
215,0.0,0.0,1.0,2
216,0.0,0.0,1.0,2
217,0.0,1.0,0.0,1
218,0.0,1.0,0.0,1
219,0.0,1.0,0.0,1
220,0.0,1.0,0.0,1
221,0.0,1.0,0.0,1
222,0.0,1.0,0.0,1
223,0.0,1.0,0.0,1
224,0.0,1.0,0.0,1
225,0.0,1.0,0.0,1
226,0.0,1.0,0.0,1
227,0.0,1.0,0.0,1
228,0.0,1.0,0.0,1
229,0.0,1.0,0.0,1
230,0.0,1.0,0.0,1
231,0.0,1.0,0.0,1
232,0.0,1.0,0.0,1
233,0.0,1.0,0.0,1
234,0.0,1.0,0.0,1
235,0.0,1.0,0.0,1
236,0.0,1.0,0.0,1
237,0.0,1.0,0.0,1
238,0.0,1.0,0.0,1
239,0.0,1.0,0.0,1
240,0.0,1.0,0.0,1
241,0.0,1.0,0.0,1
242,0.0,1.0,0.0,1
243,0.0,1.0,0.0,1
244,0.0,1.0,0.0,1
245,0.0,1.0,0.0,1
246,0.0,1.0,0.0,1
247,0.0,1.0,0.0,1
248,0.0,1.0,0.0,1
249,0.0,1.0,0.0,1
250,1.0,0.0,0.0,0
251,1.0,0.0,0.0,0
252,1.0,0.0,0.0,0
253,1.0,0.0,0.0,0
254,1.0,0.0,0.0,0
255,1.0,0.0,0.0,0
256,1.0,0.0,0.0,0
257,1.0,0.0,0.0,0
258,1.0,0.0,0.0,0
259,1.0,0.0,0.0,0
260,1.0,0.0,0.0,0
261,0.0,1.0,0.0,1
262,0.0,1.0,0.0,1
263,1.0,0.0,0.0,0
264,1.0,0.0,0.0,0
265,1.0,0.0,0.0,0
266,1.0,0.0,0.0,0
267,0.0,1.0,0.0,1
268,1.0,0.0,0.0,0
269,1.0,0.0,0.0,0
270,1.0,0.0,0.0,0
271,1.0,0.0,0.0,0
272,0.0,1.0,0.0,1
273,0.0,1.0,0.0,1
274,0.0,1.0,0.0,1
275,0.0,1.0,0.0,1
276,0.0,1.0,0.0,1
277,0.0,1.0,0.0,1
278,0.0,1.0,0.0,1
279,0.0,1.0,0.0,1
280,0.0,1.0,0.0,1
281,0.0,1.0,0.0,1
282,1.0,0.0,0.0,0
283,1.0,0.0,0.0,0
284,0.0,0.0,1.0,2
285,1.0,0.0,0.0,0
286,1.0,0.0,0.0,0
287,1.0,0.0,0.0,0
288,0.0,0.0,1.0,2
289,0.0,0.0,1.0,2
290,0.0,0.0,1.0,2
291,0.0,0.0,1.0,2
292,1.0,0.0,0.0,0
293,1.0,0.0,0.0,0
294,1.0,0.0,0.0,0
295,1.0,0.0,0.0,0
296,1.0,0.0,0.0,0
297,1.0,0.0,0.0,0
298,1.0,0.0,0.0,0
299,1.0,0.0,0.0,0
300,1.0,0.0,0.0,0
301,1.0,0.0,0.0,0
302,1.0,0.0,0.0,0
303,1.0,0.0,0.0,0
304,1.0,0.0,0.0,0
305,1.0,0.0,0.0,0
306,1.0,0.0,0.0,0
307,1.0,0.0,0.0,0
308,1.0,0.0,0.0,0
309,1.0,0.0,0.0,0
310,1.0,0.0,0.0,0
311,1.0,0.0,0.0,0
312,1.0,0.0,0.0,0
313,1.0,0.0,0.0,0
314,1.0,0.0,0.0,0
315,1.0,0.0,0.0,0
