name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.000000;4.104150e-01;-1.273960e+01;2.188486e+01;-1.929436e-02;-8.764881e-03;7.556636e-02;2.047857e+01;1.201122e+01;9.801282e-01;-1.792265e+00;1.383361e+01;0;2.052276e+00;-3.465699e+00;2.708569e+00;2.584480e+01;2.938197e+02;1.784020e+03;-7.274148e+00;1.174627e+03;-1.358052e+01;2.405931e+03;-2.249526e+01
'unknown';0.010000;4.048183e-01;-1.274665e+01;2.250047e+01;-3.124575e-02;-5.398334e-03;1.438925e-01;1.926716e+01;1.152606e+01;2.540343e+00;2.250067e+00;1.341606e+01;0;1.790301e+00;-3.680103e+00;3.126559e+00;2.558702e+01;3.345674e+02;1.609352e+03;-4.410556e+00;1.244687e+03;-1.405887e+01;2.454469e+03;-2.157134e+01
'unknown';0.020000;4.052219e-01;-1.304928e+01;2.247050e+01;-2.809467e-02;-8.462713e-03;2.189032e-01;1.952045e+01;1.174082e+01;3.071000e+00;3.160276e+00;1.295156e+01;5.392303e-02;1.528326e+00;-4.528489e+00;3.426327e+00;2.599053e+01;3.288208e+02;1.834011e+03;-1.365038e+00;1.159847e+03;-1.081902e+01;2.367863e+03;-2.071702e+01
'unknown';0.030000;4.182051e-01;-1.340656e+01;2.222869e+01;-2.178442e-02;-9.563179e-03;2.239998e-01;2.109701e+01;1.253724e+01;1.266347e+00;1.631767e+00;1.288498e+01;5.392303e-02;1.266352e+00;-5.252336e+00;3.589125e+00;2.671348e+01;5.482262e+02;1.704925e+03;-1.542114e+00;1.457619e+03;-1.165612e+01;2.767323e+03;-1.984566e+01
'unknown';0.040000;4.266609e-01;-1.450366e+01;2.383748e+01;-3.557582e-03;-1.219194e-02;2.272499e-01;2.365659e+01;1.489179e+01;1.044311e+00;1.897843e-01;1.276407e+01;5.392303e-02;1.266352e+00;-5.643891e+00;5.334695e+00;2.852132e+01;7.588270e+02;1.654439e+03;-2.790931e+00;1.808808e+03;-1.340145e+01;3.101001e+03;-2.024736e+01
'unknown';0.050000;4.296059e-01;-1.426704e+01;2.422232e+01;8.194005e-05;-1.513340e-02;2.351084e-01;2.426147e+01;1.526350e+01;-4.356589e-01;1.192009e-01;1.303091e+01;5.392303e-02;1.266352e+00;-5.198779e+00;8.662080e+00;2.965518e+01;8.267805e+02;1.290195e+03;-3.768053e+00;1.936096e+03;-1.511295e+01;3.166633e+03;-2.112153e+01
'unknown';0.060000;4.245971e-01;-1.414370e+01;2.474813e+01;1.149740e-02;-2.057434e-02;2.097716e-01;2.434815e+01;1.586537e+01;-1.755339e+00;-3.173374e+00;1.349487e+01;3.893997e-02;8.974190e-01;-4.733659e+00;1.122384e+01;3.128607e+01;5.211572e+02;1.581192e+03;-4.206327e+00;1.558167e+03;-1.327328e+01;2.759102e+03;-2.428591e+01
'unknown';0.070000;4.108977e-01;-1.472063e+01;2.536234e+01;2.124377e-02;-2.406741e-02;1.923267e-01;2.420661e+01;1.671290e+01;-2.495417e+00;-4.126406e+00;1.384124e+01;3.144844e-02;5.284865e-01;-3.734030e+00;1.063667e+01;3.177795e+01;4.771386e+02;1.557798e+03;0;1.444100e+03;-1.526050e+01;2.627826e+03;-2.676968e+01
'unknown';0.080000;4.116147e-01;-1.673261e+01;2.824076e+01;1.080919e-02;-2.080466e-02;1.922169e-01;2.578430e+01;1.832379e+01;-1.181827e+00;-1.362174e+00;1.384548e+01;0;7.900434e-01;-3.756088e+00;8.348680e+00;3.218505e+01;6.584949e+02;1.493382e+03;-1.215015e+01;1.799122e+03;-2.178084e+01;2.963597e+03;-2.858072e+01
'unknown';0.090000;4.028597e-01;-1.731372e+01;3.046714e+01;-1.254299e-02;-1.728512e-02;2.308560e-01;2.604484e+01;1.854300e+01;-9.645756e-01;2.968059e+00;1.485791e+01;1.726835e-01;1.670737e+00;-4.511810e+00;5.606543e+00;3.162918e+01;9.693433e+02;1.313464e+03;-1.213428e+01;2.135273e+03;-2.467228e+01;3.242986e+03;-2.808249e+01
'unknown';0.100000;4.272003e-01;-1.797838e+01;3.073351e+01;-3.619494e-02;-1.884839e-02;2.639416e-01;2.720201e+01;1.927672e+01;1.088001e+00;4.008331e+00;1.595953e+01;2.086027e-01;2.551430e+00;-4.847207e+00;4.762946e+00;3.063747e+01;9.916918e+02;1.332032e+03;-1.138552e+01;2.233550e+03;-2.295986e+01;3.316412e+03;-2.587700e+01
'unknown';0.110000;4.191491e-01;-1.805142e+01;3.012922e+01;-3.474676e-02;-1.596269e-02;2.687223e-01;2.659093e+01;1.971833e+01;2.444838e+00;3.637251e+00;1.700693e+01;2.804412e-01;2.801634e+00;-4.618681e+00;3.944766e+00;2.924923e+01;1.049367e+03;1.369338e+03;-1.092388e+01;2.211347e+03;-1.963829e+01;3.309297e+03;-2.441656e+01
'unknown';0.120000;4.109681e-01;-1.781113e+01;2.827461e+01;-3.527665e-02;-1.801326e-02;2.579618e-01;2.465935e+01;1.955197e+01;5.619473e+00;1.954569e+00;1.639402e+01;2.051270e-01;2.538500e+00;-5.442593e+00;5.154044e+00;2.798993e+01;9.991562e+02;1.402668e+03;-9.444036e+00;2.200003e+03;-1.915759e+01;3.278663e+03;-2.389246e+01
'unknown';0.130000;3.987630e-01;-1.647830e+01;2.600903e+01;-2.249803e-02;-1.773123e-02;2.554448e-01;2.289110e+01;1.667464e+01;3.114873e+00;-8.665444e-01;1.588924e+01;1.169153e-01;1.705120e+00;-5.879208e+00;7.964880e+00;2.806254e+01;9.802189e+02;1.485933e+03;-8.106837e+00;2.118503e+03;-1.904771e+01;3.285090e+03;-2.478797e+01
