,other probability,nod probability,shake probability,annotation
0,0.0,1.0,0.0,1
1,0.0,1.0,0.0,1
2,0.0,1.0,0.0,1
3,0.0,1.0,0.0,1
4,0.0,1.0,0.0,1
5,0.0,1.0,0.0,1
6,0.0,1.0,0.0,1
7,0.0,1.0,0.0,1
8,0.0,1.0,0.0,1
9,0.0,1.0,0.0,1
10,0.0,1.0,0.0,1
11,0.0,1.0,0.0,1
12,0.0,1.0,0.0,1
13,0.0,1.0,0.0,1
14,0.0,1.0,0.0,1
15,0.0,0.0,1.0,2
16,0.0,0.0,1.0,2
17,0.0,0.0,1.0,2
18,0.0,0.0,1.0,2
19,0.0,0.0,1.0,2
20,0.0,1.0,0.0,1
21,0.0,1.0,0.0,1
22,0.0,1.0,0.0,1
23,0.0,1.0,0.0,1
24,0.0,1.0,0.0,1
25,0.0,1.0,0.0,1
26,0.0,1.0,0.0,1
27,0.0,1.0,0.0,1
28,0.0,1.0,0.0,1
29,0.0,1.0,0.0,1
30,0.0,1.0,0.0,1
31,0.0,1.0,0.0,1
32,0.0,1.0,0.0,1
33,0.0,1.0,0.0,1
34,0.0,1.0,0.0,1
35,0.0,1.0,0.0,1
36,0.0,1.0,0.0,1
37,0.0,1.0,0.0,1
38,0.0,1.0,0.0,1
39,0.0,1.0,0.0,1
40,0.0,1.0,0.0,1
41,0.0,1.0,0.0,1
42,0.0,1.0,0.0,1
43,0.0,1.0,0.0,1
44,0.0,1.0,0.0,1
45,0.0,1.0,0.0,1
46,0.0,1.0,0.0,1
47,0.0,1.0,0.0,1
48,0.0,1.0,0.0,1
49,0.0,1.0,0.0,1
50,0.0,1.0,0.0,1
51,0.0,1.0,0.0,1
52,0.0,1.0,0.0,1
53,0.0,1.0,0.0,1
54,0.0,1.0,0.0,1
55,0.0,1.0,0.0,1
56,0.0,1.0,0.0,1
57,0.0,1.0,0.0,1
58,0.0,1.0,0.0,1
59,0.0,1.0,0.0,1
60,0.0,1.0,0.0,1
61,0.0,1.0,0.0,1
62,0.0,1.0,0.0,1
63,0.0,1.0,0.0,1
64,0.0,1.0,0.0,1
65,0.0,1.0,0.0,1
66,0.0,1.0,0.0,1
67,0.0,1.0,0.0,1
68,0.0,1.0,0.0,1
69,0.0,1.0,0.0,1
70,0.0,1.0,0.0,1
71,1.0,0.0,0.0,0
72,1.0,0.0,0.0,0
73,1.0,0.0,0.0,0
74,1.0,0.0,0.0,0
75,1.0,0.0,0.0,0
76,1.0,0.0,0.0,0
77,1.0,0.0,0.0,0
78,1.0,0.0,0.0,0
79,1.0,0.0,0.0,0
80,1.0,0.0,0.0,0
81,0.0,1.0,0.0,1
82,0.0,1.0,0.0,1
83,0.0,1.0,0.0,1
84,0.0,1.0,0.0,1
85,0.0,1.0,0.0,1
86,0.0,1.0,0.0,1
87,0.0,1.0,0.0,1
88,0.0,1.0,0.0,1
89,0.0,1.0,0.0,1
90,0.0,1.0,0.0,1
91,0.0,1.0,0.0,1
92,0.0,1.0,0.0,1
93,0.0,1.0,0.0,1
94,0.0,1.0,0.0,1
95,0.0,1.0,0.0,1
96,0.0,1.0,0.0,1
97,0.0,1.0,0.0,1
98,0.0,1.0,0.0,1
99,0.0,1.0,0.0,1
100,0.0,1.0,0.0,1
101,0.0,1.0,0.0,1
102,0.0,1.0,0.0,1
103,0.0,1.0,0.0,1
104,0.0,1.0,0.0,1
105,0.0,1.0,0.0,1
106,1.0,0.0,0.0,0
107,1.0,0.0,0.0,0
108,1.0,0.0,0.0,0
109,1.0,0.0,0.0,0
110,1.0,0.0,0.0,0
111,0.0,1.0,0.0,1
112,1.0,0.0,0.0,0
113,0.0,1.0,0.0,1
114,0.0,1.0,0.0,1
115,0.0,1.0,0.0,1
116,1.0,0.0,0.0,0
117,1.0,0.0,0.0,0
118,1.0,0.0,0.0,0
119,1.0,0.0,0.0,0
120,1.0,0.0,0.0,0
121,1.0,0.0,0.0,0
122,1.0,0.0,0.0,0
123,1.0,0.0,0.0,0
124,1.0,0.0,0.0,0
125,1.0,0.0,0.0,0
126,1.0,0.0,0.0,0
127,1.0,0.0,0.0,0
128,1.0,0.0,0.0,0
129,0.0,1.0,0.0,1
130,0.0,1.0,0.0,1
131,0.0,1.0,0.0,1
132,0.0,1.0,0.0,1
133,0.0,1.0,0.0,1
134,0.0,1.0,0.0,1
135,1.0,0.0,0.0,0
136,1.0,0.0,0.0,0
137,1.0,0.0,0.0,0
138,1.0,0.0,0.0,0
139,1.0,0.0,0.0,0
140,1.0,0.0,0.0,0
141,1.0,0.0,0.0,0
142,0.0,1.0,0.0,1
143,0.0,1.0,0.0,1
144,0.0,1.0,0.0,1
145,0.0,1.0,0.0,1
146,0.0,1.0,0.0,1
147,0.0,1.0,0.0,1
148,0.0,1.0,0.0,1
149,0.0,1.0,0.0,1
150,0.0,1.0,0.0,1
151,0.0,1.0,0.0,1
152,0.0,1.0,0.0,1
153,0.0,1.0,0.0,1
154,0.0,1.0,0.0,1
155,0.0,1.0,0.0,1
156,0.0,1.0,0.0,1
157,0.0,1.0,0.0,1
158,0.0,1.0,0.0,1
159,0.0,1.0,0.0,1
160,0.0,1.0,0.0,1
161,0.0,1.0,0.0,1
162,0.0,1.0,0.0,1
163,0.0,1.0,0.0,1
164,0.0,1.0,0.0,1
165,0.0,1.0,0.0,1
166,0.0,1.0,0.0,1
167,0.0,1.0,0.0,1
168,0.0,1.0,0.0,1
169,0.0,1.0,0.0,1
170,0.0,1.0,0.0,1
171,0.0,1.0,0.0,1
172,0.0,1.0,0.0,1
173,0.0,1.0,0.0,1
174,0.0,1.0,0.0,1
175,0.0,1.0,0.0,1
176,0.0,1.0,0.0,1
177,0.0,1.0,0.0,1
178,0.0,1.0,0.0,1
179,0.0,1.0,0.0,1
180,0.0,1.0,0.0,1
181,0.0,1.0,0.0,1
182,0.0,1.0,0.0,1
183,0.0,1.0,0.0,1
184,0.0,1.0,0.0,1
185,0.0,1.0,0.0,1
186,0.0,1.0,0.0,1
187,0.0,1.0,0.0,1
188,0.0,1.0,0.0,1
189,0.0,1.0,0.0,1
190,0.0,1.0,0.0,1
191,0.0,1.0,0.0,1
192,0.0,1.0,0.0,1
193,1.0,0.0,0.0,0
194,1.0,0.0,0.0,0
195,0.0,0.0,1.0,2
196,0.0,0.0,1.0,2
197,1.0,0.0,0.0,0
198,1.0,0.0,0.0,0
199,1.0,0.0,0.0,0
200,1.0,0.0,0.0,0
201,1.0,0.0,0.0,0
202,1.0,0.0,0.0,0
203,1.0,0.0,0.0,0
204,0.0,0.0,1.0,2
205,0.0,0.0,1.0,2
206,1.0,0.0,0.0,0
207,0.0,0.0,1.0,2
208,1.0,0.0,0.0,0
209,1.0,0.0,0.0,0
210,1.0,0.0,0.0,0
211,1.0,0.0,0.0,0
212,1.0,0.0,0.0,0
213,1.0,0.0,0.0,0
214,1.0,0.0,0.0,0
215,1.0,0.0,0.0,0
216,1.0,0.0,0.0,0
217,1.0,0.0,0.0,0
218,1.0,0.0,0.0,0
219,1.0,0.0,0.0,0
220,1.0,0.0,0.0,0
221,1.0,0.0,0.0,0
222,0.0,1.0,0.0,1
223,0.0,1.0,0.0,1
224,0.0,1.0,0.0,1
225,0.0,1.0,0.0,1
226,0.0,1.0,0.0,1
227,0.0,1.0,0.0,1
228,1.0,0.0,0.0,0
229,1.0,0.0,0.0,0
230,1.0,0.0,0.0,0
231,1.0,0.0,0.0,0
232,1.0,0.0,0.0,0
233,1.0,0.0,0.0,0
234,1.0,0.0,0.0,0
235,1.0,0.0,0.0,0
236,1.0,0.0,0.0,0
237,1.0,0.0,0.0,0
238,1.0,0.0,0.0,0
239,1.0,0.0,0.0,0
240,1.0,0.0,0.0,0
241,1.0,0.0,0.0,0
242,1.0,0.0,0.0,0
243,1.0,0.0,0.0,0
244,1.0,0.0,0.0,0
245,1.0,0.0,0.0,0
246,1.0,0.0,0.0,0
247,0.0,1.0,0.0,1
248,0.0,1.0,0.0,1
249,0.0,1.0,0.0,1
250,1.0,0.0,0.0,0
251,1.0,0.0,0.0,0
252,1.0,0.0,0.0,0
253,1.0,0.0,0.0,0
254,1.0,0.0,0.0,0
255,0.0,1.0,0.0,1
256,0.0,1.0,0.0,1
