name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.000000;4.607374e-01;-1.093345e+01;1.354753e+01;2.262861e-02;-1.586359e-02;5.897538e-02;2.081983e+01;7.487171e+00;6.416641e+00;4.242860e+00;1.294141e+01;0;0;-8.532557e+00;6.622302e+01;1.120970e+01;3.920944e+02;1.195521e+03;-3.180134e-01;1.470299e+03;-1.077904e+01;2.241159e+03;-5.099209e+00
'unknown';0.010000;4.881462e-01;-1.030075e+01;1.463093e+01;2.037737e-02;-1.518070e-02;1.306140e-01;2.021094e+01;6.587893e+00;8.679314e+00;6.506280e+00;1.372201e+01;0;3.013597e+00;-7.000239e+00;7.097192e+01;1.262000e+01;3.873618e+02;1.216010e+03;1.176218e+00;1.484700e+03;-1.023148e+01;2.277907e+03;-5.203611e+00
'unknown';0.020000;6.136708e-01;-7.726989e+00;1.420703e+01;4.884396e-03;-9.659228e-03;2.223462e-01;1.359520e+01;7.380094e+00;1.283084e+01;1.165965e+01;1.426733e+01;3.872043e-02;3.985828e+00;-6.118338e+00;7.403159e+01;1.696695e+01;6.744733e+02;9.182806e+02;-1.005976e+00;1.858039e+03;-7.742776e+00;2.556022e+03;-7.779055e+00
'unknown';0.030000;6.635237e-01;-8.745807e+00;1.667962e+01;-2.238587e-02;-8.498985e-03;2.727714e-01;1.292962e+01;8.488136e+00;1.546114e+01;1.453639e+01;1.366794e+01;3.915734e-02;5.352327e+00;-5.705296e+00;7.511679e+00;1.641480e+01;6.214423e+02;1.163408e+03;1.260100e+00;1.848211e+03;-6.503901e+00;2.530013e+03;-5.895756e+00
'unknown';0.040000;7.012248e-01;-8.051965e+00;1.362780e+01;-1.812543e-02;-6.759414e-03;3.046695e-01;1.180949e+01;8.412363e+00;1.488807e+01;1.755492e+01;1.326976e+01;3.937580e-02;4.774366e+00;-6.074768e+00;3.751393e+00;1.883662e+01;9.570827e+02;1.098798e+03;-2.420653e+00;2.017228e+03;-3.989331e+00;2.869831e+03;-8.279191e+00
'unknown';0.050000;6.110516e-01;-9.607490e+00;1.376946e+01;-1.054330e-02;-7.688024e-03;3.273753e-01;1.708839e+01;6.078041e+00;1.114083e+01;1.434875e+01;1.325804e+01;0;4.196404e+00;-5.853283e+00;2.584732e+00;1.793752e+01;8.387847e+02;1.372568e+03;-1.674894e+00;1.789498e+03;-2.748214e+00;2.953260e+03;-7.859473e+00
'unknown';0.060000;6.020424e-01;-8.263288e+00;1.056823e+01;1.333525e-02;-7.052841e-03;2.857782e-01;1.796976e+01;4.533714e+00;9.155653e+00;1.243219e+01;1.357611e+01;0;4.196404e+00;-5.761890e+00;3.491270e+00;1.985356e+01;1.045099e+03;1.265707e+03;-6.409388e+00;1.895591e+03;-1.808946e-01;3.275082e+03;-1.074377e+01
'unknown';0.070000;5.960141e-01;-9.057918e+00;1.197973e+01;-6.351212e-03;-6.472615e-03;2.838310e-01;1.921807e+01;3.416431e+00;1.185476e+01;9.081870e+00;1.379733e+01;0;4.196404e+00;-5.701300e+00;3.547051e+00;1.794218e+01;8.894444e+02;1.282899e+03;-5.122017e+00;1.851288e+03;-1.939081e-01;3.180552e+03;-1.009981e+01
'unknown';0.080000;6.185873e-01;-8.203692e+00;9.658216e+00;1.306024e-02;-8.361476e-03;2.690766e-01;1.909254e+01;2.433711e+00;1.350510e+01;7.343429e+00;1.377812e+01;0;4.196404e+00;-5.628197e+00;1.920814e+00;1.691399e+01;9.195349e+02;1.491163e+03;-5.163832e+00;1.820624e+03;-3.155832e+00;3.143267e+03;-1.099038e+01
'unknown';0.090000;6.103774e-01;-8.111825e+00;1.023579e+01;1.328210e-03;-7.695298e-03;2.688436e-01;1.813746e+01;1.349320e+00;1.393052e+01;5.013934e+00;1.371774e+01;0;4.196404e+00;-5.365175e+00;-4.902427e-02;1.654628e+01;9.393566e+02;1.583147e+03;-6.498840e+00;1.811011e+03;-5.309858e+00;3.142648e+03;-1.248979e+01
'unknown';0.100000;5.928339e-01;-7.670201e+00;1.114790e+01;8.487628e-03;-7.689741e-03;2.569391e-01;1.723161e+01;2.181649e+00;1.184452e+01;2.822368e+00;1.365080e+01;0;4.196404e+00;-5.207432e+00;-1.418583e+00;1.500178e+01;9.813115e+02;1.713016e+03;-7.990845e+00;1.850726e+03;-5.343913e+00;3.223853e+03;-1.206926e+01
'unknown';0.110000;5.662668e-01;-8.283662e+00;1.398418e+01;-8.268085e-03;-8.260260e-03;2.434663e-01;1.648845e+01;3.396776e+00;1.406971e+01;2.400593e+00;1.365098e+01;0;4.196404e+00;-5.063497e+00;-1.945305e+00;1.375252e+01;7.631470e+02;1.540703e+03;-7.288337e+01;1.715982e+03;-6.944611e+01;3.008010e+03;-7.447344e+01
