,other probability,nod probability,shake probability,annotation
0,1.0,0.0,0.0,0
1,1.0,0.0,0.0,0
2,1.0,0.0,0.0,0
3,1.0,0.0,0.0,0
4,1.0,0.0,0.0,0
5,1.0,0.0,0.0,0
6,1.0,0.0,0.0,0
7,1.0,0.0,0.0,0
8,1.0,0.0,0.0,0
9,1.0,0.0,0.0,0
10,1.0,0.0,0.0,0
11,1.0,0.0,0.0,0
12,1.0,0.0,0.0,0
13,1.0,0.0,0.0,0
14,1.0,0.0,0.0,0
15,1.0,0.0,0.0,0
16,1.0,0.0,0.0,0
17,1.0,0.0,0.0,0
18,1.0,0.0,0.0,0
19,1.0,0.0,0.0,0
20,1.0,0.0,0.0,0
21,1.0,0.0,0.0,0
22,1.0,0.0,0.0,0
23,1.0,0.0,0.0,0
24,0.0,0.0,1.0,2
25,0.0,0.0,1.0,2
26,0.0,0.0,1.0,2
27,0.0,0.0,1.0,2
28,0.0,0.0,1.0,2
29,0.0,0.0,1.0,2
30,0.0,0.0,1.0,2
31,0.0,0.0,1.0,2
32,0.0,0.0,1.0,2
33,0.0,0.0,1.0,2
34,0.0,0.0,1.0,2
35,0.0,0.0,1.0,2
36,0.0,0.0,1.0,2
37,0.0,0.0,1.0,2
38,0.0,0.0,1.0,2
39,0.0,0.0,1.0,2
40,0.0,0.0,1.0,2
41,0.0,0.0,1.0,2
42,1.0,0.0,0.0,0
43,1.0,0.0,0.0,0
44,1.0,0.0,0.0,0
45,1.0,0.0,0.0,0
46,1.0,0.0,0.0,0
47,0.0,0.0,1.0,2
48,1.0,0.0,0.0,0
49,1.0,0.0,0.0,0
50,1.0,0.0,0.0,0
51,1.0,0.0,0.0,0
52,1.0,0.0,0.0,0
53,1.0,0.0,0.0,0
54,1.0,0.0,0.0,0
55,1.0,0.0,0.0,0
56,1.0,0.0,0.0,0
57,0.0,1.0,0.0,1
58,0.0,1.0,0.0,1
59,0.0,1.0,0.0,1
60,0.0,0.0,1.0,2
61,0.0,1.0,0.0,1
62,0.0,1.0,0.0,1
63,0.0,1.0,0.0,1
64,0.0,1.0,0.0,1
65,0.0,1.0,0.0,1
66,0.0,1.0,0.0,1
67,0.0,1.0,0.0,1
68,0.0,1.0,0.0,1
69,0.0,0.0,1.0,2
70,0.0,0.0,1.0,2
71,0.0,0.0,1.0,2
72,0.0,0.0,1.0,2
73,0.0,0.0,1.0,2
74,0.0,1.0,0.0,1
75,0.0,1.0,0.0,1
76,0.0,1.0,0.0,1
77,0.0,0.0,1.0,2
78,0.0,0.0,1.0,2
79,1.0,0.0,0.0,0
80,1.0,0.0,0.0,0
81,1.0,0.0,0.0,0
82,1.0,0.0,0.0,0
83,1.0,0.0,0.0,0
84,1.0,0.0,0.0,0
85,1.0,0.0,0.0,0
86,1.0,0.0,0.0,0
87,1.0,0.0,0.0,0
88,1.0,0.0,0.0,0
89,1.0,0.0,0.0,0
90,1.0,0.0,0.0,0
91,1.0,0.0,0.0,0
92,1.0,0.0,0.0,0
93,1.0,0.0,0.0,0
94,1.0,0.0,0.0,0
95,1.0,0.0,0.0,0
96,1.0,0.0,0.0,0
97,1.0,0.0,0.0,0
98,1.0,0.0,0.0,0
99,1.0,0.0,0.0,0
100,1.0,0.0,0.0,0
101,1.0,0.0,0.0,0
102,1.0,0.0,0.0,0
103,0.0,0.0,1.0,2
104,0.0,0.0,1.0,2
105,0.0,0.0,1.0,2
106,0.0,0.0,1.0,2
107,0.0,0.0,1.0,2
108,0.0,0.0,1.0,2
109,0.0,0.0,1.0,2
110,0.0,0.0,1.0,2
111,0.0,0.0,1.0,2
112,0.0,0.0,1.0,2
113,0.0,0.0,1.0,2
114,0.0,1.0,0.0,1
115,0.0,1.0,0.0,1
116,0.0,1.0,0.0,1
117,1.0,0.0,0.0,0
118,1.0,0.0,0.0,0
119,1.0,0.0,0.0,0
120,1.0,0.0,0.0,0
121,0.0,1.0,0.0,1
122,0.0,1.0,0.0,1
123,0.0,1.0,0.0,1
124,1.0,0.0,0.0,0
125,1.0,0.0,0.0,0
126,0.0,1.0,0.0,1
127,0.0,1.0,0.0,1
128,0.0,1.0,0.0,1
129,0.0,1.0,0.0,1
130,0.0,1.0,0.0,1
131,0.0,1.0,0.0,1
132,0.0,1.0,0.0,1
133,0.0,1.0,0.0,1
134,0.0,1.0,0.0,1
135,0.0,0.0,1.0,2
136,0.0,1.0,0.0,1
137,0.0,1.0,0.0,1
138,0.0,1.0,0.0,1
139,0.0,1.0,0.0,1
140,0.0,1.0,0.0,1
141,0.0,1.0,0.0,1
142,0.0,1.0,0.0,1
143,0.0,1.0,0.0,1
144,0.0,1.0,0.0,1
145,0.0,1.0,0.0,1
146,0.0,1.0,0.0,1
147,1.0,0.0,0.0,0
148,0.0,1.0,0.0,1
149,0.0,1.0,0.0,1
150,0.0,1.0,0.0,1
151,0.0,1.0,0.0,1
152,0.0,0.0,1.0,2
153,0.0,0.0,1.0,2
154,0.0,0.0,1.0,2
155,0.0,0.0,1.0,2
156,0.0,0.0,1.0,2
157,0.0,1.0,0.0,1
158,0.0,1.0,0.0,1
159,0.0,1.0,0.0,1
160,0.0,1.0,0.0,1
161,0.0,1.0,0.0,1
162,0.0,1.0,0.0,1
163,0.0,1.0,0.0,1
164,0.0,1.0,0.0,1
165,0.0,1.0,0.0,1
166,0.0,1.0,0.0,1
167,0.0,1.0,0.0,1
168,0.0,1.0,0.0,1
169,0.0,1.0,0.0,1
170,0.0,1.0,0.0,1
171,0.0,1.0,0.0,1
172,0.0,1.0,0.0,1
173,0.0,1.0,0.0,1
174,0.0,1.0,0.0,1
175,0.0,1.0,0.0,1
176,0.0,0.0,1.0,2
177,0.0,0.0,1.0,2
178,0.0,0.0,1.0,2
179,0.0,0.0,1.0,2
180,0.0,1.0,0.0,1
181,0.0,1.0,0.0,1
182,0.0,1.0,0.0,1
183,1.0,0.0,0.0,0
184,1.0,0.0,0.0,0
185,1.0,0.0,0.0,0
186,1.0,0.0,0.0,0
187,1.0,0.0,0.0,0
188,0.0,0.0,1.0,2
189,0.0,0.0,1.0,2
190,0.0,0.0,1.0,2
191,0.0,0.0,1.0,2
192,1.0,0.0,0.0,0
193,1.0,0.0,0.0,0
194,1.0,0.0,0.0,0
195,1.0,0.0,0.0,0
196,0.0,1.0,0.0,1
197,0.0,1.0,0.0,1
198,0.0,1.0,0.0,1
199,0.0,1.0,0.0,1
200,0.0,1.0,0.0,1
201,1.0,0.0,0.0,0
202,1.0,0.0,0.0,0
203,0.0,0.0,1.0,2
204,0.0,0.0,1.0,2
205,0.0,0.0,1.0,2
206,1.0,0.0,0.0,0
207,1.0,0.0,0.0,0
208,0.0,1.0,0.0,1
209,0.0,1.0,0.0,1
210,0.0,1.0,0.0,1
211,0.0,1.0,0.0,1
212,0.0,1.0,0.0,1
213,0.0,1.0,0.0,1
214,1.0,0.0,0.0,0
215,1.0,0.0,0.0,0
216,1.0,0.0,0.0,0
217,1.0,0.0,0.0,0
218,1.0,0.0,0.0,0
219,0.0,1.0,0.0,1
220,0.0,1.0,0.0,1
221,0.0,1.0,0.0,1
222,0.0,1.0,0.0,1
223,1.0,0.0,0.0,0
224,1.0,0.0,0.0,0
225,1.0,0.0,0.0,0
226,1.0,0.0,0.0,0
227,1.0,0.0,0.0,0
228,1.0,0.0,0.0,0
229,1.0,0.0,0.0,0
230,1.0,0.0,0.0,0
231,1.0,0.0,0.0,0
232,0.0,1.0,0.0,1
233,0.0,1.0,0.0,1
234,0.0,1.0,0.0,1
235,0.0,1.0,0.0,1
236,0.0,1.0,0.0,1
237,0.0,1.0,0.0,1
238,0.0,1.0,0.0,1
239,0.0,1.0,0.0,1
240,0.0,1.0,0.0,1
241,0.0,1.0,0.0,1
242,0.0,1.0,0.0,1
243,0.0,1.0,0.0,1
244,0.0,1.0,0.0,1
245,0.0,1.0,0.0,1
246,0.0,1.0,0.0,1
247,0.0,1.0,0.0,1
248,0.0,1.0,0.0,1
249,0.0,1.0,0.0,1
250,0.0,1.0,0.0,1
251,0.0,1.0,0.0,1
252,0.0,1.0,0.0,1
253,0.0,1.0,0.0,1
254,0.0,1.0,0.0,1
255,0.0,1.0,0.0,1
256,0.0,1.0,0.0,1
257,1.0,0.0,0.0,0
258,0.0,1.0,0.0,1
259,0.0,1.0,0.0,1
260,0.0,1.0,0.0,1
261,0.0,0.0,1.0,2
262,0.0,0.0,1.0,2
263,0.0,0.0,1.0,2
264,0.0,1.0,0.0,1
265,0.0,1.0,0.0,1
266,0.0,1.0,0.0,1
267,0.0,1.0,0.0,1
268,0.0,1.0,0.0,1
269,0.0,1.0,0.0,1
270,0.0,1.0,0.0,1
271,0.0,1.0,0.0,1
272,0.0,1.0,0.0,1
273,0.0,1.0,0.0,1
274,0.0,1.0,0.0,1
275,0.0,1.0,0.0,1
276,0.0,0.0,1.0,2
277,0.0,0.0,1.0,2
278,0.0,0.0,1.0,2
279,0.0,0.0,1.0,2
280,0.0,0.0,1.0,2
281,0.0,0.0,1.0,2
282,0.0,0.0,1.0,2
283,0.0,0.0,1.0,2
284,0.0,1.0,0.0,1
285,0.0,1.0,0.0,1
286,0.0,1.0,0.0,1
287,0.0,1.0,0.0,1
288,0.0,1.0,0.0,1
289,0.0,1.0,0.0,1
290,0.0,1.0,0.0,1
291,0.0,0.0,1.0,2
292,0.0,0.0,1.0,2
293,0.0,1.0,0.0,1
294,0.0,1.0,0.0,1
295,0.0,1.0,0.0,1
296,0.0,1.0,0.0,1
297,0.0,0.0,1.0,2
298,0.0,0.0,1.0,2
299,0.0,0.0,1.0,2
300,0.0,0.0,1.0,2
301,0.0,0.0,1.0,2
302,0.0,0.0,1.0,2
303,0.0,0.0,1.0,2
304,0.0,0.0,1.0,2
305,0.0,0.0,1.0,2
306,0.0,0.0,1.0,2
307,0.0,0.0,1.0,2
308,0.0,1.0,0.0,1
309,0.0,1.0,0.0,1
310,0.0,1.0,0.0,1
311,0.0,1.0,0.0,1
312,0.0,1.0,0.0,1
313,0.0,1.0,0.0,1
314,0.0,1.0,0.0,1
315,0.0,1.0,0.0,1
316,0.0,1.0,0.0,1
317,0.0,1.0,0.0,1
318,0.0,1.0,0.0,1
319,0.0,1.0,0.0,1
320,0.0,1.0,0.0,1
321,0.0,1.0,0.0,1
322,0.0,1.0,0.0,1
323,0.0,1.0,0.0,1
324,0.0,1.0,0.0,1
325,0.0,1.0,0.0,1
326,0.0,1.0,0.0,1
327,0.0,1.0,0.0,1
328,0.0,1.0,0.0,1
329,0.0,1.0,0.0,1
330,0.0,1.0,0.0,1
331,1.0,0.0,0.0,0
332,1.0,0.0,0.0,0
333,1.0,0.0,0.0,0
334,1.0,0.0,0.0,0
335,1.0,0.0,0.0,0
336,0.0,0.0,1.0,2
337,0.0,0.0,1.0,2
338,0.0,0.0,1.0,2
339,0.0,0.0,1.0,2
340,0.0,0.0,1.0,2
341,0.0,0.0,1.0,2
342,0.0,0.0,1.0,2
343,0.0,0.0,1.0,2
344,0.0,0.0,1.0,2
345,0.0,0.0,1.0,2
346,0.0,0.0,1.0,2
347,0.0,0.0,1.0,2
348,0.0,0.0,1.0,2
349,0.0,0.0,1.0,2
350,0.0,1.0,0.0,1
351,0.0,1.0,0.0,1
352,0.0,0.0,1.0,2
353,0.0,0.0,1.0,2
354,0.0,0.0,1.0,2
355,0.0,0.0,1.0,2
356,0.0,0.0,1.0,2
357,0.0,0.0,1.0,2
358,0.0,0.0,1.0,2
359,0.0,1.0,0.0,1
360,1.0,0.0,0.0,0
361,1.0,0.0,0.0,0
362,1.0,0.0,0.0,0
363,1.0,0.0,0.0,0
364,1.0,0.0,0.0,0
365,1.0,0.0,0.0,0
366,1.0,0.0,0.0,0
367,1.0,0.0,0.0,0
368,0.0,1.0,0.0,1
369,1.0,0.0,0.0,0
370,1.0,0.0,0.0,0
371,1.0,0.0,0.0,0
372,1.0,0.0,0.0,0
373,0.0,1.0,0.0,1
374,0.0,1.0,0.0,1
375,1.0,0.0,0.0,0
376,1.0,0.0,0.0,0
377,0.0,1.0,0.0,1
378,1.0,0.0,0.0,0
379,1.0,0.0,0.0,0
380,1.0,0.0,0.0,0
381,1.0,0.0,0.0,0
382,1.0,0.0,0.0,0
383,1.0,0.0,0.0,0
384,1.0,0.0,0.0,0
385,0.0,0.0,1.0,2
386,0.0,0.0,1.0,2
387,0.0,1.0,0.0,1
388,0.0,1.0,0.0,1
389,0.0,1.0,0.0,1
390,0.0,1.0,0.0,1
391,0.0,1.0,0.0,1
392,0.0,1.0,0.0,1
393,0.0,1.0,0.0,1
394,0.0,1.0,0.0,1
395,0.0,1.0,0.0,1
396,0.0,1.0,0.0,1
397,0.0,1.0,0.0,1
398,0.0,1.0,0.0,1
399,0.0,1.0,0.0,1
400,0.0,1.0,0.0,1
401,0.0,1.0,0.0,1
402,0.0,1.0,0.0,1
403,0.0,1.0,0.0,1
404,0.0,1.0,0.0,1
405,0.0,1.0,0.0,1
406,0.0,1.0,0.0,1
407,0.0,1.0,0.0,1
408,0.0,1.0,0.0,1
409,1.0,0.0,0.0,0
410,1.0,0.0,0.0,0
411,0.0,0.0,1.0,2
412,0.0,0.0,1.0,2
413,0.0,0.0,1.0,2
414,0.0,0.0,1.0,2
415,0.0,0.0,1.0,2
416,0.0,0.0,1.0,2
417,0.0,0.0,1.0,2
418,0.0,0.0,1.0,2
419,0.0,0.0,1.0,2
420,0.0,0.0,1.0,2
421,0.0,1.0,0.0,1
422,0.0,1.0,0.0,1
423,0.0,1.0,0.0,1
424,0.0,1.0,0.0,1
425,0.0,1.0,0.0,1
426,0.0,0.0,1.0,2
427,0.0,0.0,1.0,2
428,0.0,0.0,1.0,2
429,0.0,1.0,0.0,1
430,0.0,1.0,0.0,1
431,0.0,1.0,0.0,1
432,0.0,1.0,0.0,1
433,0.0,1.0,0.0,1
434,0.0,1.0,0.0,1
435,0.0,1.0,0.0,1
436,0.0,1.0,0.0,1
437,0.0,1.0,0.0,1
438,0.0,1.0,0.0,1
439,0.0,1.0,0.0,1
440,0.0,1.0,0.0,1
441,0.0,1.0,0.0,1
442,0.0,1.0,0.0,1
443,1.0,0.0,0.0,0
444,1.0,0.0,0.0,0
445,1.0,0.0,0.0,0
446,0.0,1.0,0.0,1
447,0.0,1.0,0.0,1
448,1.0,0.0,0.0,0
449,1.0,0.0,0.0,0
450,1.0,0.0,0.0,0
451,1.0,0.0,0.0,0
452,1.0,0.0,0.0,0
453,0.0,1.0,0.0,1
454,0.0,0.0,1.0,2
455,0.0,0.0,1.0,2
456,0.0,0.0,1.0,2
457,0.0,0.0,1.0,2
458,0.0,0.0,1.0,2
459,0.0,0.0,1.0,2
460,0.0,1.0,0.0,1
461,0.0,0.0,1.0,2
462,0.0,1.0,0.0,1
463,0.0,1.0,0.0,1
464,0.0,1.0,0.0,1
465,0.0,1.0,0.0,1
466,0.0,0.0,1.0,2
467,0.0,0.0,1.0,2
468,0.0,0.0,1.0,2
469,0.0,0.0,1.0,2
470,0.0,0.0,1.0,2
471,0.0,0.0,1.0,2
472,0.0,0.0,1.0,2
473,0.0,0.0,1.0,2
474,0.0,0.0,1.0,2
475,0.0,0.0,1.0,2
476,0.0,0.0,1.0,2
477,0.0,0.0,1.0,2
478,0.0,0.0,1.0,2
479,0.0,1.0,0.0,1
480,0.0,1.0,0.0,1
481,0.0,1.0,0.0,1
482,0.0,1.0,0.0,1
483,0.0,1.0,0.0,1
484,0.0,1.0,0.0,1
485,0.0,1.0,0.0,1
486,0.0,1.0,0.0,1
487,0.0,1.0,0.0,1
488,0.0,1.0,0.0,1
489,0.0,1.0,0.0,1
490,0.0,0.0,1.0,2
491,0.0,0.0,1.0,2
492,0.0,0.0,1.0,2
493,0.0,0.0,1.0,2
494,1.0,0.0,0.0,0
495,1.0,0.0,0.0,0
496,1.0,0.0,0.0,0
497,1.0,0.0,0.0,0
498,1.0,0.0,0.0,0
499,0.0,1.0,0.0,1
500,0.0,1.0,0.0,1
501,0.0,0.0,1.0,2
502,0.0,1.0,0.0,1
503,0.0,1.0,0.0,1
504,0.0,1.0,0.0,1
505,0.0,1.0,0.0,1
506,0.0,1.0,0.0,1
507,0.0,0.0,1.0,2
508,0.0,0.0,1.0,2
509,1.0,0.0,0.0,0
510,1.0,0.0,0.0,0
511,1.0,0.0,0.0,0
512,1.0,0.0,0.0,0
513,1.0,0.0,0.0,0
514,1.0,0.0,0.0,0
515,1.0,0.0,0.0,0
516,1.0,0.0,0.0,0
517,1.0,0.0,0.0,0
518,0.0,1.0,0.0,1
519,0.0,1.0,0.0,1
520,0.0,1.0,0.0,1
521,0.0,1.0,0.0,1
522,0.0,1.0,0.0,1
523,0.0,1.0,0.0,1
524,0.0,1.0,0.0,1
525,0.0,1.0,0.0,1
526,1.0,0.0,0.0,0
527,1.0,0.0,0.0,0
528,1.0,0.0,0.0,0
529,1.0,0.0,0.0,0
530,1.0,0.0,0.0,0
531,1.0,0.0,0.0,0
532,1.0,0.0,0.0,0
533,1.0,0.0,0.0,0
534,1.0,0.0,0.0,0
535,1.0,0.0,0.0,0
536,1.0,0.0,0.0,0
537,1.0,0.0,0.0,0
538,1.0,0.0,0.0,0
539,1.0,0.0,0.0,0
540,1.0,0.0,0.0,0
541,0.0,1.0,0.0,1
542,1.0,0.0,0.0,0
543,0.0,1.0,0.0,1
544,0.0,1.0,0.0,1
545,0.0,1.0,0.0,1
546,0.0,1.0,0.0,1
547,0.0,1.0,0.0,1
548,0.0,1.0,0.0,1
549,0.0,1.0,0.0,1
550,0.0,1.0,0.0,1
551,0.0,1.0,0.0,1
552,0.0,1.0,0.0,1
553,0.0,1.0,0.0,1
554,0.0,1.0,0.0,1
555,0.0,1.0,0.0,1
556,0.0,1.0,0.0,1
557,0.0,1.0,0.0,1
558,0.0,1.0,0.0,1
559,0.0,1.0,0.0,1
560,0.0,1.0,0.0,1
561,0.0,1.0,0.0,1
562,0.0,1.0,0.0,1
563,0.0,1.0,0.0,1
564,0.0,1.0,0.0,1
565,0.0,1.0,0.0,1
566,0.0,0.0,1.0,2
567,0.0,0.0,1.0,2
568,0.0,0.0,1.0,2
569,0.0,0.0,1.0,2
570,0.0,0.0,1.0,2
571,0.0,0.0,1.0,2
572,0.0,0.0,1.0,2
573,0.0,0.0,1.0,2
574,0.0,0.0,1.0,2
575,0.0,0.0,1.0,2
576,0.0,0.0,1.0,2
577,0.0,0.0,1.0,2
578,0.0,0.0,1.0,2
579,0.0,0.0,1.0,2
580,0.0,0.0,1.0,2
581,0.0,0.0,1.0,2
582,0.0,0.0,1.0,2
583,0.0,1.0,0.0,1
584,0.0,1.0,0.0,1
585,0.0,1.0,0.0,1
586,0.0,1.0,0.0,1
587,0.0,1.0,0.0,1
588,0.0,1.0,0.0,1
589,0.0,1.0,0.0,1
590,0.0,1.0,0.0,1
591,0.0,1.0,0.0,1
592,0.0,1.0,0.0,1
593,0.0,1.0,0.0,1
594,0.0,1.0,0.0,1
595,0.0,1.0,0.0,1
596,0.0,1.0,0.0,1
597,0.0,1.0,0.0,1
598,0.0,1.0,0.0,1
599,0.0,1.0,0.0,1
600,0.0,1.0,0.0,1
601,0.0,1.0,0.0,1
602,0.0,1.0,0.0,1
603,0.0,1.0,0.0,1
604,0.0,1.0,0.0,1
605,0.0,1.0,0.0,1
