name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.000000;5.328554e-01;-2.166422e+01;3.474416e+01;4.081089e-02;-2.055843e-02;1.917999e-01;2.830453e+01;2.284122e+01;1.173376e+01;-3.472345e+00;1.318393e+01;0;2.373374e+00;-1.767499e+00;-9.417933e+00;2.277049e+01;4.393641e+02;1.457690e+03;1.221393e+01;1.549006e+03;-5.772815e+00;2.863491e+03;-1.586596e+01
'unknown';0.010000;5.095065e-01;-2.136531e+01;3.365204e+01;4.108052e-02;-1.484253e-02;4.462617e-01;2.716604e+01;2.169200e+01;1.238521e+01;-6.125699e+00;1.311124e+01;0;2.380143e+00;-2.045034e+00;-7.976125e+00;2.310139e+01;6.986430e+02;1.183231e+03;3.420260e+00;2.017111e+03;-1.275844e+01;3.081417e+03;-1.738225e+01
'unknown';0.020000;4.803261e-01;-2.072640e+01;3.183689e+01;5.721876e-02;-1.362718e-02;5.756109e-01;2.619727e+01;2.065940e+01;1.040969e+01;-9.326671e+00;1.314639e+01;2.723921e-02;2.386911e+00;-3.272587e+00;-6.708424e+00;2.395119e+01;9.578361e+02;9.680672e+02;-4.287473e+00;2.389531e+03;-1.978953e+01;3.436402e+03;-2.013731e+01
'unknown';0.030000;4.842024e-01;-1.941700e+01;3.081227e+01;6.023724e-02;-1.670434e-02;5.116389e-01;2.615929e+01;1.909825e+01;5.202757e+00;-1.104633e+01;1.302058e+01;0;2.148766e+00;-5.329686e+00;-6.182132e+00;2.473567e+01;9.760853e+02;1.001946e+03;-5.980009e+00;2.385626e+03;-2.149008e+01;3.442732e+03;-2.242095e+01
'unknown';0.040000;4.777692e-01;-1.937360e+01;3.059998e+01;4.698123e-02;-2.040692e-02;3.925512e-01;2.665738e+01;1.963340e+01;3.540114e+00;-6.485766e+00;1.281750e+01;1.678272e-02;1.903852e+00;-6.459957e+00;-4.838652e+00;2.499678e+01;1.023507e+03;1.123021e+03;-4.568164e+00;2.314202e+03;-2.095524e+01;3.604672e+03;-2.207351e+01
'unknown';0.050000;4.744979e-01;-1.828239e+01;2.998256e+01;1.949802e-02;-1.997824e-02;3.761150e-01;2.587472e+01;1.924593e+01;1.381472e+00;-4.135695e+00;1.254810e+01;0;1.658937e+00;-6.125379e+00;-2.733558e+00;2.601446e+01;1.031627e+03;1.112573e+03;-3.397150e+00;2.308247e+03;-1.920299e+01;3.572904e+03;-2.052244e+01
'unknown';0.060000;4.697350e-01;-1.833351e+01;2.817464e+01;3.623087e-03;-2.079304e-02;3.321992e-01;2.616812e+01;1.893896e+01;2.478369e+00;-2.344839e+00;1.238841e+01;0;1.463181e+00;-5.871256e+00;-5.470079e-01;2.819904e+01;1.006354e+03;1.246466e+03;-3.243503e+00;2.250668e+03;-1.777547e+01;3.586039e+03;-2.004938e+01
'unknown';0.070000;4.653777e-01;-1.637606e+01;2.663174e+01;-1.909363e-03;-2.211981e-02;3.063038e-01;2.571760e+01;1.686918e+01;-2.094778e-01;-4.391480e+00;1.232462e+01;9.392044e-03;1.267424e+00;-6.862723e+00;2.518219e+00;3.036603e+01;9.361425e+02;1.174198e+03;-3.233356e+00;2.153833e+03;-1.644344e+01;3.446089e+03;-2.059985e+01
'unknown';0.080000;4.544670e-01;-1.624901e+01;2.675892e+01;-8.970732e-03;-1.860650e-02;2.566469e-01;2.627434e+01;1.595806e+01;1.914991e+00;-8.492041e-01;1.238427e+01;0;1.071668e+00;-6.967052e+00;4.235001e+00;3.102493e+01;1.008419e+03;1.187240e+03;-6.978168e+01;2.223592e+03;-7.808628e+01;3.417839e+03;-8.098772e+01
'unknown';0.090000;4.608115e-01;-1.588720e+01;2.792050e+01;1.249055e-02;-1.568118e-02;3.561011e-01;2.637715e+01;1.631212e+01;9.475763e-01;2.165256e-02;1.269352e+01;0;1.071668e+00;-5.851153e+00;0;0;1.043140e+03;1.092895e+03;-6.751487e+01;2.233344e+03;-7.651736e+01;3.374228e+03;-7.858620e+01
