name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.000000;4.876463e-01;-1.451289e+01;2.062950e+01;-1.026675e-02;-2.215735e-02;6.784498e-02;2.114867e+01;1.593441e+01;6.592556e+00;-3.927127e+00;1.300153e+01;0;1.399627e+00;-3.248668e+00;9.521510e+00;2.974110e+01;7.213579e+02;1.203313e+03;-6.795269e+00;1.911871e+03;-1.986007e+01;3.141980e+03;-2.348748e+01
'unknown';0.010000;4.619923e-01;-1.541648e+01;2.233581e+01;-1.285822e-03;-2.315129e-02;1.329755e-01;2.171500e+01;1.742281e+01;6.691217e+00;-6.307072e+00;1.303017e+01;0;1.399627e+00;-3.027179e+00;1.283622e+01;3.052708e+01;5.434521e+02;1.328360e+03;-3.994163e+00;1.612344e+03;-1.641712e+01;2.823373e+03;-2.182073e+01
'unknown';0.020000;4.295171e-01;-1.677410e+01;2.437572e+01;-5.305694e-03;-2.434825e-02;2.072357e-01;2.194993e+01;1.901566e+01;7.975267e+00;-6.507269e+00;1.314959e+01;0;1.399627e+00;-2.745539e+00;1.392267e+01;3.147274e+01;3.904872e+02;1.374386e+03;1.037147e+00;1.392870e+03;-1.177597e+01;2.427634e+03;-1.799855e+01
'unknown';0.030000;3.992385e-01;-1.662142e+01;2.577667e+01;-1.253661e-02;-2.121934e-02;1.994493e-01;2.214536e+01;1.846647e+01;7.233187e+00;-3.885535e+00;1.324417e+01;0;1.003658e+00;-2.647158e+00;1.249435e+01;3.132889e+01;3.729948e+02;1.499238e+03;1.500707e+00;1.313332e+03;-6.822027e+00;2.352145e+03;-1.599633e+01
'unknown';0.040000;3.878685e-01;-1.637609e+01;2.635034e+01;-7.478997e-03;-1.900171e-02;1.856665e-01;2.259090e+01;1.747677e+01;5.517181e+00;8.415747e-01;1.316221e+01;2.974301e-02;6.076890e-01;-3.067604e+00;9.638433e+00;3.124737e+01;3.626478e+02;1.481217e+03;-6.520348e+01;1.294921e+03;-7.051438e+01;2.307926e+03;-7.671429e+01
'unknown';0.050000;3.876116e-01;-1.566821e+01;2.665121e+01;-6.512482e-03;-1.723763e-02;1.545447e-01;2.272174e+01;1.649003e+01;2.762914e+00;2.429569e+00;1.308842e+01;0;2.117199e-01;-3.374442e+00;0;0;5.258113e+02;1.441143e+03;-7.144126e+01;1.531967e+03;-7.681342e+01;2.637155e+03;-8.257661e+01
'unknown';0.060000;3.965141e-01;-1.707277e+01;2.829563e+01;-1.470582e-02;-1.939969e-02;1.886107e-01;2.362337e+01;1.715675e+01;3.029435e+00;2.626900e+00;1.309721e+01;0;2.117199e-01;-3.137597e+00;1.000845e+01;3.425045e+01;7.090569e+02;1.206120e+03;-7.540149e+01;1.805095e+03;-8.426972e+01;2.980235e+03;-8.728004e+01
'unknown';0.070000;4.109017e-01;-1.794718e+01;2.910478e+01;-2.839403e-02;-2.349004e-02;2.145038e-01;2.474442e+01;1.757510e+01;2.996109e+00;3.946504e-01;1.315338e+01;0;2.117199e-01;-2.822751e+00;1.007598e+01;3.385593e+01;8.629847e+02;1.199117e+03;-1.130970e+01;2.073706e+03;-2.614795e+01;3.299052e+03;-3.015299e+01
'unknown';0.080000;4.142286e-01;-1.887362e+01;2.853706e+01;-2.851566e-02;-2.678936e-02;2.604649e-01;2.486949e+01;1.881198e+01;3.770305e+00;-9.466469e-01;1.343338e+01;0;9.501078e-01;-3.078208e+00;9.662877e+00;3.178657e+01;7.333216e+02;1.358785e+03;-8.820278e+00;1.669744e+03;-2.033360e+01;2.927128e+03;-2.766177e+01
'unknown';0.090000;4.142907e-01;-1.787584e+01;2.857111e+01;-3.583341e-02;-2.385338e-02;2.418345e-01;2.427245e+01;1.755319e+01;9.449870e-01;-1.579690e+00;1.351938e+01;4.009395e-03;1.319302e+00;-3.568788e+00;9.233511e+00;3.081613e+01;5.945873e+02;1.472091e+03;-7.172217e+01;1.409156e+03;-7.847234e+01;2.652044e+03;-8.437067e+01
