,other probability,nod probability,shake probability,annotation
0,0.0,1.0,0.0,1
1,0.0,1.0,0.0,1
2,0.0,1.0,0.0,1
3,0.0,1.0,0.0,1
4,0.0,1.0,0.0,1
5,0.0,1.0,0.0,1
6,0.0,1.0,0.0,1
7,0.0,1.0,0.0,1
8,0.0,1.0,0.0,1
9,0.0,1.0,0.0,1
10,0.0,1.0,0.0,1
11,0.0,1.0,0.0,1
12,0.0,1.0,0.0,1
13,0.0,1.0,0.0,1
14,0.0,1.0,0.0,1
15,0.0,1.0,0.0,1
16,0.0,1.0,0.0,1
17,0.0,1.0,0.0,1
18,0.0,1.0,0.0,1
19,0.0,1.0,0.0,1
20,0.0,1.0,0.0,1
21,0.0,1.0,0.0,1
22,0.0,1.0,0.0,1
23,0.0,1.0,0.0,1
24,0.0,1.0,0.0,1
25,0.0,1.0,0.0,1
26,0.0,1.0,0.0,1
27,0.0,1.0,0.0,1
28,0.0,1.0,0.0,1
29,0.0,1.0,0.0,1
30,0.0,1.0,0.0,1
31,0.0,0.0,1.0,2
32,0.0,0.0,1.0,2
33,0.0,0.0,1.0,2
34,0.0,0.0,1.0,2
35,0.0,1.0,0.0,1
36,0.0,1.0,0.0,1
37,0.0,1.0,0.0,1
38,0.0,1.0,0.0,1
39,0.0,1.0,0.0,1
40,0.0,1.0,0.0,1
41,0.0,1.0,0.0,1
42,0.0,1.0,0.0,1
43,0.0,1.0,0.0,1
44,0.0,1.0,0.0,1
45,0.0,1.0,0.0,1
46,0.0,0.0,1.0,2
47,0.0,0.0,1.0,2
48,0.0,0.0,1.0,2
49,0.0,0.0,1.0,2
50,0.0,0.0,1.0,2
51,0.0,0.0,1.0,2
52,0.0,0.0,1.0,2
53,0.0,0.0,1.0,2
54,0.0,0.0,1.0,2
55,1.0,0.0,0.0,0
56,1.0,0.0,0.0,0
57,0.0,1.0,0.0,1
58,0.0,1.0,0.0,1
59,0.0,1.0,0.0,1
60,0.0,1.0,0.0,1
61,0.0,1.0,0.0,1
62,0.0,1.0,0.0,1
63,0.0,1.0,0.0,1
64,0.0,1.0,0.0,1
65,0.0,1.0,0.0,1
66,0.0,1.0,0.0,1
67,0.0,1.0,0.0,1
68,0.0,1.0,0.0,1
69,0.0,1.0,0.0,1
70,0.0,1.0,0.0,1
71,0.0,1.0,0.0,1
72,0.0,1.0,0.0,1
73,0.0,1.0,0.0,1
74,0.0,1.0,0.0,1
75,0.0,1.0,0.0,1
76,0.0,1.0,0.0,1
77,0.0,1.0,0.0,1
78,0.0,1.0,0.0,1
79,0.0,1.0,0.0,1
80,0.0,1.0,0.0,1
81,0.0,1.0,0.0,1
82,0.0,1.0,0.0,1
83,0.0,1.0,0.0,1
84,0.0,1.0,0.0,1
85,0.0,1.0,0.0,1
86,0.0,1.0,0.0,1
87,0.0,1.0,0.0,1
88,0.0,1.0,0.0,1
89,0.0,1.0,0.0,1
90,0.0,1.0,0.0,1
91,0.0,1.0,0.0,1
92,0.0,1.0,0.0,1
93,0.0,1.0,0.0,1
94,0.0,1.0,0.0,1
95,0.0,1.0,0.0,1
96,0.0,1.0,0.0,1
97,0.0,1.0,0.0,1
98,0.0,1.0,0.0,1
99,0.0,0.0,1.0,2
100,0.0,0.0,1.0,2
101,0.0,0.0,1.0,2
102,0.0,0.0,1.0,2
103,0.0,0.0,1.0,2
104,0.0,0.0,1.0,2
105,0.0,0.0,1.0,2
106,0.0,0.0,1.0,2
107,0.0,0.0,1.0,2
108,0.0,0.0,1.0,2
109,0.0,0.0,1.0,2
110,0.0,0.0,1.0,2
111,0.0,0.0,1.0,2
112,0.0,0.0,1.0,2
113,0.0,0.0,1.0,2
114,0.0,1.0,0.0,1
115,0.0,1.0,0.0,1
116,0.0,1.0,0.0,1
117,0.0,1.0,0.0,1
118,0.0,1.0,0.0,1
119,0.0,1.0,0.0,1
120,0.0,1.0,0.0,1
121,0.0,1.0,0.0,1
122,0.0,0.0,1.0,2
123,0.0,0.0,1.0,2
124,0.0,0.0,1.0,2
125,0.0,1.0,0.0,1
126,0.0,1.0,0.0,1
127,0.0,1.0,0.0,1
128,0.0,1.0,0.0,1
129,0.0,1.0,0.0,1
130,0.0,1.0,0.0,1
131,0.0,1.0,0.0,1
132,0.0,1.0,0.0,1
133,0.0,1.0,0.0,1
134,0.0,1.0,0.0,1
135,0.0,0.0,1.0,2
136,0.0,0.0,1.0,2
137,0.0,0.0,1.0,2
138,0.0,0.0,1.0,2
139,0.0,0.0,1.0,2
140,0.0,1.0,0.0,1
141,0.0,1.0,0.0,1
142,0.0,1.0,0.0,1
143,0.0,1.0,0.0,1
144,0.0,1.0,0.0,1
145,0.0,1.0,0.0,1
146,0.0,1.0,0.0,1
147,0.0,1.0,0.0,1
148,0.0,1.0,0.0,1
149,0.0,1.0,0.0,1
150,0.0,1.0,0.0,1
151,0.0,1.0,0.0,1
152,0.0,1.0,0.0,1
153,0.0,1.0,0.0,1
154,0.0,1.0,0.0,1
155,0.0,1.0,0.0,1
156,0.0,1.0,0.0,1
157,0.0,1.0,0.0,1
158,0.0,1.0,0.0,1
159,0.0,1.0,0.0,1
160,0.0,1.0,0.0,1
161,1.0,0.0,0.0,0
162,1.0,0.0,0.0,0
163,1.0,0.0,0.0,0
164,1.0,0.0,0.0,0
165,1.0,0.0,0.0,0
166,0.0,1.0,0.0,1
167,1.0,0.0,0.0,0
168,1.0,0.0,0.0,0
169,1.0,0.0,0.0,0
170,1.0,0.0,0.0,0
171,1.0,0.0,0.0,0
172,1.0,0.0,0.0,0
173,1.0,0.0,0.0,0
174,1.0,0.0,0.0,0
175,1.0,0.0,0.0,0
176,1.0,0.0,0.0,0
177,1.0,0.0,0.0,0
178,0.0,1.0,0.0,1
179,0.0,1.0,0.0,1
180,0.0,1.0,0.0,1
181,0.0,0.0,1.0,2
182,0.0,0.0,1.0,2
183,0.0,1.0,0.0,1
184,0.0,1.0,0.0,1
185,0.0,1.0,0.0,1
186,0.0,1.0,0.0,1
187,0.0,1.0,0.0,1
188,0.0,1.0,0.0,1
189,0.0,1.0,0.0,1
190,0.0,1.0,0.0,1
191,0.0,1.0,0.0,1
192,0.0,1.0,0.0,1
193,0.0,1.0,0.0,1
194,0.0,1.0,0.0,1
195,0.0,1.0,0.0,1
196,0.0,1.0,0.0,1
197,0.0,1.0,0.0,1
198,0.0,1.0,0.0,1
199,0.0,1.0,0.0,1
200,0.0,1.0,0.0,1
201,0.0,1.0,0.0,1
202,0.0,1.0,0.0,1
203,0.0,1.0,0.0,1
204,0.0,1.0,0.0,1
205,0.0,1.0,0.0,1
206,0.0,1.0,0.0,1
207,0.0,1.0,0.0,1
208,0.0,1.0,0.0,1
209,0.0,1.0,0.0,1
210,0.0,1.0,0.0,1
211,0.0,1.0,0.0,1
212,0.0,1.0,0.0,1
213,0.0,1.0,0.0,1
214,0.0,1.0,0.0,1
215,0.0,1.0,0.0,1
216,0.0,1.0,0.0,1
217,0.0,0.0,1.0,2
218,0.0,0.0,1.0,2
219,0.0,0.0,1.0,2
220,0.0,0.0,1.0,2
221,0.0,0.0,1.0,2
222,0.0,0.0,1.0,2
223,0.0,0.0,1.0,2
224,0.0,0.0,1.0,2
225,0.0,0.0,1.0,2
226,0.0,1.0,0.0,1
227,0.0,1.0,0.0,1
228,0.0,1.0,0.0,1
229,0.0,1.0,0.0,1
230,0.0,1.0,0.0,1
231,0.0,1.0,0.0,1
232,0.0,1.0,0.0,1
233,0.0,1.0,0.0,1
234,0.0,1.0,0.0,1
235,0.0,0.0,1.0,2
236,0.0,0.0,1.0,2
237,1.0,0.0,0.0,0
238,1.0,0.0,0.0,0
239,1.0,0.0,0.0,0
240,1.0,0.0,0.0,0
241,1.0,0.0,0.0,0
242,1.0,0.0,0.0,0
243,1.0,0.0,0.0,0
244,1.0,0.0,0.0,0
245,0.0,1.0,0.0,1
246,0.0,1.0,0.0,1
247,0.0,1.0,0.0,1
248,0.0,1.0,0.0,1
249,1.0,0.0,0.0,0
250,1.0,0.0,0.0,0
251,1.0,0.0,0.0,0
252,1.0,0.0,0.0,0
253,1.0,0.0,0.0,0
254,1.0,0.0,0.0,0
255,1.0,0.0,0.0,0
256,1.0,0.0,0.0,0
